OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,,2026-02-28T03:04:37.975584,9.31869695,.2550447,66.0832,348.5495,147.2723,231.5722,0,U,81036,999,2894,.21211E-1,.7744E-4,0
UNKNOWN,,2026-02-23T19:28:23.085120,13.83995640,.0562252,65.7703,204.6380,272.6795,81.0070,0,U,81052,999,61042,.14908E-2,.5694E-4,0
UNKNOWN,,2026-02-25T16:26:42.552672,13.61083637,.0062221,100.3809,327.3693,220.9683,138.6772,0,U,81069,999,52612,.3673E-2,.2776E-4,0
UNKNOWN,,2026-02-17T06:30:23.802048,11.22475388,.0191832,65.1105,153.8460,348.1361,40.1331,0,U,81078,999,50209,.12039E-1,.365E-5,0
UNKNOWN,,2026-02-27T18:10:32.094624,7.58316800,.3848687,62.8892,306.7573,0.2631,359.9263,0,U,81111,999,27777,.2891E-2,.14391E-3,0
UNKNOWN,,2026-02-24T16:34:08.626368,13.81781366,.00039,99.9646,146.4350,211.3899,148.7020,0,U,81123,999,61649,.10172E-2,.104E-4,0
UNKNOWN,,2026-02-28T02:13:13.367712,12.93014394,.0024138,90.2539,5.7758,182.0461,178.0563,0,U,81134,999,47260,.6081E-3,.173E-5,0
UNKNOWN,,2026-02-17T19:40:08.722560,13.75735350,.0059845,100.3950,261.9225,108.2143,252.5529,0,U,81161,999,56535,.71615E-3,.65E-5,0
UNKNOWN,,2026-02-27T16:13:04.063872,13.81876063,.0022142,82.9260,308.3557,1.9286,358.1955,0,U,81219,999,61814,.50906E-3,.562E-5,0
UNKNOWN,,2026-02-20T20:08:19.541184,14.41906947,.0066005,70.5206,119.3022,259.4059,99.9636,0,U,81228,999,63619,.15939E-2,.5308E-4,0
