OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2026-03-01T13:23:13.002432,14.12039157,.0547882,30.3530,241.0896,8.6198,352.3388,0,U,694,999,13047,.17551E-3,.1524E-4,0
THOR AGENA D R/B,1964-002A,2026-03-01T15:18:22.051008,14.34014465,.0031901,99.1228,73.5365,282.3058,77.4554,0,U,733,999,23714,.11138E-3,.264E-5,0
SL-3 R/B,1964-053B,2026-03-01T04:56:42.307872,14.61358693,.0079377,65.0786,356.1078,294.9165,64.3701,0,U,877,999,26555,.10959E-3,.442E-5,0
SL-8 R/B,1967-045B,2026-03-01T19:47:06.259200,14.45613430,.0063869,74.0134,2.7762,10.9238,349.3289,0,U,2802,999,8788,.15388E-3,.529E-5,0
SL-8 R/B,1968-040B,2026-03-01T20:33:23.790240,15.03192126,.0024269,74.0334,329.6983,156.0505,204.1818,0,U,3230,999,8883,.2571E-3,.3458E-4,0
OAO 2,1968-110A,2026-03-01T17:04:36.006240,14.47302114,.0005075,34.9938,309.7681,140.0408,220.0656,0,U,3597,999,1794,.93858E-4,.329E-5,0
ISIS 1,1969-009A,2026-03-01T18:06:08.408736,11.30411242,.1707841,88.4550,156.1736,105.1710,274.3907,0,U,3669,999,34763,.11092E-3,.179E-5,0
SERT 2,1970-009A,2026-03-01T19:27:22.226688,13.58729048,.000474,99.2748,4.3358,174.9485,203.5464,0,U,4327,999,77882,.552E-4,-.1E-7,0
SL-3 R/B,1971-028B,2026-03-01T18:29:19.426272,15.60354197,.0014435,81.2331,61.8058,319.3555,40.6619,0,U,5118,999,98743,.5454E-3,.45064E-3,0
ASTEX 1,1971-089A,2026-03-01T19:42:43.015680,14.50759665,.0017819,92.7132,149.2151,109.0599,251.2539,0,U,5560,999,86116,.15124E-3,.595E-5,0
SL-8 R/B,1971-119B,2026-03-01T17:23:43.496736,14.37602078,.055028,73.8867,190.6024,158.8981,203.5879,0,U,5730,999,65434,.96223E-3,.18545E-3,0
OAO 3 (COPERNICUS),1972-065A,2026-03-01T19:09:09.061920,14.59990148,.0005913,35.0069,342.2770,97.6443,296.3944,0,U,6153,999,84504,.10085E-3,.47E-5,0
ATLAS CENTAUR R/B,1972-065B,2026-03-01T05:56:27.383424,14.77659101,.0034362,35.0029,355.2261,298.4287,61.2953,0,U,6155,999,84001,.22812E-3,.1653E-4,0
SL-8 R/B,1975-112B,2026-03-01T08:45:03.902400,14.38197904,.0014629,74.0610,34.2256,130.8312,229.4113,0,U,8459,999,63067,.92006E-4,.254E-5,0
SL-3 R/B,1977-057B,2026-03-01T18:06:29.135232,15.45228815,.0006482,97.5754,232.3282,318.0344,42.0406,0,U,10114,999,66710,.36032E-3,.17054E-3,0
SEASAT 1,1978-064A,2026-03-01T19:37:53.596416,14.46153178,.0002109,108.0130,108.9816,288.9104,71.1813,0,U,10967,999,50537,.11556E-3,.276E-5,0
SL-14 R/B,1979-011B,2026-03-01T14:22:45.173280,14.91896963,.001764,82.5218,104.2497,85.2918,275.0316,0,U,11267,999,52757,.57601E-4,.61E-5,0
SL-8 R/B,1979-089B,2026-03-01T13:27:57.552192,14.42344331,.0017094,74.0674,106.0921,279.5913,80.3312,0,U,11574,999,43493,.84044E-4,.252E-5,0
SL-14 R/B,1980-005B,2026-03-01T17:47:07.947744,14.90919171,.0015478,82.5159,314.7753,184.3561,175.7526,0,U,11672,999,47530,.6653E-4,.683E-5,0
SL-8 R/B,1981-003B,2026-03-01T17:18:49.427424,15.10616421,.0262774,82.9400,297.3911,206.3136,152.4553,0,U,12139,999,31347,.4965E-3,.19173E-3,0
SL-3 R/B,1981-046B,2026-03-01T19:15:07.107840,15.41752280,.0020196,81.2318,299.2144,48.9612,311.3372,0,U,12465,999,43721,.34418E-3,.14693E-3,0
SL-3 R/B,1981-103B,2026-03-01T19:31:50.337120,15.21258876,.0012625,81.1565,222.6710,315.0981,44.9228,0,U,12904,999,97203,.28961E-3,.6507E-4,0
SL-3 R/B,1982-013B,2026-03-01T18:13:34.826304,15.21918012,.0022264,81.1769,170.0624,204.4117,155.6063,0,U,13068,999,40314,.261E-3,.6009E-4,0
SL-3 R/B,1982-039B,2026-03-01T20:06:24.240384,15.10025322,.0029898,81.1579,225.0143,350.0697,9.9934,0,U,13154,999,38045,.19643E-3,.3249E-4,0
