OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2026-02-26T20:18:23.173920,1.00261626,.0044225,12.6852,341.7287,351.9002,78.3575,0,U,19548,999,12428,0,-.306E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2026-02-28T19:54:08.206560,1.00264877,.00086677,12.4510,351.8119,333.5040,257.4489,0,U,20253,999,25947,0,-.378E-5,0
SKYNET 4C,1990-079A,2026-02-28T22:25:38.720352,1.00268845,.0004248,13.3713,350.5508,325.7306,212.2590,0,U,20776,999,12980,0,.116E-5,0
TDRS 5,1991-054B,2026-02-28T13:21:00.424224,1.00264437,.00113234,14.0846,354.5812,276.3077,280.2915,0,U,21639,999,12662,0,.74E-6,0
TDRS 6,1993-003B,2026-03-01T09:24:08.558208,1.00279850,.0005633,14.1805,357.8570,201.7522,54.5658,0,U,22314,999,12132,0,-.306E-5,0
UFO 2 (USA 95),1993-056A,2026-02-28T23:23:38.492448,1.00271249,.0008875,11.8568,4.1395,334.8932,199.3045,0,U,22787,999,11746,0,.113E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-03-01T08:35:43.221696,1.00273179,.000428,17.4581,28.8688,300.7809,228.4532,0,U,22988,999,3187,0,-.21E-5,0
UFO 4 (USA 108),1995-003A,2026-03-01T11:40:02.419104,1.00272368,.0003576,9.6689,13.5783,329.6584,163.3291,0,U,23467,999,11387,0,-.35E-6,0
TDRS 7,1995-035B,2026-03-01T12:16:21.660384,1.00277262,.0008086,13.4216,348.9284,46.9634,36.4701,0,U,23613,999,11217,0,-.249E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-03-01T09:42:38.794752,1.00274305,.0004042,14.0343,4.5468,334.2345,206.0885,0,U,23712,999,3180,0,-.31E-6,0
INMARSAT 3-F1,1996-020A,2026-03-01T04:23:38.710752,0.99996233,.0006142,10.3770,47.6132,268.5118,282.2507,0,U,23839,999,10917,0,.2E-6,0
INMARSAT 3-F2,1996-053A,2026-03-01T08:08:46.222368,0.99978225,.0006058,9.6128,55.0183,290.0507,194.2335,0,U,24307,999,10784,0,-.87E-6,0
INMARSAT 3-F3,1996-070A,2026-03-01T06:19:56.241696,1.00002180,.0006951,10.0855,50.6720,268.6811,89.0601,0,U,24674,999,10682,0,-.235E-5,0
AMC-3,1997-050A,2026-03-01T09:34:47.707392,1.00270435,.0003429,7.8820,65.3079,281.2049,244.3646,0,U,24936,999,5135,0,-.277E-5,0
USA 134,1997-065A,2026-03-01T10:11:56.498208,1.00271024,.0007049,12.6567,22.5199,303.7568,233.8324,0,U,25019,999,3187,0,-.76E-6,0
INMARSAT 3-F5,1998-006B,2026-03-01T08:45:42.264864,1.00268791,.000533,9.4529,54.3148,290.4045,251.8495,0,U,25153,999,10281,0,-.305E-5,0
ABS-6,1999-053A,2026-03-01T09:46:36.425856,1.00272442,.0003189,0.0537,262.3403,55.1184,147.4060,0,U,25924,999,9676,0,-.138E-5,0
UFO 10 (USA 146),1999-063A,2026-03-01T06:16:38.618112,1.00274288,.0005351,9.8439,27.8071,293.0558,269.5018,0,U,25967,999,9626,0,-.201E-5,0
