OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SYNCOM 2 (A 26),1963-031A,2026-02-28T17:08:47.851008,1.00251270,.00057702,30.2145,301.9823,204.1933,343.5034,0,U,634,999,22927,0,-.7E-6,0
SYNCOM 3,1964-047A,2026-02-28T16:04:00.771168,1.00368957,.000395,6.7016,65.6118,190.6003,177.2831,0,U,858,999,5238,0,.135E-5,0
INTELSAT 1-F1,1965-028A,2026-02-27T23:39:38.521728,1.00183815,.00057674,6.8908,64.8444,165.5320,194.1940,0,U,1317,999,12607,0,-.197E-5,0
ATS 1,1966-110A,2026-03-01T09:39:29.608128,1.00334016,.0007004,4.7028,70.9612,193.2215,174.0896,0,U,2608,999,13372,0,-.326E-5,0
INTELSAT 2-F2,1967-001A,2026-03-01T05:27:38.755296,1.00218185,.0008232,2.9756,78.3961,209.6786,284.1175,0,U,2639,999,11816,0,-.234E-5,0
INTELSAT 2-F3,1967-026A,2026-02-28T21:04:19.694208,1.00309526,.0019714,3.8124,68.6605,225.4879,187.6430,0,U,2717,999,12281,0,.35E-6,0
INTELSAT 2-F4,1967-094A,2026-03-01T10:10:41.616192,1.00377736,.0010754,3.8021,75.3358,153.4448,326.5135,0,U,2969,999,11423,0,-.48E-6,0
ATS 3,1967-111A,2026-03-01T10:13:56.304768,1.00271789,.0014562,2.9003,79.6478,29.7123,98.0621,0,U,3029,999,21355,0,-.105E-5,0
LES-6,1968-081D,2026-03-01T12:39:08.288928,1.00278865,.0010303,1.3564,34.1828,300.1722,225.7040,0,U,3431,999,11970,0,.111E-5,0
OPS 0757 (TACSAT),1969-013A,2026-03-01T10:27:17.525664,1.00427400,.0021677,2.5751,75.2144,181.1264,1.4922,0,U,3691,999,11302,0,-.304E-5,0
SKYNET 1A,1969-101A,2026-03-01T10:14:26.257920,1.00272122,.0025368,0.1650,72.5684,170.6450,326.5375,0,U,4250,999,13343,0,-.12E-5,0
NATO 2A,1970-021A,2026-03-01T10:13:03.890208,1.00279517,.000309,0.6691,295.6844,324.6926,304.0448,0,U,4353,999,12468,0,-.9E-6,0
INTELSAT 3-F7,1970-032A,2026-02-28T12:29:08.403360,1.00373219,.00050219,2.1472,90.0011,222.1841,138.2006,0,U,4376,999,4627,0,-.358E-5,0
ATLAS AGENA D R/B,1970-046B,2026-03-01T10:00:03.024288,1.00405246,.003119,1.4197,86.0332,302.7654,57.6909,0,U,4511,999,2447,0,-.296E-5,0
