OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SYNCOM 2 (A 26),1963-031A,2026-02-28T17:08:47.851008,1.00251270,.00057702,30.2145,301.9823,204.1933,343.5034,0,U,634,999,22927,0,-.7E-6,0
SYNCOM 3,1964-047A,2026-02-28T16:04:00.771168,1.00368957,.000395,6.7016,65.6118,190.6003,177.2831,0,U,858,999,5238,0,.135E-5,0
DELTA 1 R/B,1964-047B,2026-03-01T03:42:38.621952,2.05112358,.7118868,16.8340,3.8231,328.8443,3.8138,0,U,862,999,25594,0,.1E-7,0
INTELSAT 1-F1,1965-028A,2026-02-27T23:39:38.521728,1.00183815,.00057674,6.8908,64.8444,165.5320,194.1940,0,U,1317,999,12607,0,-.197E-5,0
DELTA 1 R/B(2),1965-028B,2026-02-28T08:58:00.420672,2.11824596,.69340453,17.9154,295.6788,95.6144,8.6706,0,U,1318,999,10502,0,-.158E-5,0
INTELSAT 2-F1,1966-096A,2026-03-01T12:00:09.383040,2.00382865,.6394001,17.5527,75.3601,144.2614,283.3116,0,U,2514,999,9265,0,-.347E-5,0
ATS 1,1966-110A,2026-03-01T09:39:29.608128,1.00334016,.0007004,4.7028,70.9612,193.2215,174.0896,0,U,2608,999,13372,0,-.326E-5,0
INTELSAT 2-F2,1967-001A,2026-03-01T05:27:38.755296,1.00218185,.0008232,2.9756,78.3961,209.6786,284.1175,0,U,2639,999,11816,0,-.234E-5,0
INTELSAT 2-F3,1967-026A,2026-02-28T21:04:19.694208,1.00309526,.0019714,3.8124,68.6605,225.4879,187.6430,0,U,2717,999,12281,0,.35E-6,0
TITAN 3C TRANSTAGE R/B,1967-040F,2026-03-02T07:12:21.614688,0.50943626,.7893701,16.6466,210.7099,349.3709,359.0435,0,U,2770,999,2275,0,-.907E-5,0
INTELSAT 2-F4,1967-094A,2026-03-01T10:10:41.616192,1.00377736,.0010754,3.8021,75.3358,153.4448,326.5135,0,U,2969,999,11423,0,-.48E-6,0
ATS 3,1967-111A,2026-03-01T10:13:56.304768,1.00271789,.0014562,2.9003,79.6478,29.7123,98.0621,0,U,3029,999,21355,0,-.105E-5,0
OPS 2222,1968-063A,2026-03-01T02:07:38.781984,0.99250774,.08959144,6.1942,283.3429,228.9641,318.1661,0,U,3334,999,2505,0,-.225E-5,0
