OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2026-03-01T12:13:49.682784,12.53696240,.0012041,101.9970,72.6114,338.0089,146.0338,0,U,7530,999,34702,.14258E-3,-.24E-6,0
PHASE 3B (AO-10),1983-058B,2026-02-26T15:34:09.593760,2.05871022,.60502883,25.9363,238.1501,84.9862,337.2714,0,U,14129,999,29321,0,.122E-5,0
UOSAT 2 (UO-11),1984-021B,2026-03-01T11:36:00.519840,14.90470288,.000769,97.7932,27.3621,168.5941,191.5453,0,U,14781,999,24108,.19127E-3,.1811E-4,0
LUSAT (LO-19),1990-005G,2026-03-01T00:56:28.925952,14.34083664,.00119796,98.8940,78.8212,158.5935,201.5752,0,U,20442,999,88689,.77113596E-4,.169E-5,0
EYESAT A (AO-27),1993-061C,2026-03-01T04:13:38.570304,14.30909702,.00093035,98.7001,127.5792,61.8489,298.3632,0,U,22825,999,69155,.63504831E-4,.122E-5,0
ITAMSAT (IO-26),1993-061D,2026-03-01T04:30:10.456992,14.31333439,.00096347,98.6949,127.4973,46.5481,313.6501,0,U,22826,999,69186,.68070796E-4,.136E-5,0
RADIO ROSTO (RS15),1994-085A,2026-03-01T10:44:19.379328,11.27583699,.0152374,64.8149,117.4643,23.5837,337.1979,0,U,23439,999,28375,.50239E-3,-.25E-6,0
JAS-2 (FO-29),1996-046B,2026-03-01T12:20:26.714976,13.53268308,.035018,98.5394,284.0391,15.9708,345.2148,0,U,24278,999,45860,.1657E-4,-.19E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-03-01T10:49:49.473984,14.24403395,.0001821,99.0017,50.5226,132.1214,228.0119,0,U,25397,999,43599,.66779E-4,.108E-5,0
ISS (ZARYA),1998-067A,2026-03-01T10:42:24.882912,15.48380101,.0008284,51.6323,113.1104,145.6657,214.4868,0,U,25544,999,55505,.18913E-3,.9769E-4,0
PCSAT (NO-44),2001-043C,2026-03-01T10:56:41.024832,14.31907044,.0007019,67.0510,162.9061,265.3260,94.7041,0,U,26931,999,27502,.10085E-3,.187E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-03-01T10:57:26.169696,14.82743943,.0075059,64.5510,102.2353,282.1563,77.1142,0,U,27607,999,24848,.24292E-3,.191E-4,0
CUTE-1 (CO-55),2003-031E,2026-02-28T23:50:05.053920,14.24257525,.0010391,98.6778,69.8999,135.3044,224.8974,0,U,27844,999,17627,.1858525E-3,.385E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-03-01T11:45:32.453280,14.23554450,.0010013,98.6807,70.1897,150.6547,209.5195,0,U,27848,999,17605,.17102E-3,.346E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-03-01T13:34:23.562336,14.73225149,.0010221,98.3427,241.9009,248.3212,146.0060,0,U,27939,999,19970,.21066E-3,.1307E-4,0
CUBESAT XI-V,2005-043F,2026-03-01T08:33:26.378784,14.72274458,.0014273,98.2811,213.8242,183.4223,176.6888,0,U,28895,999,8588,.39486E-3,.2445E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-03-01T11:41:37.143744,15.08226230,.0010409,97.8184,39.8128,43.2272,316.9770,0,U,32785,999,96895,.57154E-3,.8796E-4,0
SEEDS II (CO-66),2008-021J,2026-03-01T11:28:29.256096,15.28650703,.0002874,97.7502,53.5693,23.1073,337.0295,0,U,32791,999,97081,.84353E-3,.23475E-3,0
YUBILEINY (RS30),2008-025A,2026-03-01T11:58:37.411968,12.43175886,.0019225,82.4988,62.4206,183.1097,176.9867,0,U,32953,999,80631,.46126E-3,.74E-6,0
KKS-1 (KISEKI),2009-002H,2026-03-01T10:25:56.787456,14.82790654,.0006474,98.1188,341.2046,283.5110,76.5381,0,U,33499,999,92022,.26322E-3,.2073E-4,0
SWISSCUBE,2009-051B,2026-03-01T06:23:10.300416,14.62231629,.0006495,98.4108,326.2594,178.2176,181.9049,0,U,35932,999,87338,.3009E-3,.1467E-4,0
BEESAT-1,2009-051C,2026-03-01T06:56:20.090688,14.61509618,.0004732,98.4037,326.1398,189.6799,170.4311,0,U,35933,999,87342,.25806E-3,.1231E-4,0
ITUPSAT1,2009-051E,2026-03-01T04:27:57.737088,14.60246277,.0006684,98.4126,325.3382,205.9421,154.1444,0,U,35935,999,87297,.2431E-3,.1124E-4,0
XIWANG-1 (HOPE-1),2009-072B,2026-03-01T11:26:58.213824,13.16434377,.0007999,100.3891,16.0918,117.0716,243.1214,0,U,36122,999,77883,-.3753E-3,-.188E-5,0
O/OREOS (USA 219),2010-062C,2026-03-01T03:45:43.938720,14.93224567,.00169194,71.9729,324.9554,271.0216,88.9016,0,U,37224,999,10051,.28754566E-3,.2953E-4,0
JUGNU,2011-058B,2026-03-01T12:18:29.865024,14.13736268,.0018613,19.9599,242.5745,327.3699,56.1645,0,U,37839,999,74377,.11308E-3,.484E-5,0
SRMSAT,2011-058D,2026-03-01T01:44:27.289248,14.11543719,.00118979,19.9732,353.8578,94.9480,9.1184,0,U,37841,999,74252,.99837702E-4,.449E-5,0
STRAND-1,2013-009E,2026-03-01T11:42:28.086048,14.37086242,.0008559,98.3880,243.3837,185.7162,174.3928,0,U,39090,999,68159,.16699E-3,.453E-5,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-03-01T11:02:04.755264,15.00219983,.0041399,97.8179,22.2431,247.8949,111.7877,0,U,39417,999,66457,.47976E-3,.6047E-4,0
GOMX-1,2013-066Q,2026-03-01T12:22:06.539808,14.69059098,.0130693,97.6578,267.7299,63.5240,297.9303,0,U,39430,999,65410,.29863E-3,.1947E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-03-01T09:16:38.015040,14.92825851,.0059601,97.8797,9.0474,26.2789,334.1433,0,U,39440,999,66090,.65121E-3,.6918E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2026-03-01T11:28:54.934176,15.07720939,.0036446,97.8159,29.8789,207.4761,152.4541,0,U,39444,999,66342,.6256E-3,.9637E-4,0
UWE-3,2013-066AG,2026-03-01T08:52:17.312448,14.96062052,.0048838,97.8588,15.8704,321.2040,38.5678,0,U,39446,999,66145,.59529E-3,.679E-4,0
UNISAT-6,2014-033C,2026-03-01T09:36:00.747360,14.87562253,.0046548,97.7704,215.1486,64.6563,295.9463,0,U,40012,999,63013,.42199E-3,.3853E-4,0
DUCHIFAT-1,2014-033M,2026-03-01T01:04:16.715424,15.48607986,.00068207,98.0658,105.4611,108.7598,251.4391,0,U,40021,999,63893,.10650066E-2,.57128E-3,0
QB50P1,2014-033R,2026-02-28T23:59:39.202656,15.16293301,.0007358,98.1003,63.6971,227.8584,132.2023,0,U,40025,999,63662,.55682E-3,.10723E-3,0
LILACSAT-2,2015-049K,2026-03-01T13:30:53.033184,15.47670832,.0005616,97.4822,93.5069,286.3714,73.6918,0,U,40908,999,57908,.39146E-3,.20166E-3,0
FOX-1A (AO-85),2015-058D,2026-02-28T22:27:45.591840,14.90263896,.012936,64.7738,255.2193,99.4296,262.1465,0,U,40967,999,9743,.36968E-3,.4045E-4,0
CAS-2T & KS-1Q,2016-066G,2026-03-01T04:28:57.703008,14.44437526,.03438465,98.3903,137.1302,97.1927,266.8483,0,U,41847,999,48920,.2390399E-3,.1654E-4,0
