OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
EUTELSAT 139 WEST A,2004-008A,2026-03-01T09:49:18.063840,1.00833945,.000084,5.5554,73.3023,56.6381,133.1558,0,U,28187,999,8027,0,-.229E-5,0
EUTELSAT 174A,2005-052A,2026-03-01T11:39:42.005376,1.00272810,.0006279,3.9457,77.8648,264.1306,166.1619,0,U,28924,999,5125,0,-.8E-7,0
EUTELSAT 33F,2006-032A,2026-03-01T08:26:38.539680,1.00274183,.0003566,1.3830,83.5127,258.6142,336.7637,0,U,29270,999,4622,0,.138E-5,0
EUTELSAT HOTBIRD 13C,2008-065A,2026-03-01T10:29:32.309664,1.00269833,.0003798,2.6735,80.4840,268.9447,276.8720,0,U,33459,999,4626,0,-.3E-5,0
EUTELSAT 36B,2009-065A,2026-03-01T10:58:22.046304,1.00270164,.0005907,0.2191,77.3207,262.8896,34.1017,0,U,36101,999,5962,0,.94E-6,0
EUTELSAT KA-SAT 9A,2010-069A,2026-03-01T08:50:38.692032,1.00271401,.0002663,0.0566,354.4628,144.7931,161.5657,0,U,37258,999,4292,0,.43E-6,0
EUTELSAT 7 WEST A,2011-051A,2026-03-01T08:59:03.485760,1.00271293,.0001604,0.0672,0.7041,245.3803,40.5204,0,U,37816,999,5279,0,-.79E-6,0
EUTELSAT 16A,2011-057A,2026-03-01T07:23:05.186688,1.00270370,.0005452,0.0590,342.8532,358.7406,304.2688,0,U,37836,999,625,0,.85E-6,0
EUTELSAT 21B,2012-062B,2026-03-01T07:24:42.531840,1.00270218,.0002842,0.0677,350.5797,345.2432,316.0419,0,U,38992,999,4874,0,.111E-5,0
EUTELSAT 70B,2012-069A,2026-03-01T09:21:16.356096,1.00272245,.0002143,0.0656,2.8285,316.4314,50.7265,0,U,39020,999,4842,0,-.62E-6,0
EUTELSAT 117 WEST A,2013-012A,2026-03-01T12:19:36.811200,1.00272394,.0003066,0.0593,287.9689,56.9232,242.5022,0,U,39122,999,4735,0,-.31E-6,0
EUTELSAT 7B,2013-022A,2026-03-01T09:03:10.592352,1.00271094,.0006277,0.0693,344.1120,6.1639,311.6600,0,U,39163,999,4686,0,.29E-6,0
EXPRESS-AT1,2014-010A,2026-03-01T05:51:51.435648,1.00271561,.0000492,0.0239,264.0786,359.4188,39.4790,0,U,39612,999,4373,0,.61E-6,0
EXPRESS-AT2,2014-010B,2026-03-01T12:03:38.784672,1.00268496,.0001377,0.0269,137.4783,122.2452,220.3412,0,U,39613,999,4342,0,0,0
EUTELSAT 3B,2014-030A,2026-03-01T09:02:03.197760,1.00272392,.0001381,0.0663,0.1366,272.3087,25.3143,0,U,39773,999,4298,0,.2E-7,0
EUTELSAT 115 WEST B,2015-010B,2026-03-01T10:58:31.399104,1.00274322,.0000053,0.0094,272.9395,9.6742,286.3691,0,U,40425,999,4031,0,-.44E-6,0
EUTELSAT 8 WEST B,2015-039B,2026-03-01T08:58:55.999200,1.00271489,.0003837,0.0663,349.9344,350.7943,305.1665,0,U,40875,999,3857,0,-.84E-6,0
EUTELSAT 9B,2016-005A,2026-03-01T08:50:38.692032,1.00272656,.0004575,0.0405,71.2519,246.6923,342.8503,0,U,41310,999,3703,0,.43E-6,0
