OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
APRIZESAT 2,2004-025A,2026-03-01T10:25:27.986880,14.37980626,.0104982,98.0898,232.5713,214.8391,144.5895,0,U,28366,999,13615,.13433E-3,.39E-5,0
SAUDICOMSAT 1,2004-025D,2026-03-01T11:50:54.256992,14.55377139,.0032073,98.5808,67.7069,355.6459,4.4453,0,U,28369,999,14846,.15213E-3,.615E-5,0
SAUDICOMSAT 2,2004-025E,2026-03-01T11:20:09.989376,14.49901422,.0054795,98.6685,69.6567,225.0645,134.6097,0,U,28370,999,14449,.11273E-3,.394E-5,0
APRIZESAT 1,2004-025G,2026-03-01T11:59:37.590432,14.51707445,.0045692,98.6343,68.2770,121.8894,238.6758,0,U,28372,999,14628,.99987E-4,.358E-5,0
NANOSAT-1,2004-049B,2026-03-01T08:04:43.629312,14.79888833,.0002808,98.2084,194.4893,282.5261,77.5636,0,U,28493,999,13949,.2315E-3,.1692E-4,0
SAUDICOMSAT 7,2007-012C,2026-03-01T09:53:24.494784,14.65954836,.0055917,98.3663,32.4177,172.9031,187.2976,0,U,31119,999,664,.15353E-3,.806E-5,0
SAUDICOMSAT 6,2007-012E,2026-03-01T11:17:11.264064,14.62413119,.0070879,98.3973,26.0707,302.8563,56.5828,0,U,31121,999,444,.20522E-3,.1022E-4,0
SAUDICOMSAT 5,2007-012H,2026-03-01T11:12:36.485280,14.67982410,.0048809,98.3376,33.2418,104.1049,256.5587,0,U,31124,999,779,.18269E-3,.1012E-4,0
SAUDICOMSAT 3,2007-012J,2026-03-01T09:48:39.767904,14.70497454,.0040126,98.3033,33.7431,34.4358,325.9436,0,U,31125,999,898,.24511E-3,.1451E-4,0
SAUDICOMSAT 4,2007-012L,2026-03-01T11:21:15.268896,14.64363160,.0062428,98.3867,30.9313,234.3177,125.2205,0,U,31127,999,552,.16114E-3,.822E-5,0
APRIZESAT 4,2009-041D,2026-03-01T03:46:40.795968,14.83688585,.00423948,98.1504,133.3036,313.1694,46.5979,0,U,35684,999,89534,.11632576E-3,.917E-5,0
APRIZESAT 3,2009-041F,2026-03-01T08:23:47.797728,14.95856548,.0063195,98.1874,208.5340,63.8870,296.8834,0,U,35686,999,90025,.23801E-3,.2701E-4,0
S-NET D,2018-014G,2026-03-01T06:56:46.939488,15.15492209,.0009659,97.5448,325.7947,40.9118,319.2838,0,U,43186,999,44241,.39529E-3,.7427E-4,0
S-NET B,2018-014H,2026-03-01T07:10:19.452864,15.15464884,.0010189,97.5455,325.7871,36.5929,323.5997,0,U,43187,999,44241,.36883E-3,.692E-4,0
S-NET A,2018-014J,2026-03-01T06:55:53.745600,15.15499097,.0010122,97.5464,325.9664,36.8876,323.3051,0,U,43188,999,44241,.40317E-3,.7579E-4,0
S-NET C,2018-014K,2026-03-01T07:15:05.020416,15.15457412,.0011338,97.5481,326.0375,29.4988,330.6882,0,U,43189,999,44096,.35977E-3,.6749E-4,0
SALSAT,2020-068K,2026-03-01T11:42:16.163712,15.27983521,.0008976,97.8843,57.1429,330.8256,29.2479,0,U,46495,999,29890,.40526E-3,.11E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2026-03-01T12:12:36.444096,15.02173136,.0055212,61.9932,240.8886,110.7559,249.9460,0,U,60240,999,8993,.31364E-3,.4072E-4,0
