OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M001,1998-008A,2026-03-01T03:49:00.369120,12.38229086,.00022706,52.0041,305.2777,77.8396,88.8695,0,U,25162,999,27554,.33874481E-3,-.52E-6,0
GLOBALSTAR M004,1998-008B,2026-03-01T05:00:38.259360,12.63415640,.0003406,52.0034,350.0293,131.9156,14.1102,0,U,25163,999,29417,.14204E-3,-.78E-6,0
GLOBALSTAR M002,1998-008C,2026-03-01T01:06:07.250400,11.61515362,.0000594,52.0032,316.1735,257.4671,102.6083,0,U,25164,999,21391,.3857853E-3,-.57E-6,0
GLOBALSTAR M003,1998-008D,2026-03-01T12:03:36.915840,12.12025905,.0008821,51.9857,175.8124,91.2131,349.5265,0,U,25165,999,26442,-.11108E-2,-.194E-5,0
GLOBALSTAR M014,1998-023A,2026-03-01T09:40:02.161920,11.65484913,.0001963,51.9809,233.0900,104.8674,264.8323,0,U,25306,999,22116,.14732E-3,-.7E-6,0
GLOBALSTAR M006,1998-023B,2026-03-01T01:55:49.397376,11.58177319,.00024712,51.9942,295.9847,203.2862,305.2553,0,U,25307,999,24659,.87499034E-3,-.33E-6,0
GLOBALSTAR M015,1998-023C,2026-03-01T08:16:00.065280,11.48860502,.0012731,51.9835,45.5789,173.2770,330.2285,0,U,25308,999,22363,-.16225E-4,-.74E-6,0
GLOBALSTAR M008,1998-023D,2026-03-01T11:06:24.250752,12.36081171,.0002384,51.9962,172.1374,14.2735,63.2509,0,U,25309,999,26966,.5039E-4,-.9E-6,0
GLOBALSTAR M023,1999-004A,2026-03-01T06:47:07.159200,12.62518090,.0009706,52.0136,350.5703,338.6364,187.7341,0,U,25621,999,24820,-.10068E-3,-.122E-5,0
GLOBALSTAR M040,1999-004B,2026-03-01T00:31:34.415904,12.62029048,.00003475,51.9947,355.8958,215.2341,226.0664,0,U,25622,999,24768,.1543492E-3,-.76E-6,0
GLOBALSTAR M036,1999-004C,2026-02-28T23:32:26.506176,11.86619998,.00103839,51.9962,283.4565,179.3634,326.7092,0,U,25623,999,20946,.6441695E-3,-.39E-6,0
GLOBALSTAR M038,1999-004D,2026-03-01T10:26:42.634752,12.32541687,.000159,51.9982,50.7143,224.1221,302.1289,0,U,25624,999,23409,.1534E-3,-.76E-6,0
GLOBALSTAR M022,1999-012A,2026-03-01T02:33:41.753664,12.02510250,.00024585,52.0055,312.4728,334.7956,172.1806,0,U,25649,999,20728,.75230399E-3,-.24E-6,0
GLOBALSTAR M041,1999-012B,2026-03-01T09:30:56.837088,11.96684582,.0002207,52.0000,200.9739,109.5937,250.5138,0,U,25650,999,20907,-.12281E-3,-.95E-6,0
GLOBALSTAR M046,1999-012C,2026-03-01T12:50:04.565184,12.09419927,.000263,52.0036,252.0484,59.8069,334.9603,0,U,25651,999,21480,-.10617E-2,-.185E-5,0
GLOBALSTAR M037,1999-012D,2026-03-01T11:56:04.719840,12.62461949,.0002044,51.9996,120.4379,51.8861,56.3056,0,U,25652,999,24377,-.1208E-4,-.106E-5,0
GLOBALSTAR M045,1999-019A,2026-03-01T02:56:34.609056,12.27073264,.00009728,51.9969,292.9434,64.9565,101.4192,0,U,25676,999,22493,.5014237E-3,-.37E-6,0
GLOBALSTAR M019,1999-019B,2026-03-01T10:35:49.862112,12.13886660,.000172,51.9872,80.5017,121.8897,26.0836,0,U,25677,999,21638,-.49414E-5,-.9E-6,0
GLOBALSTAR M044,1999-019C,2026-03-01T10:17:25.749600,11.90262423,.0006267,51.9970,64.0756,173.5592,353.8467,0,U,25678,999,20195,.10197E-3,-.76E-6,0
GLOBALSTAR M042,1999-019D,2026-03-01T09:28:58.248768,12.22094538,.0003093,52.0028,44.8383,107.3194,59.1107,0,U,25679,999,21670,-.19949E-3,-.113E-5,0
