OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HULIANWANG DIGUI-01,2024-240A,2026-03-01T11:50:15.723456,13.24420241,.0001913,86.5022,19.5447,87.0531,273.0822,0,U,62323,999,5838,.38223E-4,.31E-6,0
HULIANWANG DIGUI-02,2024-240B,2026-03-01T12:01:00.767712,13.24421828,.0001821,86.5051,19.6711,90.6192,269.5151,0,U,62324,999,5839,.59608E-4,.4E-6,0
HULIANWANG DIGUI-03,2024-240C,2026-03-01T11:39:13.305888,13.24421810,.0001997,86.5005,19.4674,86.0397,274.0966,0,U,62325,999,5838,.84268E-5,.18E-6,0
HULIANWANG DIGUI-04,2024-240D,2026-03-01T11:28:23.361888,13.24421539,.000203,86.5014,19.5013,87.0407,273.0960,0,U,62326,999,5838,.33889E-4,.29E-6,0
HULIANWANG DIGUI-05,2024-240E,2026-03-01T11:17:34.617120,13.24420778,.0002067,86.5066,19.7214,86.0054,274.1316,0,U,62327,999,5838,.61665E-4,.41E-6,0
HULIANWANG DIGUI-06,2024-240F,2026-03-01T10:55:41.002752,13.24422664,.0001997,86.5004,19.4477,90.3708,269.7654,0,U,62328,999,5838,.10058E-3,.58E-6,0
HULIANWANG DIGUI-07,2024-240G,2026-03-01T10:44:56.181408,13.24420768,.0001986,86.4975,19.3195,88.4117,271.7244,0,U,62329,999,5838,.12166E-3,.67E-6,0
HULIANWANG DIGUI-08,2024-240H,2026-03-01T11:06:43.313184,13.24420672,.0002104,86.5058,19.6817,87.4439,272.6936,0,U,62330,999,5838,.7115E-4,.45E-6,0
HULIANWANG DIGUI-09,2024-240J,2026-03-01T10:33:57.555072,13.24422000,.0001931,86.5023,19.5858,90.5844,269.5511,0,U,62331,999,5837,.12109E-3,.67E-6,0
HULIANWANG DIGUI-10,2024-240K,2026-03-01T12:11:55.466304,13.24421382,.0001911,86.5053,19.6843,92.6284,267.5069,0,U,62332,999,5838,.83284E-4,.5E-6,0
HULIANWANG DIGUI-11,2025-030A,2026-03-01T12:04:36.119712,13.29337514,.0000742,49.9994,262.0617,156.6356,203.4550,0,U,62971,999,5153,.11306E-3,-.72E-6,0
