OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 10 (IS-10),2001-019A,2026-03-01T08:03:08.846784,0.99042199,.0006029,8.8184,60.3522,263.3849,112.9677,0,U,26766,999,4451,0,-.287E-5,0
INTELSAT 902 (IS-902),2001-039A,2026-03-01T10:29:32.309664,1.00271353,.0004613,5.8449,73.0995,271.5103,281.9066,0,U,26900,999,8961,0,-.299E-5,0
INTELSAT 904 (IS-904),2002-007A,2026-03-01T07:09:28.990944,1.00270605,.0005975,6.6510,70.4779,304.7857,219.6908,0,U,27380,999,5068,0,-.242E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-03-01T09:36:50.722848,1.00271759,.0003572,4.6027,76.6579,266.6580,209.9786,0,U,27426,999,8704,0,-.74E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-02-26T01:38:08.992032,1.00272444,.0003033,6.4740,71.1375,266.5056,65.6055,0,U,27438,999,5024,0,.83E-6,0
GALAXY 3C (G-3C),2002-030A,2026-02-28T13:44:36.636864,1.00271161,.00008072,3.4547,79.5120,37.3162,152.8592,0,U,27445,999,4540,0,-.17E-5,0
INTELSAT 906 (IS-906),2002-041A,2026-03-01T04:11:23.568576,1.00272294,.0003283,5.5280,74.2541,253.1119,318.5971,0,U,27513,999,8594,0,-.4E-7,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-03-01T12:39:08.231040,1.00271280,.0002171,1.1394,85.3522,256.5176,217.2129,0,U,27954,999,4549,0,.115E-5,0
INTELSAT 10-02,2004-022A,2026-03-01T09:00:55.805760,1.00270198,.0001053,0.0167,118.2976,244.9884,290.0998,0,U,28358,999,7947,0,-.3E-6,0
DIRECTV 8,2005-019A,2026-03-01T12:19:28.685280,1.00271885,.0003261,0.0153,136.5481,214.2172,234.3369,0,U,28659,999,7599,0,-.17E-6,0
GALAXY 28 (G-28),2005-022A,2026-03-01T10:36:09.176832,1.00258494,.000309,3.0220,80.2906,257.7964,313.0739,0,U,28702,999,5089,0,-.219E-5,0
GALAXY 16 (G-16),2006-023A,2026-03-01T08:32:58.486272,1.00270023,.0002331,0.0384,218.9861,133.6549,195.7311,0,U,29236,999,7189,0,-.145E-5,0
DIRECTV 9S,2006-043A,2026-03-01T10:15:03.699360,1.00271241,.0003135,2.1426,82.2398,261.2242,228.3051,0,U,29494,999,5030,0,-.131E-5,0
GALAXY 17 (G-17),2007-016B,2026-03-01T10:19:40.754784,1.00270730,.0003278,2.6990,81.2796,256.5111,251.3404,0,U,31307,999,6872,0,-.224E-5,0
DIRECTV 10,2007-032A,2026-03-01T09:21:23.844384,0.98335599,.0006486,0.1238,101.7296,270.0678,358.3961,0,U,31862,999,4450,0,.6E-7,0
INTELSAT 11 (IS-11),2007-044B,2026-03-01T12:20:34.778688,0.99047727,.0005482,3.2849,79.9969,203.3840,300.2988,0,U,32253,999,6738,0,.55E-6,0
HORIZONS-2,2007-063B,2026-03-01T10:22:47.955936,1.00272338,.0002893,2.3242,81.9918,248.8593,270.2706,0,U,32388,999,6673,0,-.271E-5,0
DIRECTV 11,2008-013A,2026-03-01T08:04:26.630112,1.00271371,.0000284,0.0021,272.5400,75.0890,193.4078,0,U,32729,999,4451,0,-.144E-5,0
GALAXY 18 (G-18),2008-024A,2026-03-01T12:22:28.305696,1.00272603,.0003061,0.0191,230.4838,121.2849,230.1400,0,U,32951,999,4477,0,.7E-7,0
INTELSAT 25 (IS-25),2008-034A,2026-03-01T10:34:54.295680,1.00270855,.0003913,2.4296,81.6576,238.3080,326.4878,0,U,33153,999,6461,0,-.242E-5,0
GALAXY 19 (G-19),2008-045A,2026-03-01T10:16:11.091360,1.00271884,.0003069,0.0566,267.6924,80.8304,227.7203,0,U,33376,999,6382,0,-.157E-5,0
FM-5,2009-034A,2026-03-01T10:19:18.290784,1.00268355,.0001217,0.0420,276.7681,303.8907,7.2160,0,U,35493,999,4556,0,-.218E-5,0
INTELSAT 14 (IS-14),2009-064A,2026-03-01T10:31:02.167392,1.00272003,.0002533,0.0137,100.4921,249.3767,282.1062,0,U,36097,999,5952,0,-.292E-5,0
INTELSAT 15 (IS-15),2009-067A,2026-03-01T09:25:30.950112,1.00271651,.0002366,0.0166,97.8739,245.0261,42.8031,0,U,36106,999,4014,0,-.203E-5,0
DIRECTV 12,2009-075A,2026-03-01T10:14:33.746208,1.00273549,.0000404,0.0188,319.1212,20.5356,230.4799,0,U,36131,999,4547,0,-.122E-5,0
INTELSAT 16 (IS-16),2010-006A,2026-03-01T10:22:10.517088,1.00263610,.0001836,0.0228,132.8336,213.3485,252.4074,0,U,36397,999,5857,0,0,0
