OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2026-03-01T05:36:02.220192,14.34218330,.000188,86.3993,133.6936,104.0446,256.0959,0,U,41917,999,47773,.67572E-4,.209E-5,0
IRIDIUM 103,2017-003B,2026-03-01T05:17:46.300128,14.34217818,.0002199,86.3997,133.5989,87.6926,272.4522,0,U,41918,999,47775,.11372E-4,.52E-6,0
IRIDIUM 109,2017-003C,2026-03-01T07:07:22.267200,14.34217794,.0002168,86.3996,133.6251,95.7286,264.4157,0,U,41919,999,47773,.6116E-5,.37E-6,0
IRIDIUM 102,2017-003D,2026-03-01T06:21:42.281280,14.34217718,.0002236,86.3994,133.5642,97.1482,262.9968,0,U,41920,999,47781,.44179E-4,.144E-5,0
IRIDIUM 105,2017-003E,2026-03-01T12:15:45.302400,14.34396988,.0002268,86.3929,101.9170,93.1938,266.9518,0,U,41921,999,47970,.10561E-3,.317E-5,0
IRIDIUM 104,2017-003F,2026-03-01T06:39:58.343040,14.34218077,.0002412,86.3997,133.5998,89.9858,270.1614,0,U,41922,999,47780,.34225E-4,.116E-5,0
IRIDIUM 114,2017-003G,2026-03-01T06:49:06.303936,14.34217659,.0002276,86.3995,133.5807,90.5494,269.5962,0,U,41923,999,47778,.89212E-5,.45E-6,0
IRIDIUM 108,2017-003H,2026-03-01T04:08:54.478464,14.34217444,.00022178,86.3926,101.9470,97.4693,262.6755,0,U,41924,999,47962,-.12168157E-4,-.14E-6,0
IRIDIUM 112,2017-003J,2026-03-01T06:30:50.312160,14.34217611,.0002351,86.3993,133.4334,94.6947,265.4517,0,U,41925,999,47780,.16979E-4,.67E-6,0
IRIDIUM 111,2017-003K,2026-03-01T06:12:34.256448,14.34217973,.0002145,86.3994,133.5067,94.8048,265.3393,0,U,41926,999,47778,.45977E-4,.149E-5,0
IRIDIUM 113,2017-039A,2026-03-01T09:04:39.206784,14.34217708,.0002295,86.4016,7.2199,83.2212,276.9245,0,U,42803,999,45573,.16401E-6,.2E-6,0
IRIDIUM 123,2017-039B,2026-03-01T11:44:50.875008,14.34217135,.0002054,86.3957,38.6318,83.0481,277.0949,0,U,42804,999,45451,.30388E-5,.28E-6,0
IRIDIUM 120,2017-039C,2026-03-01T08:55:31.099872,14.34217636,.0002068,86.4008,7.0192,89.2060,270.9373,0,U,42805,999,45572,.11681E-3,.347E-5,0
IRIDIUM 115,2017-039D,2026-03-01T09:04:57.792288,14.43281619,.0001883,86.4544,7.1302,83.2324,276.9091,0,U,42806,999,45871,.13134E-3,.462E-5,0
IRIDIUM 118,2017-039E,2026-03-01T10:50:02.764896,14.34217414,.0002257,86.3957,38.6466,85.8461,274.2992,0,U,42807,999,45450,.4657E-4,.15E-5,0
IRIDIUM 117,2017-039F,2026-03-01T11:17:26.882592,14.34217401,.0001999,86.3955,38.5977,83.6860,276.4563,0,U,42808,999,45453,-.10016E-4,-.8E-7,0
IRIDIUM 126,2017-039G,2026-03-01T10:13:30.920448,14.34217521,.0002099,86.3954,38.6656,82.3019,277.8415,0,U,42809,999,45450,-.11942E-4,-.14E-6,0
IRIDIUM 124,2017-039H,2026-03-01T07:29:59.104032,14.43266198,.0002124,86.4540,335.4740,83.7675,276.3767,0,U,42810,999,45955,.13485E-3,.474E-5,0
IRIDIUM 128,2017-039J,2026-03-01T11:40:38.650944,14.34217674,.0002031,86.3906,70.1788,94.7556,265.3871,0,U,42811,999,45454,.13291E-4,.57E-6,0
IRIDIUM 121,2017-039K,2026-03-01T10:40:54.926688,14.34217525,.0002102,86.3957,38.6846,90.7000,269.4437,0,U,42812,999,45438,-.24404E-5,.13E-6,0
IRIDIUM 133,2017-061A,2026-03-01T10:45:50.654016,14.34217234,.0002023,86.3910,70.3101,90.6048,269.5379,0,U,42955,999,43933,-.15425E-4,-.23E-6,0
IRIDIUM 100,2017-061B,2026-03-01T12:17:10.618080,14.34217290,.0002064,86.3908,70.2046,90.5010,269.6422,0,U,42956,999,43934,-.13276E-4,-.17E-6,0
IRIDIUM 122,2017-061C,2026-03-01T11:31:30.476640,14.34217412,.0002156,86.3907,70.2178,88.0807,272.0635,0,U,42957,999,43934,.10678E-4,.5E-6,0
IRIDIUM 129,2017-061D,2026-03-01T12:08:02.739264,14.34217539,.000245,86.3908,70.2731,88.1357,272.0119,0,U,42958,999,43936,-.12125E-5,.16E-6,0
IRIDIUM 119,2017-061E,2026-03-01T11:22:22.686816,14.34217566,.0002186,86.3910,70.2818,86.3782,273.7663,0,U,42959,999,43937,-.52659E-5,.5E-7,0
IRIDIUM 107,2017-061F,2026-03-01T11:49:46.616160,14.34217502,.0001841,86.3909,70.2945,85.0442,275.0963,0,U,42960,999,43938,-.6798E-5,.1E-7,0
IRIDIUM 132,2017-061G,2026-03-01T11:58:54.603840,14.34217146,.0002035,86.3908,70.2720,89.9028,270.2401,0,U,42961,999,43938,-.15615E-4,-.24E-6,0
IRIDIUM 136,2017-061H,2026-03-01T11:04:06.670848,14.34218022,.0002196,86.3907,70.2939,87.7885,272.3562,0,U,42962,999,43939,.18732E-4,.72E-6,0
IRIDIUM 139,2017-061J,2026-03-01T11:13:14.693088,14.34217724,.0002108,86.3910,70.3514,90.7366,269.4071,0,U,42963,999,43940,.70924E-5,.4E-6,0
IRIDIUM 125,2017-061K,2026-03-01T10:54:58.627008,14.34217465,.0002016,86.3910,70.4162,74.0139,286.1278,0,U,42964,999,43941,-.65444E-5,.1E-7,0
IRIDIUM 135,2017-083A,2026-03-01T08:37:15.519360,14.34216294,.0002191,86.4013,7.0715,86.2275,273.9171,0,U,43070,999,42869,.11413E-3,.339E-5,0
IRIDIUM 138,2017-083B,2026-03-01T09:13:47.190144,14.34217599,.0002302,86.4024,6.7404,77.7847,282.3607,0,U,43071,999,42868,-.56411E-5,.4E-7,0
IRIDIUM 116,2017-083C,2026-03-01T08:28:07.158432,14.34217542,.0001878,86.4012,7.0620,92.7535,267.3876,0,U,43072,999,42871,-.17216E-5,.15E-6,0
IRIDIUM 130,2017-083D,2026-03-01T09:22:55.081056,14.34218526,.0001867,86.4020,7.3103,86.2866,273.8543,0,U,43073,999,42866,.108E-3,.322E-5,0
IRIDIUM 151,2017-083E,2026-03-01T08:46:23.189952,14.34217451,.0002045,86.4010,7.1119,86.5015,273.6414,0,U,43074,999,42868,-.81683E-5,-.3E-7,0
IRIDIUM 134,2017-083F,2026-03-01T09:41:11.148000,14.34217617,.0001945,86.4013,7.1024,84.5725,275.5692,0,U,43075,999,42865,-.76559E-6,.18E-6,0
IRIDIUM 137,2017-083G,2026-03-01T08:18:59.177664,14.34217927,.0002265,86.4015,7.2162,97.5291,262.6162,0,U,43076,999,42871,.11359E-4,.52E-6,0
IRIDIUM 141,2017-083H,2026-03-01T08:09:52.436736,14.34218845,.000226,86.4012,7.0560,83.1880,276.9573,0,U,43077,999,42871,.11118E-3,.331E-5,0
IRIDIUM 153,2017-083J,2026-03-01T07:00:59.427936,14.34217639,.000218,86.4019,335.5897,77.7680,282.3759,0,U,43078,999,42981,-.29227E-5,.12E-6,0
IRIDIUM 131,2017-083K,2026-03-01T09:32:02.976288,14.34215289,.0002336,86.4018,7.2109,85.5018,274.6445,0,U,43079,999,42865,.66824E-4,.207E-5,0
IRIDIUM 144,2018-030A,2026-03-01T07:10:07.402656,14.34217086,.000192,86.4009,335.5187,87.4879,272.6537,0,U,43249,999,41467,-.26947E-4,-.56E-6,0
IRIDIUM 149,2018-030B,2026-03-01T07:19:15.423168,14.34218014,.0002186,86.4014,335.4842,83.5698,276.5747,0,U,43250,999,41469,.63281E-4,.197E-5,0
IRIDIUM 157,2018-030C,2026-03-01T06:06:11.413728,14.34218099,.0002171,86.4016,335.5565,84.1608,275.9835,0,U,43251,999,41466,.4783E-4,.154E-5,0
IRIDIUM 140,2018-030D,2026-03-01T06:33:35.407872,14.34217948,.0002077,86.4017,335.5612,83.5431,276.6001,0,U,43252,999,41472,.55992E-4,.177E-5,0
IRIDIUM 145,2018-030E,2026-03-01T06:15:19.329696,14.34217650,.000186,86.4015,335.5390,91.6485,268.4923,0,U,43253,999,41465,.60057E-4,.188E-5,0
IRIDIUM 146,2018-030F,2026-03-01T07:28:23.411712,14.34217294,.000191,86.4011,335.5303,88.2195,271.9220,0,U,43254,999,41467,-.13811E-4,-.19E-6,0
IRIDIUM 148,2018-030G,2026-03-01T06:42:43.432704,14.34218286,.0002149,86.4017,335.5850,86.1014,274.0427,0,U,43255,999,41470,.95886E-4,.288E-5,0
IRIDIUM 142,2018-030H,2026-03-01T05:57:03.368160,14.34217896,.0001871,86.4014,335.4913,90.8529,269.2881,0,U,43256,999,41466,.17743E-4,.69E-6,0
IRIDIUM 150,2018-030J,2026-03-01T06:51:51.238080,14.34216117,.0001984,86.4014,335.5879,84.5507,275.5915,0,U,43257,999,41469,-.89826E-4,-.232E-5,0
IRIDIUM 143,2018-030K,2026-03-01T06:24:27.400320,14.34217347,.0001818,86.4015,335.6839,88.3507,271.7897,0,U,43258,999,41462,-.12369E-4,-.15E-6,0
IRIDIUM 161,2018-047C,2026-03-01T06:57:54.428256,14.43281428,.0002556,86.4516,133.5920,93.7027,266.4466,0,U,43478,999,40957,.11044E-3,.392E-5,0
IRIDIUM 152,2018-047D,2026-03-01T05:45:10.296000,14.34217779,.0002275,86.3990,133.4735,93.1674,266.9782,0,U,43479,999,40701,.80605E-4,.246E-5,0
IRIDIUM 147,2018-047E,2026-03-01T05:54:18.264672,14.34217886,.0002182,86.3991,133.4740,99.7147,260.4295,0,U,43480,999,40701,.13315E-4,.57E-6,0
IRIDIUM 110,2018-047F,2026-03-01T06:03:26.316288,14.34217868,.0002441,86.3993,133.5597,91.1422,269.0053,0,U,43481,999,40700,.96009E-5,.47E-6,0
IRIDIUM 162,2018-047G,2026-03-01T06:48:49.845600,14.43280215,.0002129,86.4513,133.4868,91.4585,268.6859,0,U,43482,999,40956,.10411E-3,.37E-5,0
IRIDIUM 160,2018-061A,2026-03-01T11:27:18.548064,14.34217834,.000238,86.3928,101.8532,93.1886,266.9582,0,U,43569,999,39793,.17905E-4,.7E-6,0
IRIDIUM 166,2018-061B,2026-03-01T12:03:50.466816,14.34218298,.0002178,86.3925,101.7944,96.4907,263.6536,0,U,43570,999,39796,.78883E-4,.241E-5,0
IRIDIUM 158,2018-061C,2026-03-01T11:18:10.274400,14.34217193,.0002148,86.3926,101.8176,89.6054,270.5388,0,U,43571,999,39792,.79281E-4,.242E-5,0
IRIDIUM 165,2018-061D,2026-03-01T11:54:42.509376,14.34217128,.0002207,86.3928,101.8514,97.5584,262.5863,0,U,43572,999,39795,-.19051E-5,.14E-6,0
IRIDIUM 155,2018-061E,2026-03-01T02:37:34.450464,14.34217731,.00019546,86.3923,101.8872,91.9952,268.1468,0,U,43573,999,39786,-.31704249E-4,-.69E-6,0
IRIDIUM 154,2018-061F,2026-03-01T12:12:59.955264,14.34220419,.0002179,86.3927,101.8487,99.0079,261.1363,0,U,43574,999,39797,.96547E-4,.29E-5,0
IRIDIUM 163,2018-061G,2026-03-01T11:45:34.472448,14.34217647,.0002133,86.3927,101.7753,91.3861,268.7579,0,U,43575,999,39794,.56755E-6,.21E-6,0
IRIDIUM 156,2018-061H,2026-03-01T11:09:02.467296,14.34217774,.0002026,86.3925,101.7927,93.9497,266.1931,0,U,43576,999,39793,.13995E-4,.59E-6,0
IRIDIUM 164,2018-061J,2026-03-01T03:59:46.481280,14.34217918,.00022074,86.3926,101.9559,98.7292,261.4154,0,U,43577,999,39793,.12458614E-4,.55E-6,0
IRIDIUM 159,2018-061K,2026-03-01T11:36:26.519328,14.34217499,.0002282,86.3925,101.7624,92.6898,267.4559,0,U,43578,999,39794,-.39781E-4,-.92E-6,0
