OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00008,2025-088A,2026-03-01T09:07:52.474080,14.98431511,.0009784,51.8902,124.8832,67.0812,293.1190,0,U,63724,999,4681,-.36483E-2,-.4407E-3,0
KUIPER-00009,2025-088B,2026-03-01T11:26:30.869952,14.80023553,.0008707,51.9019,142.9539,73.4187,286.7731,0,U,63725,999,4656,.89784E-3,.6647E-4,0
KUIPER-00010,2025-088C,2026-03-01T11:15:21.300192,14.79933105,.00006,51.9020,119.4439,77.9758,282.1272,0,U,63726,999,4651,.30323E-3,.2091E-4,0
KUIPER-00011,2025-088D,2026-03-01T11:52:01.530624,14.80006562,.0000387,51.8999,126.8949,67.5756,292.5248,0,U,63727,999,4654,.69715E-3,.5107E-4,0
KUIPER-00012,2025-088E,2026-02-26T10:35:19.171968,14.80041582,.000085,51.9004,125.3508,14.9772,345.1215,0,U,63728,999,4625,.64295E-3,.4696E-4,0
KUIPER-00013,2025-088F,2026-03-01T11:24:51.681024,14.79856471,.0002865,51.9023,144.4182,22.4628,337.6459,0,U,63729,999,4635,-.27866E-2,-.21361E-3,0
KUIPER-00014,2025-088G,2026-03-01T09:45:25.100064,14.79953780,.000033,51.9004,145.6940,33.7543,326.3440,0,U,63730,999,4614,.9411E-3,.6964E-4,0
KUIPER-00015,2025-088H,2026-03-01T12:06:47.739744,14.83541705,.0009658,51.8996,154.7387,48.7103,311.4691,0,U,63731,999,4648,.8345E-3,.6718E-4,0
KUIPER-00016,2025-088J,2026-03-01T11:18:45.358848,14.80029983,.000693,51.9003,147.9393,47.6853,312.4695,0,U,63732,999,4611,.84904E-3,.6273E-4,0
KUIPER-00018,2025-088K,2026-02-27T22:20:10.777920,14.79909676,.001007,51.9016,143.7191,61.2509,298.9463,0,U,63733,999,4604,-.3896E-3,-.3194E-4,0
KUIPER-00019,2025-088L,2026-03-01T10:01:04.570464,14.79937886,.0000844,51.9008,135.6765,106.0736,254.0320,0,U,63734,999,4628,.25743E-3,.1742E-4,0
