OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2026-03-01T11:44:51.134208,13.16592323,.0001201,87.8995,250.2116,91.2127,268.9141,0,U,44057,999,33739,.18599E-3,.84E-6,0
ONEWEB-0010,2019-010B,2026-03-01T12:21:19.778400,13.16592651,.0001851,87.9000,250.2017,104.4138,255.7198,0,U,44058,999,33744,.2038E-3,.91E-6,0
ONEWEB-0008,2019-010C,2026-03-01T11:08:22.720704,13.16593190,.0001694,87.8999,250.2090,87.1524,272.9800,0,U,44059,999,33755,-.12136E-4,.8E-7,0
ONEWEB-0007,2019-010D,2026-03-01T02:37:37.285248,13.15546892,.0001403,87.8950,280.8049,98.5897,261.5392,0,U,44060,999,33716,.61700664E-4,.36E-6,0
ONEWEB-0006,2019-010E,2026-03-01T00:53:47.122080,13.15547847,.00016159,87.8957,280.7725,95.2360,264.8955,0,U,44061,999,33720,-.65288607E-3,-.233E-5,0
ONEWEB-0011,2019-010F,2026-03-01T03:47:13.193376,13.15550922,.00017762,87.8959,280.7567,88.1688,271.9646,0,U,44062,999,33721,.4228278E-5,.14E-6,0
ONEWEB-0013,2020-008A,2026-03-01T12:09:44.556480,13.09443891,.0000972,87.8427,74.5666,73.1745,286.9488,0,U,45131,999,29197,-.32295E-3,-.99E-6,0
ONEWEB-0017,2020-008B,2026-03-01T11:43:14.263392,13.10375699,.0002001,87.8763,57.7185,93.4265,266.7091,0,U,45132,999,29384,-.11428E-2,-.386E-5,0
ONEWEB-0020,2020-008C,2026-03-01T11:00:13.656960,13.10368784,.0001845,87.8761,57.7147,88.2262,271.9077,0,U,45133,999,29423,-.53945E-4,-.6E-7,0
ONEWEB-0021,2020-008D,2026-03-01T11:21:42.705216,13.10371645,.0001764,87.8756,57.7366,89.6490,270.4839,0,U,45134,999,29454,-.16125E-2,-.55E-5,0
ONEWEB-0023,2020-008F,2026-03-01T11:37:15.222144,13.10374914,.0001693,87.8759,57.7144,85.2276,274.9045,0,U,45136,999,29397,-.14626E-2,-.498E-5,0
ONEWEB-0024,2020-008G,2026-03-01T10:57:49.197888,13.10398675,.0002023,87.8766,57.7036,89.8259,270.3100,0,U,45137,999,29413,.15554E-3,.67E-6,0
ONEWEB-0025,2020-008H,2026-02-27T11:35:26.998368,13.11029827,.00014925,87.8793,58.0881,225.2617,134.8390,0,U,45138,999,29420,.58781746E-1,.20775E-3,0
ONEWEB-0026,2020-008J,2026-03-01T12:05:29.609088,13.11414305,.000203,87.8849,42.4776,86.9084,273.2276,0,U,45139,999,29699,-.11185E-2,-.384E-5,0
ONEWEB-0028,2020-008K,2026-03-01T11:03:13.980672,13.11419914,.0001314,87.8840,42.4957,72.4932,287.6340,0,U,45140,999,29450,.87915E-3,.324E-5,0
ONEWEB-0032,2020-008L,2026-03-01T11:45:36.406944,13.10370458,.0001462,87.8767,57.7190,78.7344,281.3947,0,U,45141,999,29419,.16038E-2,.573E-5,0
ONEWEB-0033,2020-008M,2026-03-01T11:09:46.246176,13.10371273,.0002293,87.8754,57.7339,97.0615,263.0773,0,U,45142,999,29410,-.79273E-3,-.264E-5,0
ONEWEB-0035,2020-008N,2026-03-01T11:53:59.874432,13.10377056,.0001932,87.8762,57.7266,90.5994,269.5355,0,U,45143,999,29383,-.20315E-3,-.58E-6,0
ONEWEB-0036,2020-008P,2026-03-01T11:48:57.807072,13.09819702,.0001713,87.8774,57.6960,80.7762,279.3558,0,U,45144,999,29426,-.58943E-3,-.191E-5,0
ONEWEB-0038,2020-008Q,2026-03-01T10:30:28.569888,13.11417663,.0001758,87.8856,42.4910,141.5467,218.5786,0,U,45145,999,29620,-.13331E-2,-.46E-5,0
ONEWEB-0039,2020-008R,2026-03-01T11:14:32.749440,13.10371310,.0001353,87.8768,57.7156,81.1591,278.9689,0,U,45146,999,29405,-.12853E-2,-.436E-5,0
ONEWEB-0040,2020-008S,2026-03-01T11:04:59.982240,13.10370132,.0001796,87.8756,57.7343,91.4979,268.6354,0,U,45147,999,29375,-.45763E-3,-.147E-5,0
ONEWEB-0043,2020-008U,2026-03-01T11:07:22.745280,13.10370737,.0001345,87.8759,57.7166,77.1457,282.9820,0,U,45149,999,29407,-.59148E-3,-.194E-5,0
ONEWEB-0044,2020-008V,2026-03-01T11:48:00.896256,13.10376125,.0001641,87.8771,57.7062,87.9763,272.1553,0,U,45150,999,29437,-.68972E-3,-.228E-5,0
ONEWEB-0045,2020-008W,2026-03-01T12:12:48.748320,13.11415388,.0001722,87.8856,42.4636,85.4771,274.6554,0,U,45151,999,29629,-.13647E-2,-.471E-5,0
ONEWEB-0047,2020-008X,2026-03-01T11:38:28.339872,13.10378538,.0001912,87.8764,57.7109,92.4059,267.7287,0,U,45152,999,29409,-.18783E-2,-.643E-5,0
ONEWEB-0048,2020-008Y,2026-03-01T11:31:15.697056,13.10372150,.0001869,87.8758,57.7396,90.5243,269.6098,0,U,45153,999,29370,-.16592E-2,-.566E-5,0
ONEWEB-0049,2020-008Z,2026-03-01T11:35:50.849088,13.10373151,.0001956,87.8759,57.7269,74.4766,285.6578,0,U,45154,999,29392,-.1592E-2,-.543E-5,0
ONEWEB-0051,2020-008AA,2026-03-01T12:10:22.685664,13.11415572,.0001844,87.8851,42.4771,85.2888,274.8451,0,U,45155,999,29697,-.11769E-2,-.404E-5,0
ONEWEB-0052,2020-008AB,2026-03-01T11:32:41.404992,13.09875580,.0001896,87.8768,57.6975,72.3331,287.8003,0,U,45156,999,29383,-.17629E-2,-.598E-5,0
ONEWEB-0053,2020-008AC,2026-03-01T11:02:36.709440,13.10369605,.0001532,87.8756,57.7402,74.7399,285.3898,0,U,45157,999,29380,-.16942E-3,-.46E-6,0
ONEWEB-0054,2020-008AD,2026-03-01T11:52:48.509760,13.10375974,.0001912,87.8769,57.7073,85.8222,274.3124,0,U,45158,999,29392,-.24459E-3,-.73E-6,0
ONEWEB-0056,2020-008AE,2026-03-01T11:25:17.943168,13.10372950,.0001967,87.8764,57.7113,83.2253,276.9098,0,U,45159,999,29407,-.18683E-2,-.639E-5,0
ONEWEB-0057,2020-008AF,2026-03-01T11:36:15.779808,13.10374297,.0001698,87.8761,57.7198,80.9912,279.1407,0,U,45160,999,29424,-.13603E-2,-.462E-5,0
ONEWEB-0058,2020-008AG,2026-03-01T11:17:08.437056,13.10371223,.0001945,87.8757,57.7318,95.6576,264.4774,0,U,45161,999,29431,-.13647E-2,-.464E-5,0
ONEWEB-0059,2020-008AH,2026-03-01T11:12:09.498240,13.10370635,.0001791,87.8756,57.7327,91.9966,268.1366,0,U,45162,999,29421,-.11612E-2,-.393E-5,0
ONEWEB-0062,2020-008AJ,2026-03-01T11:49:13.107648,13.10376459,.0002097,87.8775,57.7091,98.9840,261.1524,0,U,45163,999,29408,-.59304E-3,-.194E-5,0
ONEWEB-0065,2020-008AK,2026-03-01T10:43:18.260832,13.10371563,.0001877,87.8755,57.7278,76.6865,283.4471,0,U,45164,999,29377,.16964E-2,.605E-5,0
ONEWEB-0066,2020-020A,2026-03-01T11:48:25.064928,13.11414218,.0001725,87.8852,42.4815,88.5204,271.6121,0,U,45424,999,28856,.15417E-3,.67E-6,0
ONEWEB-0067,2020-020B,2026-03-01T10:52:28.004160,13.11417730,.0001723,87.8862,42.3979,80.5190,279.6133,0,U,45425,999,28861,.12448E-4,.17E-6,0
ONEWEB-0080,2020-020C,2026-03-01T11:05:40.460640,13.11421371,.0002047,87.8853,42.4854,93.4884,266.6478,0,U,45426,999,28858,.10297E-2,.378E-5,0
ONEWEB-0090,2020-020D,2026-03-01T11:33:58.313088,13.11414428,.0001883,87.8847,42.4828,85.8439,274.2904,0,U,45427,999,28855,.13314E-2,.485E-5,0
ONEWEB-0061,2020-020E,2026-03-01T10:30:05.415552,13.11417867,.0001847,87.8853,42.4771,86.1169,274.0170,0,U,45428,999,28850,-.13927E-2,-.481E-5,0
ONEWEB-0081,2020-020F,2026-03-01T11:53:17.101248,13.11413462,.0001645,87.8853,42.4809,83.8708,276.2608,0,U,45429,999,28862,-.42512E-3,-.138E-5,0
ONEWEB-0069,2020-020G,2026-03-01T11:37:26.532768,13.11415779,.0001761,87.8846,42.4783,84.1687,275.9641,0,U,45430,999,28855,.10541E-2,.386E-5,0
ONEWEB-0031,2020-020H,2026-03-01T10:57:09.072000,13.11417910,.0001994,87.8841,42.5022,89.1644,270.9712,0,U,45431,999,28853,.4541E-3,.174E-5,0
ONEWEB-0027,2020-020J,2026-03-01T09:36:49.971168,13.17646705,.0002266,87.9143,27.2465,83.4663,276.6726,0,U,45432,999,29216,.117E-3,.58E-6,0
ONEWEB-0064,2020-020K,2026-03-01T10:54:42.497856,13.11417178,.0002024,87.8843,42.4927,86.6885,273.4474,0,U,45433,999,28856,.34062E-3,.133E-5,0
ONEWEB-0018,2020-020L,2026-03-01T09:51:13.951296,13.11414587,.0001762,87.8852,42.4978,89.7092,270.4238,0,U,45434,999,28850,.84396E-3,.312E-5,0
ONEWEB-0083,2020-020M,2026-03-01T11:27:40.553280,13.11414959,.0001896,87.8853,42.4721,87.1692,272.9653,0,U,45435,999,28855,.14895E-2,.541E-5,0
ONEWEB-0095,2020-020N,2026-03-01T11:14:26.749824,13.11418079,.0002418,87.8849,42.4828,70.3750,289.7639,0,U,45436,999,28855,.16265E-2,.589E-5,0
ONEWEB-0092,2020-020P,2026-03-01T10:33:57.452256,13.11417893,.0001919,87.8851,42.4886,73.9413,286.1926,0,U,45437,999,28866,-.11045E-2,-.379E-5,0
ONEWEB-0085,2020-020Q,2026-03-01T11:26:27.237696,13.11415242,.0001856,87.8845,42.4858,83.8049,276.3290,0,U,45438,999,28855,.15903E-2,.576E-5,0
ONEWEB-0096,2020-020R,2026-03-01T11:28:53.685696,13.11414709,.0001804,87.8855,42.4731,84.3590,275.7744,0,U,45439,999,28854,.13863E-2,.504E-5,0
ONEWEB-0037,2020-020S,2026-03-01T11:00:48.972096,13.11418033,.0001896,87.8859,42.4524,81.8812,278.2531,0,U,45440,999,28857,.83213E-3,.308E-5,0
ONEWEB-0042,2020-020T,2026-03-01T11:14:02.471424,13.11416233,.0001779,87.8852,42.4729,82.9581,277.1750,0,U,45441,999,28854,.16801E-2,.608E-5,0
ONEWEB-0098,2020-020U,2026-03-01T11:08:08.331648,13.11416695,.0001919,87.8849,42.4851,86.8942,273.2406,0,U,45442,999,28852,.12029E-2,.439E-5,0
ONEWEB-0055,2020-020V,2026-03-01T10:43:43.429152,13.11418356,.0001887,87.8850,42.4883,86.4373,273.6971,0,U,45443,999,28849,-.75942E-3,-.256E-5,0
ONEWEB-0093,2020-020W,2026-03-01T11:58:22.597824,13.11414013,.0001467,87.8854,42.4676,78.1098,282.0194,0,U,45444,999,28856,-.63663E-3,-.213E-5,0
ONEWEB-0029,2020-020X,2026-03-01T10:31:30.271584,13.11416727,.0001696,87.8849,42.4915,85.7839,274.3482,0,U,45445,999,28853,-.12819E-2,-.442E-5,0
ONEWEB-0068,2020-020Y,2026-03-01T10:08:06.611136,13.11414146,.0001682,87.8856,42.4851,86.0852,274.0469,0,U,45446,999,28847,-.6362E-3,-.213E-5,0
ONEWEB-0046,2020-020Z,2026-03-01T11:45:58.265280,13.11414036,.0001746,87.8854,42.4785,77.9782,282.1542,0,U,45447,999,28849,.4875E-3,.185E-5,0
ONEWEB-0063,2020-020AA,2026-03-01T10:37:36.263712,13.11417257,.0001899,87.8855,42.4854,77.1953,282.9387,0,U,45448,999,28857,-.10698E-2,-.366E-5,0
ONEWEB-0019,2020-020AB,2026-03-01T11:33:34.134048,13.11414130,.0001966,87.8841,42.4727,88.6551,271.4802,0,U,45449,999,28842,.12836E-2,.468E-5,0
ONEWEB-0094,2020-020AC,2026-03-01T10:47:16.817280,13.17652116,.0001742,87.9146,27.2335,87.1686,272.9645,0,U,45450,999,29212,.48368E-4,.32E-6,0
ONEWEB-0087,2020-020AD,2026-03-01T10:52:03.577152,13.11417526,.0001556,87.8862,42.4495,87.4515,272.6791,0,U,45451,999,28846,.15731E-3,.68E-6,0
ONEWEB-0082,2020-020AE,2026-03-01T10:47:22.407360,13.11417828,.0001658,87.8860,42.4744,87.8646,272.2672,0,U,45452,999,28855,-.43374E-3,-.141E-5,0
ONEWEB-0050,2020-020AF,2026-03-01T11:56:21.964416,14.89965341,.0004198,88.9192,247.8771,39.9363,320.2174,0,U,45453,999,32434,.21432E-3,.2085E-4,0
ONEWEB-0034,2020-020AG,2026-03-01T09:28:02.385120,13.11415430,.0001849,87.8851,42.4907,85.2385,274.8954,0,U,45454,999,28846,.17525E-2,.634E-5,0
ONEWEB-0060,2020-020AH,2026-03-01T10:36:22.601664,13.11418222,.0001009,87.8843,42.4924,112.2701,247.8534,0,U,45455,999,28842,-.11208E-2,-.385E-5,0
ONEWEB-0086,2020-020AJ,2026-03-01T11:55:43.854240,13.11413806,.0001766,87.8852,42.4686,109.0781,251.0538,0,U,45456,999,28849,-.35967E-3,-.115E-5,0
ONEWEB-0088,2020-020AK,2026-03-01T11:24:00.830304,13.11415328,.000175,87.8863,42.4368,76.4746,283.6577,0,U,45457,999,28842,.1548E-2,.561E-5,0
ONEWEB-0102,2020-100A,2026-03-01T09:51:37.420128,13.12441679,.0001789,87.8984,12.0717,87.8643,272.2691,0,U,47258,999,25059,-.50952E-4,-.6E-7,0
ONEWEB-0109,2020-100B,2026-03-01T10:03:48.708000,13.12440806,.000196,87.8992,12.0436,82.9915,277.1436,0,U,47259,999,25042,-.72895E-3,-.25E-5,0
ONEWEB-0110,2020-100C,2026-03-01T08:53:04.483392,13.12444825,.0001712,87.8993,12.0381,88.7803,271.3521,0,U,47260,999,25058,.33728E-3,.134E-5,0
ONEWEB-0111,2020-100D,2026-03-01T09:36:59.395680,13.12441573,.0001698,87.8992,12.0505,80.5308,279.6012,0,U,47261,999,25042,.81775E-3,.307E-5,0
ONEWEB-0114,2020-100E,2026-03-01T08:31:06.456576,13.12441899,.0002124,87.8996,12.0547,78.3347,281.8020,0,U,47262,999,25037,-.10357E-2,-.36E-5,0
ONEWEB-0117,2020-100F,2026-03-01T08:18:54.240768,13.12441565,.000185,87.8992,12.0511,82.3517,277.7822,0,U,47263,999,25038,-.9979E-3,-.346E-5,0
ONEWEB-0118,2020-100G,2026-03-01T07:17:55.750272,13.12442290,.0002066,87.8991,12.0620,73.5990,286.5365,0,U,47264,999,25057,.12183E-2,.451E-5,0
