OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM-X,1991-050C,2026-03-01T10:10:59.543328,14.43509717,.0004704,98.3086,126.3670,120.9132,239.2521,0,U,21576,999,81922,.12197E-3,.37E-5,0
ORBCOMM FM01,1995-017A,2026-03-01T12:02:04.325280,14.94488047,.0007265,69.9623,150.4812,281.6220,78.4121,0,U,23545,999,65089,.71867E-3,.7692E-4,0
ORBCOMM FM02,1995-017B,2026-03-01T11:32:27.214656,14.96547766,.000846,69.9634,168.6112,282.7852,77.2361,0,U,23546,999,65057,.10872E-2,.12328E-3,0
ORBCOMM FM08,1997-084A,2026-02-28T20:33:36.241344,14.46938021,.0006523,45.0118,214.7082,122.7142,237.4340,0,U,25112,999,47853,.60547E-3,.2076E-4,0
ORBCOMM FM10,1997-084B,2026-03-01T10:22:40.135872,14.46666759,.0004392,45.0140,214.8195,93.3457,266.7897,0,U,25113,999,65375,.55139E-3,.1866E-4,0
ORBCOMM FM11,1997-084C,2026-02-28T17:20:42.548352,14.46400545,.00052324,45.0122,219.3412,88.2024,271.9427,0,U,25114,999,47860,.49513407E-3,.1651E-4,0
ORBCOMM FM12,1997-084D,2026-03-01T10:35:10.815360,14.46432312,.0004264,45.0127,215.6101,92.8976,267.2363,0,U,25115,999,47850,.54201E-3,.1822E-4,0
ORBCOMM FM09,1997-084E,2026-03-01T10:19:37.590816,14.46259032,.0005244,45.0133,216.8945,75.6333,284.5100,0,U,25116,999,47870,.53886E-3,.1804E-4,0
ORBCOMM FM05,1997-084F,2026-03-01T10:10:35.510304,14.47052081,.0002084,45.0133,211.9518,113.9933,246.1137,0,U,25117,999,47785,.63109E-3,.2175E-4,0
ORBCOMM FM06,1997-084G,2026-03-01T11:08:04.701120,14.47227578,.0001282,45.0126,211.1758,141.8430,250.9075,0,U,25118,999,47878,.59924E-3,.2066E-4,0
ORBCOMM FM07,1997-084H,2026-03-01T09:36:41.319072,14.47231852,.0002664,45.0123,212.2217,99.8014,260.3138,0,U,25119,999,47876,.57302E-3,.197E-4,0
ORBCOMM FM03,1998-007B,2026-03-01T12:29:06.275328,14.35280737,.0043405,107.9644,304.5066,160.3470,199.9354,0,U,25158,999,46095,.38827E-3,.993E-5,0
ORBCOMM FM04,1998-007C,2026-03-01T11:03:43.943328,14.35509171,.0039172,107.9630,307.7782,157.7847,202.5001,0,U,25159,999,46113,.3762E-3,.961E-5,0
ORBCOMM FM17,1998-046A,2026-03-01T05:21:24.953472,14.35725023,.0000492,44.9934,123.9474,46.1175,313.9713,0,U,25413,999,44010,.32072E-3,.794E-5,0
ORBCOMM FM18,1998-046B,2026-03-01T07:13:51.151008,14.39416857,.0002522,44.9938,33.8985,151.2922,208.8066,0,U,25414,999,44128,.52836E-3,.1517E-4,0
ORBCOMM FM19,1998-046C,2026-03-01T00:17:49.360704,14.39239598,.00012057,44.9948,37.6591,148.3994,258.4916,0,U,25415,999,44119,.50396337E-3,.1435E-4,0
ORBCOMM FM20,1998-046D,2026-03-01T09:31:27.517728,14.37873901,.00016,44.9948,42.5899,278.5316,81.5351,0,U,25416,999,44127,.43037E-3,.1168E-4,0
ORBCOMM FM16,1998-046E,2026-03-01T09:58:46.264800,14.39806031,.0002737,44.9945,30.4759,178.5385,181.5472,0,U,25417,999,44131,.52786E-3,.1529E-4,0
ORBCOMM FM15,1998-046F,2026-03-01T07:39:04.295808,14.39425750,.000242,44.9957,36.8752,183.6686,176.4145,0,U,25418,999,44128,.18212E-3,.429E-5,0
ORBCOMM FM14,1998-046G,2026-03-01T08:02:23.286336,14.39864018,.0001305,44.9962,34.2237,195.2010,164.8800,0,U,25419,999,44126,.48413E-3,.1392E-4,0
ORBCOMM FM13,1998-046H,2026-03-01T06:30:24.650496,14.38422005,.0002925,44.9980,45.1798,143.1166,216.9884,0,U,25420,999,44024,.45371E-3,.1255E-4,0
ORBCOMM FM21,1998-053A,2026-03-01T04:56:04.930368,14.37993015,.0000845,45.0072,131.7586,212.9687,147.1109,0,U,25475,999,43423,.35603E-3,.944E-5,0
ORBCOMM FM22,1998-053B,2026-03-01T04:18:53.443872,14.39214101,.00010393,45.0063,124.4869,101.4302,258.6664,0,U,25476,999,43428,.38443848E-3,.106E-4,0
ORBCOMM FM23,1998-053C,2026-03-01T05:40:39.410400,14.38253139,.0000558,45.0071,133.3004,123.4072,236.6830,0,U,25477,999,43439,.40825E-3,.111E-4,0
ORBCOMM FM24,1998-053D,2026-03-01T04:56:24.797184,14.38897647,.0000635,45.0070,129.7282,164.7696,195.3172,0,U,25478,999,43445,.43203E-3,.12E-4,0
ORBCOMM FM25,1998-053E,2026-02-28T13:23:10.016448,14.38859793,.00027582,45.0062,131.1172,114.0949,246.0188,0,U,25479,999,43465,.40852183E-3,.1126E-4,0
ORBCOMM FM26,1998-053F,2026-03-01T03:56:21.377184,14.37799311,.00049754,45.0058,126.6597,129.4576,230.6713,0,U,25480,999,43462,.34604155E-3,.91E-5,0
ORBCOMM FM27,1998-053G,2026-03-01T05:36:23.586912,14.38905577,.0001598,45.0042,128.0082,231.8700,128.2005,0,U,25481,999,43468,.46033E-3,.1289E-4,0
ORBCOMM FM28,1998-053H,2026-03-01T00:52:43.737312,14.39002136,.00033984,45.0053,66.1523,179.8415,180.2435,0,U,25482,999,43534,.35350537E-3,.959E-5,0
ORBCOMM FM30,1999-065A,2026-03-01T01:19:48.808128,14.37960907,.00056139,45.0321,313.2687,223.3946,136.6461,0,U,25980,999,37141,.35023087E-3,.926E-5,0
ORBCOMM FM31,1999-065B,2026-03-01T00:59:12.362784,14.37883719,.00035001,45.0231,306.7790,256.4660,103.5799,0,U,25981,999,37096,.34007879E-3,.893E-5,0
ORBCOMM FM32,1999-065C,2026-03-01T01:09:16.251264,14.36944732,.00057642,45.0167,325.0353,248.8594,111.1638,0,U,25982,999,37153,.34967839E-3,.903E-5,0
ORBCOMM FM33,1999-065D,2026-03-01T10:04:20.940384,14.40763660,.0008237,45.0275,215.2944,270.7377,89.2529,0,U,25983,999,37315,.39932E-3,.1147E-4,0
ORBCOMM FM36,1999-065E,2026-02-28T17:48:45.620352,14.38954914,.00020194,45.0396,314.3192,136.9276,223.1732,0,U,25984,999,37136,.43284422E-3,.1204E-4,0
ORBCOMM FM35,1999-065F,2026-03-01T02:54:29.566656,14.37849564,.00034662,45.0403,319.6707,260.9056,99.1401,0,U,25985,999,37175,.38762168E-3,.1037E-4,0
ORBCOMM FM34,1999-065G,2026-03-01T02:11:43.686240,14.37764232,.00027654,45.0399,320.3172,201.5651,158.5081,0,U,25986,999,37186,.36012696E-3,.952E-5,0
ORBCOMM FM38,2008-031A,2026-03-01T12:05:03.620832,14.82688165,.0003867,48.4384,167.7585,69.4167,290.7164,0,U,33060,999,95291,.32396E-3,.2425E-4,0
ORBCOMM FM41,2008-031B,2026-03-01T07:43:11.824032,14.82223004,.0003193,48.4420,177.3335,48.2259,358.2607,0,U,33061,999,95236,.31273E-3,.2306E-4,0
ORBCOMM FM29,2008-031C,2026-03-01T08:20:14.636832,14.82395279,.0004809,48.4369,184.6500,49.9886,340.0980,0,U,33062,999,95228,.34279E-3,.256E-4,0
ORBCOMM FM39,2008-031D,2026-03-01T10:26:06.080640,14.80779503,.0006009,48.4393,211.4740,18.1008,342.0120,0,U,33063,999,95190,.29923E-3,.2117E-4,0
ORBCOMM FM37,2008-031E,2026-03-01T08:59:15.833184,14.80973224,.0004453,48.4375,199.8844,38.4757,347.3158,0,U,33064,999,95215,.31768E-3,.2272E-4,0
ORBCOMM FM40,2008-031F,2026-03-01T08:08:14.936928,14.83603929,.000525,48.4394,179.4648,57.2557,334.2870,0,U,33065,999,95232,.37402E-3,.29E-4,0
VESSELSAT 1,2011-058C,2026-03-01T02:12:31.080096,14.11418221,.00137496,19.9631,339.2786,132.5727,227.5839,0,U,37840,999,74264,.63634486E-4,.382E-5,0
ORBCOMM FM109,2014-040A,2026-02-28T22:50:39.736320,14.58705847,.0001137,47.0019,243.1653,90.2154,269.8862,0,U,40086,999,61854,.15569E-3,.563E-5,0
ORBCOMM FM107,2014-040B,2026-03-01T12:21:26.731008,14.58789953,.0000799,47.0037,241.3585,347.4189,12.6677,0,U,40087,999,61870,.20906E-3,.816E-5,0
ORBCOMM FM106,2014-040C,2026-03-01T07:33:00.345312,14.70276738,.0016231,47.0607,43.5489,185.5603,174.5111,0,U,40088,999,62130,.23763E-3,.1261E-4,0
ORBCOMM FM111,2014-040D,2026-03-01T10:43:47.228160,14.88279357,.002849,46.9989,217.2711,344.0240,15.9757,0,U,40089,999,62852,.37112E-3,.3272E-4,0
ORBCOMM FM104,2014-040E,2026-03-01T00:49:08.616864,14.57151279,.00165463,47.0044,280.3614,298.4376,61.4842,0,U,40090,999,61807,.15966772E-3,.557E-5,0
ORBCOMM FM103,2014-040F,2026-03-01T12:03:03.244896,14.58692883,.0001363,47.0039,242.1340,2.2549,357.8342,0,U,40091,999,60166,.19307E-3,.738E-5,0
ORBCOMM FM114,2015-081A,2026-03-01T05:51:02.191968,14.58713833,.0001317,47.0042,152.2956,58.7495,301.3520,0,U,41179,999,54199,.18937E-3,.721E-5,0
ORBCOMM FM119,2015-081B,2026-03-01T09:06:48.880224,14.58656399,.0000792,47.0003,61.0111,212.4927,147.5910,0,U,41180,999,54326,.20075E-3,.774E-5,0
ORBCOMM FM105,2015-081C,2026-03-01T10:43:58.300320,14.45485576,.0001386,47.0005,90.8576,359.7645,0.3234,0,U,41181,999,53796,.12364E-3,.282E-5,0
ORBCOMM FM110,2015-081D,2026-02-28T13:09:12.791808,14.58710946,.00035856,47.0015,155.0589,283.7005,76.3481,0,U,41182,999,54176,.23916267E-3,.956E-5,0
ORBCOMM FM118,2015-081E,2026-03-01T06:25:18.403968,14.58708851,.0003849,47.0033,151.9705,255.4337,104.6122,0,U,41183,999,54197,.24647E-3,.99E-5,0
ORBCOMM FM112,2015-081F,2026-03-01T09:46:50.305152,14.58712549,.0001077,46.9992,59.8121,36.9498,323.1462,0,U,41184,999,54321,.21406E-3,.838E-5,0
ORBCOMM FM113,2015-081G,2026-03-01T01:00:52.501248,14.58712705,.0000668,47.0006,61.9055,37.7200,322.3732,0,U,41185,999,54314,.18807894E-3,.715E-5,0
ORBCOMM FM115,2015-081H,2026-02-28T14:19:33.724704,14.63098097,.00009797,46.9973,259.5309,194.3645,165.7215,0,U,41186,999,54531,.17787682E-3,.746E-5,0
ORBCOMM FM108,2015-081J,2026-03-01T03:24:23.203872,14.58722986,.00022911,47.0062,332.9735,44.2282,315.8786,0,U,41187,999,54430,.26998133E-3,.1101E-4,0
ORBCOMM FM117,2015-081K,2026-03-01T02:34:43.051872,14.58714979,.00025965,47.0024,331.8059,55.2083,304.9046,0,U,41188,999,54434,.25499368E-3,.1031E-4,0
ORBCOMM FM116,2015-081L,2026-03-01T08:41:32.205984,14.58706901,.0002721,47.0025,60.3828,283.9057,76.1526,0,U,41189,999,54319,.23347E-3,.929E-5,0
