OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
O3B FM5,2013-031A,2026-03-01T07:10:45.657120,5.00116420,.0003347,0.0971,14.9044,316.4761,28.5937,0,U,39188,999,23164,0,-.29E-6,0
O3B FM4,2013-031B,2026-03-01T05:14:29.175072,5.00115181,.0005058,0.0557,345.2169,3.7212,11.0432,0,U,39189,999,23164,0,-.29E-6,0
O3B FM2,2013-031C,2026-02-28T21:13:23.742912,5.00115940,.0002833,0.0569,339.1682,358.1956,22.6162,0,U,39190,999,23169,0,-.28E-6,0
O3B PFM,2013-031D,2026-03-01T07:09:23.966784,5.00116035,.0005123,0.0662,7.9306,347.3173,4.7397,0,U,39191,999,23127,0,-.29E-6,0
O3B FM3,2014-038A,2026-03-01T08:45:20.119680,5.00115540,.0000415,0.0531,353.4537,40.0543,326.4870,0,U,40079,999,20764,0,-.29E-6,0
O3B FM7,2014-038B,2026-02-26T12:17:54.293280,5.00115593,.00044973,0.0590,349.0933,336.9388,33.9327,0,U,40080,999,21234,0,-.24E-6,0
O3B FM6,2014-038C,2026-02-28T08:07:22.842912,5.00115665,.00026722,0.0550,351.2998,345.9055,22.7755,0,U,40081,999,21238,0,-.28E-6,0
O3B FM8,2014-038D,2026-03-01T09:23:22.354080,5.00115971,.0002655,0.0559,350.6470,351.7743,17.5619,0,U,40082,999,21254,0,-.29E-6,0
O3B FM10,2014-083A,2026-03-01T05:14:29.162112,5.00115167,.0002682,0.0436,346.8438,352.2173,20.9203,0,U,40348,999,20449,0,-.29E-6,0
O3B FM11,2014-083B,2026-03-01T00:44:58.010208,5.00115556,.0003152,0.0564,0.5818,328.0774,31.3145,0,U,40349,999,20450,0,-.28E-6,0
O3B FM12,2014-083C,2026-03-01T06:11:49.839072,5.00115916,.0002646,0.0559,359.8251,335.5126,24.6421,0,U,40350,999,20452,0,-.29E-6,0
O3B FM9,2014-083D,2026-03-01T06:50:27.838752,5.00115869,.0002739,0.0576,0.9338,337.8400,21.2073,0,U,40351,999,20467,0,-.28E-6,0
LEO 1 (LEO VANTAGE 1),2018-004C,2026-03-01T05:59:45.756960,14.67088378,.0353573,99.2488,324.4740,50.7245,312.4761,0,U,43113,999,42165,.31473E-3,.452E-4,0
O3B FM15,2018-024A,2026-03-01T08:26:36.036672,5.00115613,.0002711,0.0483,0.6252,334.9583,24.3962,0,U,43231,999,14563,0,-.29E-6,0
O3B FM16,2018-024B,2026-02-28T19:18:29.707200,5.00115846,.0002785,0.0446,2.3185,333.1821,24.4786,0,U,43232,999,14552,0,-.28E-6,0
O3B FM14,2018-024C,2026-03-01T05:52:51.743712,5.00115611,.0002846,0.0432,1.1934,339.2680,19.5202,0,U,43233,999,14555,0,-.28E-6,0
O3B FM13,2018-024D,2026-02-22T17:08:53.094624,5.00115731,.00051126,0.0534,327.5947,330.3943,61.9554,0,U,43234,999,14532,0,-.14E-6,0
O3B FM20,2019-020A,2026-03-01T11:18:10.464480,5.00115422,.0002824,0.0515,359.5720,328.9182,31.4854,0,U,44112,999,12617,0,-.29E-6,0
O3B FM19,2019-020B,2026-02-27T21:34:30.034272,5.00116325,.0004795,0.0602,347.5601,353.9797,18.4356,0,U,44113,999,12597,0,-.27E-6,0
O3B FM17,2019-020C,2026-03-01T09:04:39.897984,5.00115420,.0002696,0.0398,339.3013,355.6300,25.0481,0,U,44114,999,12612,0,-.29E-6,0
O3B FM18,2019-020D,2026-03-01T07:47:19.442976,5.00115260,.0002752,0.0518,0.0146,339.3814,20.5853,0,U,44115,999,12625,0,-.29E-6,0
SALSAT,2020-068K,2026-03-01T11:42:16.163712,15.27983521,.0008976,97.8843,57.1429,330.8256,29.2479,0,U,46495,999,29890,.40526E-3,.11E-3,0
O3B MPOWER F1,2022-174A,2026-02-27T12:47:31.480800,5.00103025,.00051583,0.0641,351.4493,3.4086,238.9684,0,U,54755,999,5987,0,-.26E-6,0
O3B MPOWER F2,2022-174B,2026-02-17T08:36:28.391616,5.00731386,.000156,0.0642,348.2682,220.5550,151.1634,0,U,54756,999,5944,0,-.15E-6,0
O3B MPOWER F4,2023-059A,2026-02-17T05:46:40.580544,5.00119607,.00064606,0.0593,7.9241,334.3658,17.6828,0,U,56367,999,5260,0,-.15E-6,0
