OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
QIANFAN-1,2024-140A,2026-03-01T10:08:29.259168,13.50998770,.0017493,88.9723,291.1440,353.6625,6.4302,0,U,60379,999,7797,.15125E-3,.11E-5,0
QIANFAN-2,2024-140B,2026-03-01T10:49:51.986496,13.51002870,.0011957,88.9709,290.9694,327.4156,32.6256,0,U,60380,999,7803,.1574E-3,.114E-5,0
QIANFAN-3,2024-140C,2026-03-01T11:01:36.078240,13.50998817,.0013459,88.9702,291.0952,339.8218,20.2399,0,U,60381,999,7794,.13049E-3,.96E-6,0
QIANFAN-4,2024-140D,2026-03-01T10:26:12.150240,13.50999137,.0012264,88.9727,291.0153,330.0565,29.9883,0,U,60382,999,7806,.17361E-3,.124E-5,0
QIANFAN-5,2024-140E,2026-03-01T11:37:21.049824,13.51001185,.0015069,88.9702,291.1180,350.5159,9.5706,0,U,60383,999,7793,.16798E-3,.121E-5,0
QIANFAN-6,2024-140F,2026-03-01T10:20:19.650336,13.51000936,.0012549,88.9728,290.8909,336.2041,23.8529,0,U,60384,999,7812,.15929E-3,.115E-5,0
QIANFAN-7,2024-140G,2026-03-01T12:31:56.115264,14.27769283,.0016211,88.9740,284.4719,135.3924,224.8578,0,U,60385,999,8163,.15355E-3,.394E-5,0
QIANFAN-8,2024-140H,2026-03-01T10:32:10.249728,13.51002408,.0016051,88.9730,291.1287,336.8165,23.2260,0,U,60386,999,7797,.15854E-3,.114E-5,0
QIANFAN-9,2024-140J,2026-03-01T11:43:14.404224,13.50997282,.0015741,88.9728,291.1974,336.5135,23.5296,0,U,60387,999,7796,.1618E-3,.116E-5,0
QIANFAN-10,2024-140K,2026-03-01T11:48:59.135040,13.50995725,.0013549,88.9737,290.5516,313.2236,46.7783,0,U,60388,999,7809,.20431E-3,.144E-5,0
QIANFAN-11,2024-140L,2026-03-01T10:55:53.941152,13.51002478,.001377,88.9664,291.0840,337.2441,22.8098,0,U,60389,999,7774,.14976E-3,.109E-5,0
QIANFAN-12,2024-140M,2026-03-01T11:25:31.155456,13.51000182,.0012859,88.9707,291.1596,346.1914,13.8884,0,U,60390,999,7787,.17536E-3,.125E-5,0
QIANFAN-13,2024-140N,2026-03-01T12:30:39.518208,13.51000613,.0012768,88.9719,291.2645,348.8724,11.2143,0,U,60391,999,7790,.1649E-3,.118E-5,0
QIANFAN-14,2024-140P,2026-03-01T11:19:27.625728,13.51000424,.0016428,88.9698,291.1505,347.1079,12.9650,0,U,60392,999,7790,.17003E-3,.122E-5,0
