OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
AMC-3,1997-050A,2026-03-01T09:34:47.707392,1.00270435,.0003429,7.8820,65.3079,281.2049,244.3646,0,U,24936,999,5135,0,-.277E-5,0
NSS-11,2000-059A,2026-03-01T11:38:21.871104,1.00273128,.000314,1.8488,82.7063,255.2230,171.9304,0,U,26554,999,4021,0,.7E-7,0
AMC-6,2000-067A,2026-03-01T12:29:27.180672,1.00270519,.0003183,0.0543,305.7093,28.0788,237.8177,0,U,26580,999,9281,0,.7E-6,0
AMC-11,2004-017A,2026-03-01T10:12:11.473920,1.00271529,.0003222,0.0333,78.0109,263.0501,220.0877,0,U,28252,999,7978,0,-.68E-6,0
AMC-15,2004-041A,2026-03-01T12:16:24.068352,1.00272473,.0002423,0.0606,290.8865,52.5181,254.9389,0,U,28446,999,7822,0,-.107E-5,0
NSS-10,2005-003A,2026-03-01T10:33:09.463104,1.00271824,.000324,6.1801,71.7567,268.8617,299.4452,0,U,28526,999,5207,0,-.268E-5,0
ASTRA 1KR,2006-012A,2026-03-01T07:23:57.603840,1.00270610,.0003553,0.1954,81.7247,238.7358,328.6244,0,U,29055,999,4461,0,.1E-5,0
ASTRA 1L,2007-016A,2026-03-01T10:30:38.607840,1.00271452,.0003268,1.0430,82.4454,268.0896,301.8998,0,U,31306,999,4390,0,-.202E-5,0
ASTRA 4A,2007-057A,2026-03-01T08:50:38.692032,1.00272571,.0002477,0.0590,288.3440,51.0113,317.2588,0,U,32299,999,5056,0,.14E-6,0
ASTRA 1M,2008-057A,2026-03-01T07:23:57.603840,1.00272248,.0000388,0.0281,54.3169,15.1292,219.8174,0,U,33436,999,4465,0,.101E-5,0
NSS-9,2009-008A,2026-03-01T11:34:22.740096,1.00271750,.0002241,0.9830,83.7333,246.0552,186.1284,0,U,33749,999,6244,0,.53E-6,0
SES-7 (PROTOSTAR 2),2009-027A,2026-03-01T09:32:07.814688,1.00269858,.0001695,0.0221,125.4502,175.0746,109.9776,0,U,34941,999,6154,0,0,0
NSS-12,2009-058A,2026-03-01T11:59:34.404864,1.00271216,.0005141,0.0107,287.7216,36.3328,72.1098,0,U,36032,999,5983,0,.54E-6,0
SES-1,2010-016A,2026-03-01T10:15:03.699360,1.00272324,.0002629,0.0584,287.9010,39.6832,244.3840,0,U,36516,999,5795,0,-.133E-5,0
ASTRA 3B,2010-021A,2026-03-01T07:25:12.484128,1.00270287,.0002982,1.1893,84.9852,275.8627,293.0518,0,U,36581,999,5778,0,.119E-5,0
SES-3,2011-035A,2026-03-01T09:33:30.631680,1.00272073,.000356,1.0479,84.3404,258.5812,216.6284,0,U,37748,999,5351,0,-.12E-5,0
ASTRA 1N,2011-041A,2026-03-01T07:23:57.603840,1.00272229,.0003945,0.0658,13.2153,1.7176,274.3343,0,U,37775,999,4344,0,.101E-5,0
SES-2,2011-049A,2026-03-01T08:36:20.664000,1.00270288,.0002939,0.0282,75.5950,262.5102,223.1028,0,U,37809,999,5288,0,-.214E-5,0
QUETZSAT 1,2011-054A,2026-03-01T10:21:55.541376,1.00271826,.000269,0.0592,286.0184,64.4256,247.2487,0,U,37826,999,4879,0,-.26E-5,0
SES-4,2012-007A,2026-03-01T10:30:38.607840,1.00274766,.0002405,0.0332,62.4527,292.6509,299.7872,0,U,38087,999,5114,0,-.186E-5,0
SES-5,2012-036A,2026-03-01T08:50:38.692032,1.00271819,.000196,0.0618,308.4666,20.5838,327.7350,0,U,38652,999,4337,0,.15E-6,0
ASTRA 2F,2012-051A,2026-03-01T08:26:38.539680,1.00272438,.000288,0.0801,260.0199,12.8005,41.1476,0,U,38778,999,4005,0,.131E-5,0
SES-6,2013-026A,2026-03-01T10:32:17.047680,1.00270549,.0002175,0.0524,302.9971,41.5789,292.1948,0,U,39172,999,4664,0,-.28E-5,0
O3B FM5,2013-031A,2026-03-01T07:10:45.657120,5.00116420,.0003347,0.0971,14.9044,316.4761,28.5937,0,U,39188,999,23164,0,-.29E-6,0
O3B FM4,2013-031B,2026-03-01T05:14:29.175072,5.00115181,.0005058,0.0557,345.2169,3.7212,11.0432,0,U,39189,999,23164,0,-.29E-6,0
O3B FM2,2013-031C,2026-02-28T21:13:23.742912,5.00115940,.0002833,0.0569,339.1682,358.1956,22.6162,0,U,39190,999,23169,0,-.28E-6,0
O3B PFM,2013-031D,2026-03-01T07:09:23.966784,5.00116035,.0005123,0.0662,7.9306,347.3173,4.7397,0,U,39191,999,23127,0,-.29E-6,0
ASTRA 2E,2013-056A,2026-03-01T08:26:38.539680,1.00270578,.0002202,0.0654,24.3207,308.0646,341.8887,0,U,39285,999,4533,0,.132E-5,0
SES-8,2013-071A,2026-03-01T12:17:28.070016,1.00271196,.0001577,0.0442,274.4791,84.8113,79.3687,0,U,39460,999,4335,0,-.287E-5,0
ASTRA 5B,2014-011B,2026-03-01T07:25:12.484128,1.00269145,.0004293,0.0977,295.8096,24.8388,333.2452,0,U,39617,999,4358,0,.118E-5,0
O3B FM3,2014-038A,2026-03-01T08:45:20.119680,5.00115540,.0000415,0.0531,353.4537,40.0543,326.4870,0,U,40079,999,20764,0,-.29E-6,0
O3B FM7,2014-038B,2026-02-26T12:17:54.293280,5.00115593,.00044973,0.0590,349.0933,336.9388,33.9327,0,U,40080,999,21234,0,-.24E-6,0
O3B FM6,2014-038C,2026-02-28T08:07:22.842912,5.00115665,.00026722,0.0550,351.2998,345.9055,22.7755,0,U,40081,999,21238,0,-.28E-6,0
O3B FM8,2014-038D,2026-03-01T09:23:22.354080,5.00115971,.0002655,0.0559,350.6470,351.7743,17.5619,0,U,40082,999,21254,0,-.29E-6,0
O3B FM10,2014-083A,2026-03-01T05:14:29.162112,5.00115167,.0002682,0.0436,346.8438,352.2173,20.9203,0,U,40348,999,20449,0,-.29E-6,0
O3B FM11,2014-083B,2026-03-01T00:44:58.010208,5.00115556,.0003152,0.0564,0.5818,328.0774,31.3145,0,U,40349,999,20450,0,-.28E-6,0
O3B FM12,2014-083C,2026-03-01T06:11:49.839072,5.00115916,.0002646,0.0559,359.8251,335.5126,24.6421,0,U,40350,999,20452,0,-.29E-6,0
O3B FM9,2014-083D,2026-03-01T06:50:27.838752,5.00115869,.0002739,0.0576,0.9338,337.8400,21.2073,0,U,40351,999,20467,0,-.28E-6,0
ASTRA 2G,2014-089A,2026-03-01T08:26:38.539680,1.00269118,.0004117,0.0232,2.9100,20.6810,290.4194,0,U,40364,999,4088,0,0,0
SES-9,2016-013A,2026-03-01T09:32:07.814688,1.00271453,.0001379,0.0374,293.5424,95.0708,21.8884,0,U,41380,999,3635,0,-.363E-5,0
SES-10,2017-017A,2026-03-01T10:24:47.765952,1.00269563,.000241,0.0182,71.7130,268.2921,268.5091,0,U,42432,999,3267,0,-.291E-5,0
SES-15,2017-026A,2026-03-01T12:25:28.265664,1.00269675,.00007,0.0448,306.0602,20.5059,249.9271,0,U,42709,999,635,0,.42E-6,0
SES-11 (ECHOSTAR 105),2017-063A,2026-03-01T09:34:37.975296,1.00271842,.0002976,0.0290,67.8317,265.2954,224.7651,0,U,42967,999,3064,0,-.107E-5,0
SES-14,2018-012B,2026-03-01T10:30:17.237664,1.00268835,.0000971,0.0229,112.6453,230.9551,285.7293,0,U,43175,999,594,0,0,0
O3B FM15,2018-024A,2026-03-01T08:26:36.036672,5.00115613,.0002711,0.0483,0.6252,334.9583,24.3962,0,U,43231,999,14563,0,-.29E-6,0
O3B FM16,2018-024B,2026-02-28T19:18:29.707200,5.00115846,.0002785,0.0446,2.3185,333.1821,24.4786,0,U,43232,999,14552,0,-.28E-6,0
O3B FM14,2018-024C,2026-03-01T05:52:51.743712,5.00115611,.0002846,0.0432,1.1934,339.2680,19.5202,0,U,43233,999,14555,0,-.28E-6,0
O3B FM13,2018-024D,2026-02-22T17:08:53.094624,5.00115731,.00051126,0.0534,327.5947,330.3943,61.9554,0,U,43234,999,14532,0,-.14E-6,0
SES-12,2018-049A,2026-03-01T12:17:28.070016,1.00269001,.0002303,0.0220,113.3741,187.0163,138.3006,0,U,43488,999,2833,0,0,0
O3B FM20,2019-020A,2026-03-01T11:18:10.464480,5.00115422,.0002824,0.0515,359.5720,328.9182,31.4854,0,U,44112,999,12617,0,-.29E-6,0
O3B FM19,2019-020B,2026-02-27T21:34:30.034272,5.00116325,.0004795,0.0602,347.5601,353.9797,18.4356,0,U,44113,999,12597,0,-.27E-6,0
O3B FM17,2019-020C,2026-03-01T09:04:39.897984,5.00115420,.0002696,0.0398,339.3013,355.6300,25.0481,0,U,44114,999,12612,0,-.29E-6,0
O3B FM18,2019-020D,2026-03-01T07:47:19.442976,5.00115260,.0002752,0.0518,0.0146,339.3814,20.5853,0,U,44115,999,12625,0,-.29E-6,0
SES-17,2021-095A,2026-03-01T10:24:40.277664,1.00271547,.0000666,0.0229,63.5171,245.4822,299.2788,0,U,49332,999,1677,0,-.29E-5,0
SES-22,2022-071A,2026-03-01T08:29:19.444128,1.00273322,.0001126,0.0201,92.1810,236.2912,178.9879,0,U,52933,999,644,0,.86E-6,0
SES-20,2022-123A,2026-03-01T09:33:37.997280,1.00270289,.0001279,0.0136,106.1571,317.8977,135.4192,0,U,53960,999,1245,0,-.119E-5,0
SES-21,2022-123B,2026-03-01T12:27:02.772576,1.00270681,.0000996,0.0274,62.4328,281.7864,230.8472,0,U,53961,999,613,0,.51E-6,0
O3B MPOWER F1,2022-174A,2026-02-27T12:47:31.480800,5.00103025,.00051583,0.0641,351.4493,3.4086,238.9684,0,U,54755,999,5987,0,-.26E-6,0
O3B MPOWER F2,2022-174B,2026-02-17T08:36:28.391616,5.00731386,.000156,0.0642,348.2682,220.5550,151.1634,0,U,54756,999,5944,0,-.15E-6,0
SES-18,2023-038A,2026-03-01T10:14:26.257920,1.00265374,.0002456,0.0668,273.2835,23.2371,273.1860,0,U,55970,999,1102,0,-.118E-5,0
SES-19,2023-038B,2026-03-01T12:29:14.472960,1.00271073,.0001788,0.0592,283.7981,46.9124,240.9938,0,U,55971,999,1100,0,.69E-6,0
O3B MPOWER F4,2023-059A,2026-02-17T05:46:40.580544,5.00119607,.00064606,0.0593,7.9241,334.3658,17.6828,0,U,56367,999,5260,0,-.15E-6,0
O3B MPOWER F5,2023-175A,2026-03-01T08:49:10.526016,5.00115683,.0004128,0.0395,2.0031,342.6728,15.3040,0,U,58346,999,4404,0,-.29E-6,0
ASTRA 1P (SES-24),2024-115A,2026-03-01T04:23:38.710752,1.00268917,.0005009,0.0589,334.1299,349.8668,280.0749,0,U,60086,999,611,0,.101E-5,0
O3B MPOWER F7,2024-244A,2026-02-28T12:50:16.247328,5.00115153,.00061429,0.0693,5.4961,333.0934,21.3774,0,U,62362,999,2109,0,-.28E-6,0
O3B MPOWER F8,2024-244B,2026-03-01T07:14:06.175104,5.00115732,.0006686,0.0532,316.9658,14.9471,28.0435,0,U,62363,999,1547,0,-.29E-6,0
