OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-03-01T11:33:03.106944,15.31035105,.0001265,53.1576,216.9338,78.3574,281.7569,0,U,44714,999,34761,.11786E-3,.3221E-4,0
STARLINK-1012,2019-074F,2026-03-01T09:24:18.624672,15.30193933,.0001342,53.1597,217.3485,86.6275,273.4880,0,U,44718,999,34759,.30255E-4,.537E-5,0
STARLINK-1017,2019-074L,2026-03-01T09:50:09.783744,15.23206140,.0001975,53.0527,209.6358,130.3912,229.7257,0,U,44723,999,34770,.21313E-2,.51099E-3,0
STARLINK-1019,2019-074M,2026-03-01T14:00:01.999008,15.78968962,.0003521,53.0434,177.4030,172.0959,201.3531,0,U,44724,999,601,.58111E-3,.105806E-2,0
STARLINK-1020,2019-074N,2026-03-01T14:00:01.999008,15.30187784,.0001266,53.1591,241.5004,86.6413,347.7101,0,U,44725,999,577,.97533E-4,.2529E-4,0
STARLINK-1031,2019-074Z,2026-03-01T14:00:01.999008,15.86982029,.0003266,53.0411,161.2622,321.0256,20.8998,0,U,44736,999,603,.69706E-3,.187244E-2,0
STARLINK-1036,2019-074AE,2026-03-01T10:47:50.235072,15.53945748,.000332,53.0506,228.3816,198.8285,161.2603,0,U,44741,999,34744,.18277E-2,.121425E-2,0
STARLINK-1039,2019-074AH,2026-02-28T19:28:21.740736,15.20703417,.00055531,53.0460,255.8774,144.6755,215.4609,0,U,44744,999,34700,.20553776E-2,.45733E-3,0
STARLINK-1042,2019-074AL,2026-03-01T11:05:41.736768,15.49331741,.0002034,53.0443,134.2543,110.2607,249.8619,0,U,44747,999,34879,.48583E-3,.26688E-3,0
STARLINK-1043,2019-074AM,2026-03-01T11:40:45.512832,15.53014555,.0002465,53.0516,234.0572,93.2774,266.8518,0,U,44748,999,34737,.56073E-3,.3529E-3,0
STARLINK-1046,2019-074AQ,2026-03-01T12:21:40.781376,15.42846904,.0006777,53.0531,249.6759,149.8605,210.2791,0,U,44751,999,34715,.79151E-3,.35017E-3,0
STARLINK-1047,2019-074AR,2026-03-01T08:15:34.885728,15.32353343,.0003158,53.0693,184.9864,174.2369,185.8668,0,U,44752,999,34806,.45296E-3,.14007E-3,0
STARLINK-1048,2019-074AS,2026-03-01T09:51:00.358848,15.51582720,.0002745,53.0516,208.7225,155.3826,204.7314,0,U,44753,999,34771,.16794E-2,.102133E-2,0
STARLINK-1053,2019-074AX,2026-03-01T14:00:01.999008,15.87573232,.0007257,53.0291,124.7228,23.6898,63.9630,0,U,44758,999,599,.10777E-2,.302823E-2,0
STARLINK-1063,2019-074BH,2026-03-01T12:32:36.010464,15.29404838,.0002263,53.1570,257.3310,33.6122,326.5022,0,U,44768,999,34706,-.22864E-1,-.616749E-2,0
STARLINK-1067,2019-074BL,2026-03-01T11:25:06.923712,15.55510828,.0001047,53.0508,243.9775,311.1171,48.9748,0,U,44771,999,34723,.17597E-2,.123825E-2,0
STARLINK-1068,2019-074BM,2026-03-01T14:00:01.999008,15.61416339,.0002924,53.0488,219.5259,201.0355,270.3337,0,U,44772,999,592,.10665E-2,.93267E-3,0
STARLINK-1112,2020-001M,2026-03-01T11:02:20.226912,16.03374398,.000338,53.0351,283.8135,236.5883,123.4825,0,U,44925,999,34000,.91687E-3,.583492E-2,.16954E-3
STARLINK-1114,2020-001P,2026-03-01T08:35:39.781248,15.48586198,.0008481,53.0509,9.3074,85.3765,274.8211,0,U,44927,999,33880,.16245E-2,.88759E-3,0
