OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NIMIQ 2,2002-062A,2026-03-01T12:14:28.070304,1.00272376,.0006497,9.1976,58.0141,285.2437,250.4588,0,U,27632,999,4310,0,-.83E-6,0
ANIK F2,2004-027A,2026-03-01T09:37:23.980800,1.00271815,.0002863,3.0062,80.8937,291.1810,180.3439,0,U,28378,999,4018,0,-.67E-6,0
ANIK F1R,2005-036A,2026-03-01T12:50:00.078432,1.00271737,.0002681,4.0375,77.9282,292.5698,234.0296,0,U,28868,999,4537,0,-.92E-6,0
ANIK F3,2007-009A,2026-03-01T12:19:28.697376,1.00272616,.0002786,0.9192,85.2500,257.0129,243.1908,0,U,31102,999,4548,0,-.19E-6,0
NIMIQ 4,2008-044A,2026-03-01T10:20:25.683648,1.00271055,.0002299,0.0234,105.3157,246.4192,240.5831,0,U,33373,999,6390,0,-.238E-5,0
TELSTAR 11N,2009-009A,2026-03-01T09:51:34.363296,1.00271180,.0002633,0.0177,129.1285,197.3840,303.0161,0,U,34111,999,4516,0,-.269E-5,0
TERRESTAR-1,2009-035A,2026-03-01T12:15:28.678176,1.00270876,.0002717,5.0926,48.8330,305.0769,238.2569,0,U,35496,999,6105,0,-.72E-6,0
NIMIQ 5,2009-050A,2026-03-01T10:23:10.420800,1.00270366,.0002674,0.0598,271.9696,68.2261,262.1006,0,U,35873,999,6026,0,-.275E-5,0
SKYTERRA 1,2010-061A,2026-03-01T09:32:44.683296,1.00271277,.0001622,4.8958,50.9139,282.3663,227.7600,0,U,37218,999,5611,0,-.134E-5,0
TELSTAR 14R,2011-021A,2026-03-01T10:25:55.157952,1.00271362,.0002423,0.0428,274.3169,72.8960,265.4666,0,U,37602,999,5475,0,-.298E-5,0
NIMIQ 6,2012-026A,2026-03-01T10:23:03.685920,1.00271118,.0002671,0.0618,278.5318,53.9264,251.4239,0,U,38342,999,4933,0,-.192E-5,0
ANIK G1,2013-014A,2026-03-01T10:13:18.865920,1.00271266,.0003162,0.0620,271.4730,46.1365,247.6205,0,U,39127,999,4717,0,-.92E-6,0
TELSTAR 12V,2015-068A,2026-03-01T10:22:38.662752,1.00271305,.0002632,0.0126,109.9177,231.9111,318.0452,0,U,41036,999,3754,0,-.137E-5,0
VIASAT-2,2017-029A,2026-03-01T08:41:12.696864,1.00273134,.0000583,0.0274,251.7130,100.8236,227.0133,0,U,42740,999,3212,0,-.284E-5,0
LEO 1 (LEO VANTAGE 1),2018-004C,2026-03-01T05:59:45.756960,14.67088378,.0353573,99.2488,324.4740,50.7245,312.4761,0,U,43113,999,42165,.31473E-3,.452E-4,0
TELSTAR 19V,2018-059A,2026-03-01T10:25:55.157952,1.00270988,.0000396,0.0204,168.4105,246.7656,197.5066,0,U,43562,999,2806,0,-.298E-5,0
TELSTAR 18V,2018-069A,2026-03-01T11:04:38.776224,1.00272939,.000224,0.0207,235.4858,101.2825,126.6331,0,U,43611,999,2755,0,-.312E-5,0
AMOS-17,2019-050A,2026-03-01T07:23:20.164128,1.00269581,.0001691,0.0399,288.6565,40.7541,317.5081,0,U,44479,999,2410,0,.9E-6,0
