OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2026-03-01T18:13:58.248480,14.33231729,.0025744,74.0405,171.5043,238.3935,121.4704,0,U,22675,999,70905,.53779E-4,.122E-5,0
COSMOS 2251 DEB,1993-036E,2026-03-01T19:40:07.008384,14.32603962,.0014784,74.0375,179.2452,182.1138,347.1130,0,U,33757,999,89128,.46017E-4,.99E-6,0
COSMOS 2251 DEB,1993-036F,2026-03-01T18:38:49.000128,14.52240031,.0013819,74.0263,66.0780,122.6215,229.3294,0,U,33758,999,89451,.90373E-3,.3648E-4,0
COSMOS 2251 DEB,1993-036H,2026-03-01T15:50:54.151872,14.35730613,.0021244,74.0319,136.6142,222.0806,256.4794,0,U,33760,999,89257,.10153E-3,.268E-5,0
COSMOS 2251 DEB,1993-036J,2026-03-01T12:02:00.250656,14.42811971,.0022347,74.0342,106.0044,175.7991,306.8377,0,U,33761,999,89370,.36057E-3,.118E-4,0
COSMOS 2251 DEB,1993-036K,2026-03-01T17:09:37.109376,14.33693030,.0015926,74.0425,165.6422,215.9247,268.0367,0,U,33762,999,89179,.61458E-4,.145E-5,0
COSMOS 2251 DEB,1993-036M,2026-03-01T15:21:42.439392,14.39695198,.0020752,74.0329,126.9478,69.7910,48.7478,0,U,33764,999,89292,.27926E-3,.85E-5,0
COSMOS 2251 DEB,1993-036N,2026-03-01T06:49:39.986976,15.15898346,.0057817,74.0011,10.0335,80.1518,280.6198,0,U,33765,999,90806,.2918E-2,.58746E-3,0
COSMOS 2251 DEB,1993-036P,2026-03-01T20:34:59.411712,14.35235219,.0063911,74.1884,351.2671,173.9663,186.2276,0,U,33766,999,88880,.56323E-3,.1625E-4,0
COSMOS 2251 DEB,1993-036R,2026-03-01T13:39:45.764352,13.58542534,.0368752,74.0665,92.6278,233.1626,250.1719,0,U,33768,999,84366,.47261E-3,.514E-5,0
COSMOS 2251 DEB,1993-036U,2026-03-01T20:51:01.003104,14.72585683,.0012332,74.0453,16.9646,19.4325,11.5344,0,U,33779,999,89692,.10526E-2,.668E-4,0
COSMOS 2251 DEB,1993-036X,2026-03-01T15:07:00.595200,14.40690718,.002032,74.0327,131.6233,187.0360,296.5323,0,U,33782,999,89262,.36932E-3,.1156E-4,0
COSMOS 2251 DEB,1993-036AA,2026-03-01T14:45:10.246752,14.72479400,.0020394,73.8638,265.0245,192.6960,223.6255,0,U,33785,999,89667,.1493E-2,.9487E-4,0
COSMOS 2251 DEB,1993-036AE,2026-03-01T19:26:57.611328,13.88935215,.0238748,74.0649,313.2016,50.0330,16.3002,0,U,33789,999,86193,.66186E-3,.984E-5,0
COSMOS 2251 DEB,1993-036AG,2026-03-01T14:56:19.166784,14.43603621,.002887,74.1714,252.2550,64.6977,2.0214,0,U,33791,999,89190,.81308E-3,.2746E-4,0
COSMOS 2251 DEB,1993-036AH,2026-03-01T19:59:58.284672,13.45989738,.0429257,73.8993,219.0042,269.8689,216.3983,0,U,33792,999,83506,.70013E-3,.707E-5,0
COSMOS 2251 DEB,1993-036AJ,2026-03-01T20:51:23.222592,14.28034162,.0077117,73.9830,6.0594,139.8156,284.2992,0,U,33793,999,88336,.64037E-3,.1616E-4,0
COSMOS 2251 DEB,1993-036AL,2026-03-01T16:19:42.475008,15.09906878,.0030172,74.0287,274.3481,335.0351,87.1024,0,U,33795,999,91211,.14615E-2,.23984E-3,0
COSMOS 2251 DEB,1993-036AN,2026-03-01T20:47:15.760032,14.58265973,.006251,74.0439,244.5249,311.2470,168.9102,0,U,33797,999,90138,.45391E-3,.2124E-4,0
COSMOS 2251 DEB,1993-036AP,2026-03-01T20:21:30.178944,14.44722774,.0090031,74.0319,348.5417,90.4579,326.2759,0,U,33798,999,89736,.17263E-3,.601E-5,0
COSMOS 2251 DEB,1993-036AQ,2026-03-01T17:03:27.371808,14.81648428,.002305,74.0310,286.0552,332.7350,90.1582,0,U,33799,999,89980,.14529E-2,.11469E-3,0
COSMOS 2251 DEB,1993-036AW,2026-03-01T17:32:04.991712,14.58070962,.0061957,74.0315,161.0406,327.9499,31.7903,0,U,33805,999,90378,.25336E-3,.1166E-4,0
COSMOS 2251 DEB,1993-036BC,2026-03-01T16:06:58.222944,15.08832866,.0028934,73.8369,138.5484,215.6664,264.9262,0,U,33811,999,91207,.17482E-2,.27852E-3,0
COSMOS 2251 DEB,1993-036BH,2026-03-01T20:21:37.195488,13.81936056,.0265473,73.8976,331.2975,329.0510,29.5191,0,U,33816,999,85766,.70135E-3,.959E-5,0
COSMOS 2251 DEB,1993-036BK,2026-03-01T06:51:12.573216,15.21101984,.0018237,74.0821,2.9095,309.6564,50.3024,0,U,33818,999,91053,.32514E-2,.7335E-3,0
