OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2026-03-01T17:33:49.564224,14.26607804,.0011691,98.8714,132.8421,190.5030,169.5907,0,U,25730,999,38263,.11366E-2,.2701E-4,0
FENGYUN 1C DEB,1999-025X,2026-03-01T02:00:34.627968,12.96599503,.05640994,99.2163,109.2291,21.3738,7.6054,0,U,29733,999,90135,.3809097E-5,-.32E-6,0
FENGYUN 1C DEB,1999-025Y,2026-03-01T17:46:23.705760,12.91547114,.0607246,99.1709,342.7442,190.8085,197.9882,0,U,29734,999,89568,.13268E-2,.778E-5,0
FENGYUN 1C DEB,1999-025Z,2026-03-01T15:48:26.351712,12.75457137,.0706012,99.3905,327.4726,0.2867,359.8509,0,U,29735,999,88421,.4386E-2,.2608E-4,0
FENGYUN 1C DEB,1999-025AA,2026-03-01T09:34:53.313024,12.57616802,.0720742,99.4113,229.7580,29.7574,30.4226,0,U,29736,999,87533,.14979E-2,.646E-5,0
FENGYUN 1C DEB,1999-025AB,2026-03-01T19:16:31.982016,12.66044351,.0702585,99.5818,7.8685,327.7509,54.1299,0,U,29737,999,87869,.15613E-2,.744E-5,0
FENGYUN 1C DEB,1999-025AC,2026-03-01T08:45:32.914656,12.61661834,.0860493,99.4200,218.0648,124.1738,244.3991,0,U,29738,999,87208,.68547E-2,.5192E-4,0
FENGYUN 1C DEB,1999-025AE,2026-03-01T11:53:36.025440,12.08436371,.097263,99.0522,254.6248,41.2095,325.8398,0,U,29740,999,83886,.20114E-2,.748E-5,0
FENGYUN 1C DEB,1999-025AF,2026-02-28T14:04:25.164768,12.01283498,.1027637,99.1674,276.8396,271.2530,105.4333,0,U,29741,999,53118,.4677096E-2,.1832E-4,0
FENGYUN 1C DEB,1999-025AN,2026-03-01T04:22:01.159968,11.90207539,.0674375,99.7635,335.8598,239.3932,113.8939,0,U,29748,999,79667,-.11056E+0,-.1497E-3,0
FENGYUN 1C DEB,1999-025AQ,2026-03-01T15:20:46.874688,14.09725483,.0037007,98.7461,92.5593,78.4767,50.0347,0,U,29750,999,98185,.2152E-3,.338E-5,0
FENGYUN 1C DEB,1999-025AR,2026-03-01T17:44:47.532192,14.23704185,.0087888,98.5334,91.3074,269.4233,152.5556,0,U,29751,999,99197,.1766E-3,.376E-5,0
FENGYUN 1C DEB,1999-025AU,2026-03-01T19:48:16.601760,14.19491920,.0034716,98.8811,168.7759,16.4800,108.5572,0,U,29754,999,98476,.78252E-3,.1613E-4,0
FENGYUN 1C DEB,1999-025AY,2026-03-01T20:28:09.674400,14.42506981,.002103,98.8537,184.4705,85.0176,42.6260,0,U,29758,999,98811,.25598E-2,.847E-4,0
FENGYUN 1C DEB,1999-025BA,2026-03-01T13:22:29.277984,14.08359089,.0129764,98.7656,65.4865,311.8594,47.1559,0,U,29760,999,98202,.2297E-3,.381E-5,0
FENGYUN 1C DEB,1999-025BC,2026-03-01T11:57:24.164640,14.22711025,.0205072,98.5894,46.3264,106.3131,17.3807,0,U,29762,999,99068,.25826E-3,.673E-5,0
FENGYUN 1C DEB,1999-025BD,2026-03-01T20:10:47.323200,14.07955892,.0126763,98.7719,42.9679,318.3019,112.2867,0,U,29763,999,98163,.24982E-3,.413E-5,0
FENGYUN 1C DEB,1999-025BF,2026-03-01T13:23:53.703744,14.02174977,.0057544,98.8263,81.2558,231.8244,259.8472,0,U,29765,999,97855,.19623E-4,-.13E-6,0
FENGYUN 1C DEB,1999-025BG,2026-03-01T18:54:37.340352,13.97355032,.0147957,98.6913,11.1348,67.7770,322.8010,0,U,29766,999,96908,.17019E-2,.2581E-4,0
FENGYUN 1C DEB,1999-025BH,2026-03-01T20:46:48.221760,14.04314276,.032735,98.2040,27.0281,195.5090,222.7905,0,U,29767,999,96710,.77842E-3,.1956E-4,0
FENGYUN 1C DEB,1999-025BK,2026-03-01T15:31:04.166400,14.13947893,.0091933,99.0970,124.3407,266.2894,92.7762,0,U,29769,999,97796,.12319E-2,.2388E-4,0
FENGYUN 1C DEB,1999-025BL,2026-03-01T16:48:08.620128,14.20697849,.0061924,98.8380,141.2710,48.2743,103.0188,0,U,29770,999,98207,.12829E-2,.2775E-4,0
FENGYUN 1C DEB,1999-025BN,2026-03-01T07:13:54.490368,14.03534654,.0137302,98.3873,268.4466,67.7497,348.4026,0,U,29772,999,97357,.12009E-2,.2009E-4,0
FENGYUN 1C DEB,1999-025BP,2026-03-01T10:17:33.319104,14.27775698,.004766,98.9963,221.2998,63.9413,0.6684,0,U,29773,999,99320,.4425E-3,.106E-4,0
FENGYUN 1C DEB,1999-025BQ,2026-03-01T20:17:28.637376,14.22822897,.004922,99.0858,8.5878,257.5418,161.7639,0,U,29774,999,99200,.20503E-3,.418E-5,0
FENGYUN 1C DEB,1999-025BS,2026-03-01T15:43:43.893696,14.07826403,.0024475,98.7634,90.1149,50.7384,71.0483,0,U,29776,999,98190,.18225E-3,.267E-5,0
FENGYUN 1C DEB,1999-025BT,2026-03-01T17:49:48.415008,13.92137553,.0092748,99.2686,122.6556,357.2221,123.5674,0,U,29777,999,97140,.12733E-3,.123E-5,0
FENGYUN 1C DEB,1999-025BV,2026-03-01T12:36:39.585888,14.13532676,.0062076,98.6763,74.4036,300.7891,58.7180,0,U,29779,999,98525,.2871E-3,.507E-5,0
FENGYUN 1C DEB,1999-025BW,2026-03-01T18:22:29.669088,14.21742060,.0040859,99.2799,350.6813,269.3603,90.2890,0,U,29780,999,98201,.15943E-2,.3488E-4,0
FENGYUN 1C DEB,1999-025BX,2026-03-01T11:58:42.257280,14.05432420,.0071281,98.8167,57.4449,313.5890,199.3656,0,U,29781,999,97749,.81942E-3,.1317E-4,0
FENGYUN 1C DEB,1999-025BY,2026-03-01T18:09:57.886272,14.12056509,.0051628,99.0923,120.4633,341.9999,131.9188,0,U,29782,999,97786,.11175E-2,.2028E-4,0
FENGYUN 1C DEB,1999-025CA,2026-03-01T19:08:33.453024,14.30810261,.0061086,98.9482,346.8693,66.6634,358.8304,0,U,29784,999,99490,.52674E-3,.1363E-4,0
FENGYUN 1C DEB,1999-025CC,2026-03-01T14:39:57.106368,14.09140437,.0078879,98.7323,80.4187,79.8557,41.7518,0,U,29786,999,98271,.12611E-3,.183E-5,0
FENGYUN 1C DEB,1999-025CE,2026-03-01T19:04:20.510112,14.26620759,.0038885,98.7752,137.6176,318.6189,155.6822,0,U,29788,999,98482,.15487E-2,.3727E-4,0
FENGYUN 1C DEB,1999-025CF,2026-03-01T18:02:27.149568,13.54504542,.0297281,99.4574,245.2319,79.3975,48.8751,0,U,29789,999,94057,.14401E-2,.1264E-4,0
FENGYUN 1C DEB,1999-025CG,2026-03-01T19:18:16.642656,14.32444395,.0075534,99.1525,64.1506,308.3282,51.1126,0,U,29790,999,99657,.39385E-3,.1051E-4,0
FENGYUN 1C DEB,1999-025CH,2026-03-01T15:14:07.087200,14.59588825,.0039829,99.0371,73.0722,180.0128,298.4114,0,U,29791,999,99996,.14382E-2,.6865E-4,0
FENGYUN 1C DEB,1999-025CJ,2026-02-28T01:49:28.956576,14.15587324,.00502252,98.7490,113.2304,173.1127,187.0748,0,U,29792,999,98033,.11847943E-2,.2304E-4,0
FENGYUN 1C DEB,1999-025CK,2026-03-01T10:39:36.845280,14.01438079,.0145006,98.3559,237.6215,116.5656,310.3638,0,U,29793,999,97251,.13878E-2,.2259E-4,0
FENGYUN 1C DEB,1999-025CL,2026-03-01T16:01:00.775776,14.09249527,.0157277,98.2078,217.3179,173.3466,316.9950,0,U,29794,999,97959,.10891E-2,.2087E-4,0
FENGYUN 1C DEB,1999-025CM,2026-03-01T20:24:24.823584,13.92954816,.0112592,98.8768,191.9746,59.7276,94.0300,0,U,29795,999,97166,.66223E-4,.49E-6,0
FENGYUN 1C DEB,1999-025CN,2026-02-28T14:52:12.055872,14.12546478,.00520519,98.8545,115.6192,49.7739,102.7742,0,U,29796,999,98160,.60783285E-3,.1095E-4,0
FENGYUN 1C DEB,1999-025CQ,2026-03-01T17:54:01.480608,13.99950635,.0108644,99.2903,130.8832,59.3393,63.5537,0,U,29798,999,97030,.995E-3,.1494E-4,0
FENGYUN 1C DEB,1999-025CS,2026-03-01T18:08:51.527616,13.99071675,.0130773,98.2841,79.8457,6.2111,53.6168,0,U,29800,999,96681,.2414E-2,.3722E-4,0
FENGYUN 1C DEB,1999-025CT,2026-03-01T18:01:14.352384,14.35988636,.010449,98.7915,328.3633,34.6789,35.3382,0,U,29801,999,74,.19441E-3,.553E-5,0
FENGYUN 1C DEB,1999-025CU,2026-03-01T20:03:02.882592,14.65289647,.0035418,98.6173,178.5517,97.7653,25.8300,0,U,29802,999,99630,.34141E-2,.18576E-3,0
FENGYUN 1C DEB,1999-025CW,2026-03-01T20:06:34.178112,14.04344853,.0098982,98.8055,71.6467,80.2306,42.7181,0,U,29804,999,98004,.27984E-3,.423E-5,0
FENGYUN 1C DEB,1999-025CX,2026-03-01T15:14:04.102944,13.72685801,.0188488,99.4407,115.8522,24.8589,336.1497,0,U,29805,999,95785,.14547E-3,.108E-5,0
FENGYUN 1C DEB,1999-025CY,2026-03-01T20:06:18.924192,14.12188114,.0028759,98.7096,79.3812,30.0350,147.9525,0,U,29806,999,98255,.5633E-3,.996E-5,0
FENGYUN 1C DEB,1999-025CZ,2026-03-01T20:08:02.956704,14.08735182,.0080986,98.7570,68.1802,107.7118,253.2912,0,U,29807,999,98208,.1682E-3,.257E-5,0
FENGYUN 1C DEB,1999-025DB,2026-03-01T20:16:27.105024,14.46787362,.0116789,98.8722,33.0541,112.1802,310.3890,0,U,29809,999,611,.26567E-3,.995E-5,0
FENGYUN 1C DEB,1999-025DC,2026-03-01T16:47:03.018336,14.29252757,.0067185,99.1949,106.8803,150.0396,331.1384,0,U,29810,999,99505,.25924E-3,.627E-5,0
FENGYUN 1C DEB,1999-025DE,2026-02-28T06:13:28.697088,14.02356987,.0144052,98.3545,246.6708,109.0726,67.2773,0,U,29812,999,97258,.12901E-2,.2132E-4,0
FENGYUN 1C DEB,1999-025DF,2026-03-01T18:05:29.480352,14.09476502,.0012512,98.7226,83.1584,7.1370,53.9368,0,U,29813,999,98373,.39108E-4,.26E-6,0
FENGYUN 1C DEB,1999-025DH,2026-03-01T12:46:55.070112,14.64580118,.0179392,98.0550,72.3664,246.8356,111.3860,0,U,29815,999,1004,.59983E-3,.3975E-4,0
FENGYUN 1C DEB,1999-025DJ,2026-03-01T14:21:47.916864,14.45170475,.0235012,98.9881,290.2312,302.6631,108.9515,0,U,29816,999,99326,.13109E-2,.6397E-4,0
FENGYUN 1C DEB,1999-025DK,2026-03-01T19:57:33.281280,14.14380987,.0012508,98.5660,51.7463,139.2968,338.8493,0,U,29817,999,98513,.38648E-3,.698E-5,0
FENGYUN 1C DEB,1999-025DL,2026-03-01T15:11:52.589184,14.04570829,.0114625,98.7143,299.8535,163.3737,227.3219,0,U,29818,999,97917,.11361E-4,-.22E-6,0
FENGYUN 1C DEB,1999-025DM,2026-03-01T13:01:53.436576,14.02323111,.0190726,98.7443,46.0871,206.2197,275.8810,0,U,29819,999,97724,.40509E-3,.687E-5,0
FENGYUN 1C DEB,1999-025DN,2026-03-01T14:15:06.081696,14.02755579,.0072799,98.8341,70.2725,19.0740,97.8815,0,U,29820,999,97665,.47181E-3,.704E-5,0
FENGYUN 1C DEB,1999-025DP,2026-03-01T16:09:49.080672,14.11499629,.0372974,98.8595,119.9102,256.8890,232.6044,0,U,29821,999,97624,.7263E-3,.2488E-4,0
FENGYUN 1C DEB,1999-025DV,2026-03-01T10:51:47.162016,14.21820391,.0026756,98.6099,54.7043,91.9812,61.2176,0,U,29827,999,98981,.36058E-3,.754E-5,0
FENGYUN 1C DEB,1999-025DW,2026-03-01T19:40:59.064384,14.08384511,.0059329,98.7613,109.0504,292.3362,126.8280,0,U,29828,999,97850,.6374E-3,.1066E-4,0
FENGYUN 1C DEB,1999-025EA,2026-03-01T18:54:34.459776,14.56782986,.0193316,98.8210,181.8366,42.2409,319.3497,0,U,29832,999,1406,.13394E-3,.71E-5,0
FENGYUN 1C DEB,1999-025EB,2026-03-01T12:28:16.116672,14.93285800,.0087083,99.0823,59.7638,6.1530,354.0733,0,U,29833,999,1746,.17351E-2,.19534E-3,0
FENGYUN 1C DEB,1999-025ED,2026-03-01T09:08:16.272096,14.43439447,.016752,99.0328,198.5173,163.3766,265.2241,0,U,29835,999,627,.171E-3,.628E-5,0
FENGYUN 1C DEB,1999-025EE,2026-03-01T05:11:27.780864,14.54537677,.0152751,98.1824,159.5013,320.3452,68.3126,0,U,29836,999,64696,.37694E-3,.1824E-4,0
FENGYUN 1C DEB,1999-025EK,2026-03-01T20:16:50.198016,14.46754223,.0201156,98.8295,16.3104,95.8899,327.0126,0,U,29841,999,464,.36667E-3,.1652E-4,0
FENGYUN 1C DEB,1999-025EL,2026-03-01T18:25:13.226016,14.61244024,.0105524,98.5614,156.0220,280.8082,205.7327,0,U,29842,999,501,.11311E-2,.5983E-4,0
FENGYUN 1C DEB,1999-025EM,2026-03-01T13:32:01.131936,14.28738663,.019274,99.0363,266.7749,62.5109,358.2181,0,U,29843,999,99407,.33342E-3,.974E-5,0
FENGYUN 1C DEB,1999-025EN,2026-03-01T16:50:41.624160,14.32289451,.0166828,98.9339,329.4432,297.1415,61.2840,0,U,29844,999,99471,.62047E-3,.19E-4,0
FENGYUN 1C DEB,1999-025EP,2026-03-01T13:28:37.930368,14.26726522,.0075632,98.5259,63.8420,260.8186,221.1455,0,U,29845,999,99233,.37057E-3,.881E-5,0
FENGYUN 1C DEB,1999-025EQ,2026-03-01T14:58:53.307840,14.19148663,.0085806,98.6428,105.5643,76.9046,74.0026,0,U,29846,999,98978,.14557E-3,.274E-5,0
FENGYUN 1C DEB,1999-025ER,2026-03-01T19:57:09.171360,14.03065498,.0084613,98.9085,60.0394,177.3404,305.1912,0,U,29847,999,97844,.22272E-4,-.7E-7,0
FENGYUN 1C DEB,1999-025ES,2026-03-01T20:31:12.304128,14.21037326,.0117186,98.2463,287.2342,63.2644,356.7510,0,U,29848,999,98241,.11215E-2,.2569E-4,0
FENGYUN 1C DEB,1999-025ET,2026-03-01T18:53:53.136384,14.05194712,.0082757,99.0026,149.6131,183.0268,299.1310,0,U,29849,999,97480,.10733E-2,.1744E-4,0
FENGYUN 1C DEB,1999-025EU,2026-03-01T17:09:49.399776,14.00142552,.0106941,98.1231,343.5715,64.5577,354.3251,0,U,29850,999,97125,.16785E-2,.2565E-4,0
FENGYUN 1C DEB,1999-025EV,2026-03-01T17:28:04.016928,13.83670866,.0142399,99.5717,108.1125,19.5979,93.3187,0,U,29851,999,96459,.33056E-3,.349E-5,0
FENGYUN 1C DEB,1999-025EW,2026-03-01T13:39:44.652384,14.07686016,.0132823,99.3693,78.2547,291.7197,188.2725,0,U,29852,999,97093,.20835E-2,.3771E-4,0
FENGYUN 1C DEB,1999-025EX,2026-03-01T18:29:59.028576,13.94097249,.015765,98.4582,180.7525,3.5423,356.6818,0,U,29853,999,96770,.90523E-3,.129E-4,0
FENGYUN 1C DEB,1999-025EY,2026-03-01T09:21:07.111296,13.83422505,.0146892,98.9363,222.5963,198.3474,191.6350,0,U,29854,999,96431,.47835E-3,.531E-5,0
FENGYUN 1C DEB,1999-025EZ,2026-03-01T19:30:03.049920,14.02332681,.0177479,98.1858,359.4878,181.0154,205.3417,0,U,29855,999,96820,.15322E-2,.2663E-4,0
