OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-03-01T20:19:31.554336,14.35095462,.0006646,86.3866,34.9900,331.4325,28.6506,0,U,24946,999,48969,.11641E-3,.352E-5,0
IRIDIUM 33 DEB,1997-051L,2026-03-01T19:36:53.664192,14.43456755,.0008836,86.4022,27.0574,249.6018,110.4234,0,U,33773,999,89488,.38705E-3,.1327E-4,0
IRIDIUM 33 DEB,1997-051N,2026-03-01T20:09:30.981888,14.41726486,.0010816,86.3665,15.7689,263.7217,155.2879,0,U,33775,999,89280,.54749E-3,.1805E-4,0
IRIDIUM 33 DEB,1997-051P,2026-03-01T12:01:24.328128,14.38387763,.0012642,86.4009,47.6683,305.3489,177.6498,0,U,33776,999,89214,.32498E-3,.101E-4,0
IRIDIUM 33 DEB,1997-051Q,2026-03-01T19:14:42.615168,14.56267435,.0007377,86.3827,0.7918,12.4042,347.7346,0,U,33777,999,89684,.81163E-3,.3612E-4,0
IRIDIUM 33 DEB,1997-051T,2026-03-01T19:19:26.674176,14.42458125,.0008882,86.3465,356.1813,274.1590,146.2487,0,U,33850,999,89292,.55317E-3,.1851E-4,0
IRIDIUM 33 DEB,1997-051W,2026-03-01T17:22:25.630464,13.99540026,.0210976,86.0009,315.1813,354.5290,57.8511,0,U,33853,999,86450,.15428E-2,.2742E-4,0
IRIDIUM 33 DEB,1997-051AD,2026-03-01T20:41:17.465280,14.68886217,.0011754,86.3873,352.1797,68.0310,356.0964,0,U,33860,999,89883,.17467E-2,.10249E-3,0
IRIDIUM 33 DEB,1997-051AF,2026-03-01T20:38:14.737920,14.71601655,.0049724,86.4123,2.5829,149.7905,264.4686,0,U,33862,999,89986,.21161E-2,.13452E-3,0
IRIDIUM 33 DEB,1997-051AK,2026-03-01T11:41:01.013856,14.25679514,.0111038,86.2976,59.6916,269.3758,246.4190,0,U,33866,999,87932,.14271E-2,.3626E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-03-01T20:23:47.239584,14.46343190,.0018339,86.3762,24.3237,283.3474,140.8772,0,U,33870,999,89280,.96756E-3,.3496E-4,0
IRIDIUM 33 DEB,1997-051BA,2026-03-01T12:55:10.757280,14.58719782,.005307,86.3816,72.4235,270.7483,212.6183,0,U,33881,999,88648,.3791E-2,.18084E-3,0
IRIDIUM 33 DEB,1997-051BD,2026-03-01T18:26:04.099200,14.79976846,.0014181,86.3721,334.0926,40.9130,13.0589,0,U,33884,999,90015,.24322E-2,.18468E-3,0
IRIDIUM 33 DEB,1997-051BF,2026-03-01T11:39:33.634944,14.36155843,.0013945,86.3829,34.0585,358.4706,125.8892,0,U,33886,999,89182,.2389E-3,.716E-5,0
IRIDIUM 33 DEB,1997-051BG,2026-03-01T18:27:11.798784,14.37315784,.0006083,86.3086,329.3566,3.0288,51.2666,0,U,33887,999,89300,.1625E-3,.504E-5,0
IRIDIUM 33 DEB,1997-051BN,2026-03-01T08:41:26.611584,14.56284609,.0014852,86.3870,19.6206,185.0754,337.0959,0,U,33953,999,89447,.1393E-2,.6195E-4,0
IRIDIUM 33 DEB,1997-051BV,2026-03-01T12:22:55.725600,14.89802617,.0002515,86.2487,252.2253,130.9048,284.9345,0,U,33960,999,90038,.29201E-2,.28118E-3,0
IRIDIUM 33 DEB,1997-051CB,2026-03-01T20:25:02.436096,14.49998692,.00058,86.3957,12.0600,316.0083,103.4750,0,U,33966,999,89588,.7174E-3,.2797E-4,0
IRIDIUM 33 DEB,1997-051CE,2026-03-01T19:56:42.204192,14.49955138,.0006262,86.3501,343.4513,188.7869,171.3227,0,U,34071,999,89480,.71364E-3,.278E-4,0
IRIDIUM 33 DEB,1997-051CL,2026-03-01T20:01:50.352384,14.66440528,.0011851,86.3879,16.6131,106.5360,317.6137,0,U,34077,999,89491,.18589E-2,.10322E-3,0
IRIDIUM 33 DEB,1997-051CN,2026-03-01T19:26:46.686912,14.86749544,.0009965,86.3797,332.6212,65.5950,1.2278,0,U,34079,999,90151,.21081E-2,.18829E-3,0
IRIDIUM 33 DEB,1997-051CX,2026-03-01T20:28:45.501024,14.97312091,.0002395,86.3872,354.2159,47.4334,11.4674,0,U,34088,999,89923,.38832E-2,.45289E-3,0
IRIDIUM 33 DEB,1997-051DA,2026-03-01T09:33:39.290688,14.88859584,.0034345,86.3428,30.6105,26.6551,333.6431,0,U,34091,999,89034,.55407E-2,.52847E-3,0
IRIDIUM 33 DEB,1997-051DG,2026-03-01T17:25:19.189920,14.35480346,.0083583,86.2024,326.5373,101.8714,259.1871,0,U,34097,999,88252,.12167E-2,.3659E-4,0
IRIDIUM 33 DEB,1997-051DY,2026-03-01T16:15:54.442944,14.43038565,.0051511,86.2099,297.3578,191.8484,168.1509,0,U,34145,999,88776,.87772E-3,.3007E-4,0
IRIDIUM 33 DEB,1997-051DZ,2026-03-01T17:45:42.653664,14.49688566,.0026326,86.2847,314.9021,327.3848,91.3220,0,U,34146,999,89251,.74945E-3,.2914E-4,0
IRIDIUM 33 DEB,1997-051EN,2026-03-01T19:38:43.920096,14.38724802,.0029504,86.3541,14.5114,31.4614,328.8341,0,U,34159,999,89096,.54467E-3,.1699E-4,0
IRIDIUM 33 DEB,1997-051ES,2026-03-01T19:01:26.567904,14.45669292,.0018975,86.3311,328.5177,234.4857,187.3974,0,U,34350,999,89435,.38354E-3,.1379E-4,0
