OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
METOP-B,2012-049A,2026-03-01T10:05:28.468032,14.21441529,.0001291,98.6660,113.9985,310.6780,49.4285,0,U,38771,999,69795,.85191E-4,.143E-5,0
SARAL,2013-009A,2026-03-01T12:00:51.592896,14.32825131,.0001018,98.5551,248.4191,210.4952,149.6173,0,U,39086,999,68018,.72083E-4,.153E-5,0
METOP-C,2018-087A,2026-03-01T10:41:01.285728,14.21493842,.0002141,98.6784,121.9574,111.3696,248.7710,0,U,43689,999,37952,.83715E-4,.14E-5,0
OTB-3-GAZELLE,2022-127A,2026-03-01T11:41:29.691744,14.42631984,.0013727,98.3899,53.8609,148.9791,211.2212,0,U,54023,999,17883,.40065E-4,.9E-6,0
EOS-6 (OCEANSAT-3),2022-158A,2026-03-01T11:56:39.024960,14.46996943,.0000384,98.3493,160.1590,29.2886,330.8328,0,U,54361,999,17226,.12807E-3,.422E-5,0
KINEIS-1B,2024-114A,2026-03-01T12:35:23.097696,14.80390773,.0003876,97.9931,85.1913,89.8051,270.3605,0,U,60079,999,9147,.19246E-3,.1417E-4,0
KINEIS-1C,2024-114C,2026-03-01T13:23:53.367648,14.80383355,.0001908,97.9952,85.0486,127.6572,232.4813,0,U,60081,999,9145,.1805E-3,.1325E-4,0
KINEIS-1D,2024-114D,2026-03-01T12:56:42.342144,14.76095981,.0002063,97.9975,81.8174,137.2860,222.8510,0,U,60082,999,9124,.14751E-3,.967E-5,0
KINEIS-1E,2024-114E,2026-03-01T12:11:02.228352,14.80401208,.0002475,97.9938,85.0801,97.3499,262.7994,0,U,60083,999,9145,.18045E-3,.1325E-4,0
KINEIS-1A,2024-114F,2026-03-01T12:59:47.973408,14.80417912,.0004731,97.9944,85.2358,110.8156,249.3563,0,U,60084,999,9146,.15118E-3,.1102E-4,0
KINEIS-3C,2024-172A,2026-03-01T05:13:25.486176,14.72265429,.0003474,98.0306,151.3219,117.8270,242.3289,0,U,61220,999,7718,.44535E-3,.2763E-4,0
KINEIS-3D,2024-172B,2026-03-01T05:03:52.630848,14.72269312,.0002493,98.0306,151.3267,120.8795,239.2658,0,U,61221,999,7746,.44052E-3,.2733E-4,0
KINEIS-3E,2024-172C,2026-03-01T06:17:07.319328,14.72258552,.0001638,98.0303,151.3725,111.6998,248.4384,0,U,61222,999,7747,.4262E-3,.2642E-4,0
KINEIS-3A,2024-172D,2026-03-01T05:52:45.789024,14.72286157,.0003198,98.0295,151.4446,87.9066,272.2507,0,U,61223,999,7689,.43212E-3,.2681E-4,0
KINEIS-3B,2024-172E,2026-03-01T05:28:04.881792,14.72240167,.0003758,98.0295,151.4615,80.8498,279.3134,0,U,61224,999,7746,.43441E-3,.2693E-4,0
KINEIS-5C,2024-219A,2026-03-01T11:26:26.263104,14.72339813,.000171,97.9726,222.0907,98.8299,261.3102,0,U,62081,999,6790,.20472E-3,.1246E-4,0
KINEIS-5D,2024-219B,2026-03-01T12:15:15.166944,14.72315548,.0001231,97.9649,222.1111,73.7802,286.3541,0,U,62082,999,6791,.21844E-3,.1332E-4,0
KINEIS-5E,2024-219C,2026-03-01T12:39:19.056960,14.72312336,.0002211,97.9698,222.3200,134.6638,225.4750,0,U,62083,999,6792,.62325E-4,.345E-5,0
KINEIS-5A,2024-219D,2026-03-01T11:46:31.781568,14.72190459,.0001115,97.9813,222.3779,252.9220,107.1865,0,U,62084,999,6792,.16418E-3,.986E-5,0
KINEIS-5B,2024-219E,2026-03-01T11:41:17.585376,14.78033536,.0000992,97.9926,225.0327,226.1796,133.9332,0,U,62085,999,6809,.31275E-3,.2207E-4,0
KINEIS-2C,2025-028B,2026-03-01T02:18:17.160480,14.72288584,.0001667,98.0295,115.3688,46.3708,313.7637,0,U,62929,999,5670,.24172E-3,.1478E-4,0
KINEIS-2D,2025-028C,2026-03-01T03:49:32.681856,14.75303150,.00034881,97.9431,114.6455,168.1188,192.0104,0,U,62930,999,5678,.28690946E-3,.1894E-4,0
KINEIS-2E,2025-028D,2026-03-01T03:49:54.974784,14.76681979,.00017708,97.9099,114.0481,117.9154,242.2236,0,U,62931,999,5683,.23488428E-3,.1593E-4,0
KINEIS-2A,2025-028E,2026-03-01T02:57:26.359200,14.72073121,.00034363,98.0701,115.6887,219.9391,140.1564,0,U,62932,999,5670,.21595551E-3,.1308E-4,0
KINEIS-2B,2025-028G,2026-03-01T03:35:35.480544,14.73084714,.0004721,97.9811,114.9259,128.7601,231.4029,0,U,62934,999,5675,.23018671E-3,.1432E-4,0
KINEIS-4E,2025-056A,2026-03-01T12:44:44.376288,14.72316215,.000044,97.9926,186.9737,202.2565,157.8624,0,U,63300,999,5128,.46475E-3,.289E-4,0
KINEIS-4C,2025-056B,2026-03-01T11:24:53.363232,14.72357090,.0000864,97.9986,187.0805,48.3192,311.8089,0,U,63301,999,5128,.4779E-3,.2976E-4,0
KINEIS-4D,2025-056C,2026-03-01T13:09:54.753696,14.72328396,.0000655,97.9968,187.1315,345.5951,14.5238,0,U,63302,999,5129,.49276E-3,.3068E-4,0
KINEIS-4A,2025-056D,2026-03-01T12:19:37.802208,14.72266271,.0001607,97.9940,187.0254,279.0332,81.0694,0,U,63303,999,5128,-.13071E-3,-.874E-5,0
KINEIS-4B,2025-056E,2026-03-01T10:17:30.592320,14.72404736,.0001682,97.9988,186.9875,223.0966,137.0110,0,U,63304,999,5126,.42411E-3,.2638E-4,0
