OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-03-01T08:50:03.992928,14.46061703,.0042201,24.9679,153.2667,76.9484,340.9035,0,U,22490,999,74549,.83689E-4,.492E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-03-01T10:49:49.473984,14.24403395,.0001821,99.0017,50.5226,132.1214,228.0119,0,U,25397,999,43599,.66779E-4,.108E-5,0
SCD 2,1998-060A,2026-03-01T01:14:50.988192,14.45476998,.00169652,24.9965,19.0055,60.9894,14.3592,0,U,25504,999,44466,.86519037E-4,.492E-5,0
DLR-TUBSAT,1999-029B,2026-03-01T13:08:51.849312,14.52393705,.0013459,98.6655,52.5353,321.3900,38.6331,0,U,25757,999,41762,.54194E-4,.172E-5,0
TERRA,1999-068A,2026-03-01T10:34:17.400288,14.61004514,.0002136,97.9612,114.1897,172.0958,312.8190,0,U,25994,999,39387,.1183E-3,.536E-5,0
MAROC-TUBSAT,2001-056D,2026-03-01T10:43:37.201440,13.70257526,.0020483,99.7998,235.2950,60.1211,354.0265,0,U,27004,999,21143,.39973E-4,-.11E-6,0
AQUA,2002-022A,2026-03-01T11:32:48.957216,14.61953163,.0000725,98.4159,27.6975,52.8383,58.4881,0,U,27424,999,26753,.25846E-3,.1245E-4,0
IRS-P6 (RESOURCESAT-1),2003-046A,2026-03-01T12:43:24.650688,14.36112345,.0063196,98.2069,102.2465,306.0791,188.3161,0,U,28051,999,16507,.19781E-3,.548E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-03-01T04:10:26.329440,15.30734349,.00065809,97.8794,131.4351,51.3100,308.8728,0,U,28220,999,19455,.5549886E-3,.16431E-3,0
AURA,2004-026A,2026-03-01T11:30:17.688096,14.61125701,.0001036,98.3296,16.1299,76.3553,283.7763,0,U,28376,999,15048,.26105E-3,.1236E-4,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-03-01T11:49:32.848320,14.90730708,.0002539,97.5426,88.4055,78.5695,281.5809,0,U,28649,999,12777,.21721E-3,.208E-4,0
SINAH 1,2005-043D,2026-03-01T11:38:33.778752,14.64061986,.0013333,98.2670,194.2851,251.9669,108.0080,0,U,28893,999,8476,.11812E-3,.571E-5,0
RESURS-DK 1,2006-021A,2026-03-01T00:07:36.389856,15.12677600,.0002575,69.9304,259.4889,166.8523,193.2711,0,U,29228,999,8621,.16864174E-3,.2851E-4,0
ARIRANG-2 (KOMPSAT-2),2006-031A,2026-03-01T13:21:26.527392,14.64579009,.0015628,97.8297,250.2024,57.9287,9.7152,0,U,29268,999,4572,.39968E-4,.168E-5,0
LAPAN-TUBSAT,2007-001A,2026-03-01T12:13:20.044992,14.85814709,.0012152,98.1323,57.3291,169.6451,190.5016,0,U,29709,999,3516,.4758E-4,.357E-5,0
HAIYANG-1B,2007-010A,2026-03-01T11:12:10.637856,14.30996346,.001389,98.3416,46.5367,155.9918,204.1916,0,U,31113,999,98522,.66837E-4,.134E-5,0
COSMO-SKYMED 1,2007-023A,2026-03-01T12:10:09.381792,14.96459355,.0000902,97.8866,251.4743,83.7550,276.3773,0,U,31598,999,1368,.32391E-3,.3616E-4,0
TERRASAR-X,2007-026A,2026-02-28T13:47:53.178720,15.19152703,.00018349,97.4460,68.8273,80.2105,279.9336,0,U,31698,999,3673,.67735568E-4,.1356E-4,0
WORLDVIEW-1 (WV-1),2007-041A,2026-03-01T07:12:22.219488,15.24353586,.0002709,97.3821,181.6028,158.2972,201.8380,0,U,32060,999,2644,.39718E-3,.9656E-4,0
YAOGAN-3,2007-055A,2026-03-01T12:25:50.487744,14.90318988,.0001942,97.8291,91.4285,84.6572,275.4867,0,U,32289,999,98982,.49642E-3,.4771E-4,0
COSMO-SKYMED 2,2007-059A,2026-03-01T11:33:43.041024,14.82153041,.0001339,97.8862,245.6368,82.8484,277.2882,0,U,32376,999,98604,.92613E-4,.685E-5,0
RADARSAT-2,2007-061A,2026-03-01T13:30:02.877984,14.29981458,.0001182,98.5815,69.0183,83.7050,276.4267,0,U,32382,999,95057,.11712E-3,.258E-5,0
CARTOSAT-2A,2008-021A,2026-03-01T13:19:58.135872,14.79081571,.0013229,97.7802,112.8709,99.8271,260.4435,0,U,32783,999,96289,.11943E-3,.835E-5,0
HUANJING 1A (HJ-1A),2008-041A,2026-03-01T13:01:02.502912,14.83688425,.0020229,97.6619,50.6047,128.3729,231.9307,0,U,33320,999,94244,.25359E-3,.2051E-4,0
HUANJING 1B (HJ-1B),2008-041B,2026-03-01T12:46:30.382176,14.83077315,.0036394,97.6467,54.0804,174.3353,185.8280,0,U,33321,999,94245,.17892E-3,.1421E-4,0
GEOEYE 1,2008-042A,2026-03-01T10:06:10.170720,14.64754955,.000447,98.1223,135.7150,49.9976,310.1619,0,U,33331,999,93437,.13107E-3,.651E-5,0
THEOS,2008-049A,2026-03-01T12:33:19.046304,14.20114908,.0001058,98.5728,121.2391,86.0477,274.0821,0,U,33396,999,90268,.54032E-4,.73E-6,0
COSMO-SKYMED 3,2008-054A,2026-03-01T13:09:32.994720,15.06154047,.001488,97.8425,277.2939,271.8980,88.0542,0,U,33412,999,94073,.31603E-3,.4571E-4,0
YAOGAN-4,2008-061A,2026-03-01T08:28:40.647936,14.82947234,.0015755,97.9241,354.7226,64.3283,295.9555,0,U,33446,999,92968,.20238E-3,.1592E-4,0
GOSAT (IBUKI),2009-002A,2026-03-01T06:35:07.836864,14.67543304,.0001411,98.0763,172.7846,88.6658,271.4708,0,U,33492,999,91563,.53763E-4,.257E-5,0
DEIMOS-1,2009-041A,2026-03-01T11:20:34.838016,14.75099006,.0001884,97.7237,222.4560,131.5167,228.6205,0,U,35681,999,89100,.13671E-3,.874E-5,0
DUBAISAT-1,2009-041B,2026-03-01T08:44:17.337120,14.74878675,.0011516,97.9860,194.9281,61.1335,299.1028,0,U,35682,999,88920,.24147E-3,.1571E-4,0
OCEANSAT-2,2009-051A,2026-03-01T12:59:05.965728,13.99635669,.0016869,98.2268,58.1735,175.4040,184.7284,0,U,35931,999,86427,.28224E-5,-.33E-6,0
WORLDVIEW-2 (WV-2),2009-055A,2026-03-01T10:42:27.472320,14.37906520,.0004591,98.4710,135.4288,167.1977,192.9327,0,U,35946,999,86016,.75371E-4,.184E-5,0
SMOS,2009-059A,2026-03-01T11:17:35.365344,14.39753051,.0001072,98.4424,249.3667,81.3156,278.8153,0,U,36036,999,85795,.13857E-3,.391E-5,0
YAOGAN-7,2009-069A,2026-03-01T05:44:16.204416,14.77875628,.0025393,98.0226,306.6900,30.1544,330.1121,0,U,36110,999,87368,.13183E-3,.9E-5,0
TANDEM-X,2010-030A,2026-02-28T13:47:53.098368,15.19151654,.00018141,97.4471,68.8269,95.5178,264.6264,0,U,36605,999,87015,.40296245E-4,.779E-5,0
CARTOSAT-2B,2010-035A,2026-03-01T11:21:44.707104,14.78719654,.0011533,97.8363,111.9431,174.6989,185.4347,0,U,36795,999,84393,.89314E-5,.15E-6,0
YAOGAN-10,2010-038A,2026-03-01T13:42:43.913376,14.84974099,.0001619,97.9089,84.8045,93.3896,61.1332,0,U,36834,999,84123,.27575E-3,.2296E-4,0
COSMO-SKYMED 4,2010-060A,2026-03-01T11:51:56.653344,14.82149847,.000141,97.8858,245.6492,84.5490,275.5884,0,U,37216,999,82861,.69077E-4,.498E-5,0
RESOURCESAT-2,2011-015A,2026-03-01T09:45:09.122976,14.21486748,.0006022,98.7739,128.5453,160.6419,199.4988,0,U,37387,999,77086,-.13834E-4,-.75E-6,0
HAIYANG-2A,2011-043A,2026-03-01T12:17:55.385376,13.78565771,.0000583,99.3411,65.2424,296.5332,63.5759,0,U,37781,999,73184,.25262E-4,-.18E-6,0
RASAT,2011-044D,2026-03-01T12:06:08.381952,14.68041042,.0020808,98.0567,153.5719,170.2609,318.1948,0,U,37791,999,77738,.10783E-3,.571E-5,0
SRMSAT,2011-058D,2026-03-01T01:44:27.289248,14.11543719,.00118979,19.9732,353.8578,94.9480,9.1184,0,U,37841,999,74252,.99837702E-4,.449E-5,0
PLEIADES 1A,2011-076F,2026-03-01T12:02:03.156288,14.58531137,.0001662,98.2066,137.0182,94.2324,30.8178,0,U,38012,999,75629,.79461E-4,.323E-5,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-03-01T12:37:40.540224,14.38114185,.000523,98.4197,130.0428,270.0767,207.0106,0,U,38038,999,74373,.25657E-3,.735E-5,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-03-01T12:35:11.227200,14.62077126,.0006839,98.1157,19.9240,91.6129,268.5856,0,U,38338,999,73561,.14951E-3,.705E-5,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-03-01T07:38:02.338368,14.24946998,.0011829,98.9634,175.3571,120.4629,239.7719,0,U,38709,999,70734,.96933E-4,.18E-5,0
SPOT 6,2012-047A,2026-03-01T11:49:28.186176,14.58534241,.0001451,98.2245,129.0104,95.8925,264.2439,0,U,38755,999,71735,.11496E-3,.488E-5,0
PLEIADES 1B,2012-068A,2026-03-01T12:17:05.722656,14.58575580,.0001634,98.2036,137.0150,90.5305,269.6082,0,U,39019,999,70515,.11939E-3,.51E-5,0
GOKTURK 2,2012-073A,2026-03-01T12:36:24.501312,14.75421293,.0001305,97.6891,263.3056,57.5072,302.6264,0,U,39030,999,70863,.11962E-3,.765E-5,0
LANDSAT 8,2013-008A,2026-03-01T10:04:58.508832,14.57122130,.0001243,98.1935,132.2807,90.4040,269.7301,0,U,39084,999,68220,.11648E-3,.48E-5,0
SARAL,2013-009A,2026-03-01T12:00:51.592896,14.32825131,.0001018,98.5551,248.4191,210.4952,149.6173,0,U,39086,999,68018,.72083E-4,.153E-5,0
GAOFEN-1,2013-018A,2026-03-01T12:23:05.779968,14.76532025,.0016028,97.9198,134.7306,252.7065,107.2391,0,U,39150,999,69235,.19331E-3,.1299E-4,0
VNREDSAT 1,2013-021B,2026-03-01T12:12:44.341920,14.65059218,.0001621,97.9241,117.9786,88.9576,271.1813,0,U,39160,999,68452,.13474E-3,.677E-5,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-03-01T11:44:16.028160,15.04527910,.0003931,97.6186,248.6861,130.9383,229.2183,0,U,39227,999,68766,.14364E-3,.1952E-4,0
SKYSAT-A,2013-066C,2026-03-01T08:45:19.426752,15.12277656,.00208,97.3975,113.1666,330.7689,29.2376,0,U,39418,999,67218,.25412E-3,.4355E-4,0
DUBAISAT-2,2013-066D,2026-03-01T12:03:22.862880,15.09251214,.0013086,97.4519,53.5655,49.6341,310.6028,0,U,39419,999,67014,.41451E-3,.655E-4,0
GPM-CORE,2014-009C,2026-03-01T10:08:50.436672,15.44527458,.0012426,64.9747,309.1759,264.0109,95.9615,0,U,39574,999,68116,.3297E-3,.15205E-3,0
