OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SKYSAT-A,2013-066C,2026-03-01T08:45:19.426752,15.12277656,.00208,97.3975,113.1666,330.7689,29.2376,0,U,39418,999,67218,.25412E-3,.4355E-4,0
SKYSAT-B,2014-037D,2026-03-01T07:44:02.628960,14.87684836,.0004156,98.3712,13.2445,269.6779,90.3959,0,U,40072,999,62992,.23219E-3,.2054E-4,0
SKYSAT-C1,2016-040C,2026-03-01T00:39:22.989888,15.34300355,.00041391,96.9717,97.6732,70.9612,289.2081,0,U,41601,999,54127,.31298187E-3,.10326E-3,0
SKYSAT-C4,2016-058B,2026-03-01T11:53:52.520928,15.45033120,.0001013,96.9299,86.9717,71.5354,288.6006,0,U,41771,999,52882,.41863E-3,.197E-3,0
SKYSAT-C5,2016-058C,2026-03-01T02:03:18.305856,15.34092712,.00020094,97.0637,105.5215,85.1273,275.0200,0,U,41772,999,52717,.29568183E-3,.9683E-4,0
SKYSAT-C2,2016-058D,2026-03-01T01:31:54.406560,15.39426096,.00053915,97.0295,86.3588,87.5170,272.6694,0,U,41773,999,52840,.34343709E-3,.13382E-3,0
SKYSAT-C3,2016-058E,2026-03-01T02:10:14.563776,15.47869697,.00015624,96.9191,95.3279,97.2200,262.9229,0,U,41774,999,52936,.43718323E-3,.22692E-3,0
SKYSAT-C11,2017-068A,2026-03-01T09:35:49.676064,15.51795769,.0000742,97.4181,205.1145,86.1740,273.9597,0,U,42987,999,46649,.51978E-3,.3102E-3,0
SKYSAT-C10,2017-068B,2026-03-01T08:59:06.306720,15.32437382,.0001198,97.4316,196.4489,93.1776,266.9602,0,U,42988,999,46583,.43244E-3,.13475E-3,0
SKYSAT-C9,2017-068C,2026-03-01T07:46:38.667360,15.38560862,.0009554,97.4240,196.3648,160.4510,199.7104,0,U,42989,999,46615,.47788E-3,.18155E-3,0
SKYSAT-C8,2017-068D,2026-03-01T08:52:53.191776,15.34591154,.0001015,97.4337,195.8549,100.0567,260.0790,0,U,42990,999,46576,.45586E-3,.15211E-3,0
SKYSAT-C7,2017-068E,2026-03-01T08:38:10.590720,15.34451844,.0007339,97.4347,196.8269,129.3858,230.8036,0,U,42991,999,46582,.43269E-3,.1438E-3,0
SKYSAT-C6,2017-068F,2026-03-01T08:16:36.014592,15.32501402,.0003479,97.4381,197.1196,133.0238,227.1295,0,U,42992,999,46579,.41816E-3,.13054E-3,0
SKYSAT-C12,2018-099AR,2026-03-01T01:58:10.917120,15.45236193,.00045964,96.9393,87.8707,160.5716,199.5710,0,U,43797,999,40514,.37879803E-3,.17943E-3,0
SKYSAT-C13,2018-099AW,2026-03-01T02:13:06.288960,15.75034944,.00029643,96.9429,107.7181,233.6674,126.4319,0,U,43802,999,40581,.55990376E-3,.83655E-3,0
FLOCK 4Q-16,2023-174R,2026-03-01T11:06:26.294112,15.44266267,.0007808,97.3880,146.4565,184.5004,175.6176,0,U,58271,999,12892,.64992E-3,.29906E-3,0
FLOCK 4Q-11,2023-174T,2026-03-01T05:06:39.204000,15.44620085,.0007493,97.3918,146.6741,182.3923,177.7291,0,U,58273,999,12889,.58991E-3,.27453E-3,0
FLOCK 4Q-36,2023-174U,2026-03-01T05:19:26.413536,15.50579232,.0007703,97.3905,149.2671,172.5569,187.5798,0,U,58274,999,12906,.6725E-3,.38544E-3,0
FLOCK 4Q-12,2023-174V,2026-03-01T05:34:14.946816,15.50483115,.0006278,97.3902,149.1606,178.9837,181.1429,0,U,58275,999,12908,.99623E-3,.5706E-3,0
FLOCK 4Q-28,2023-174AA,2026-03-01T05:33:33.977664,15.48406066,.0007049,97.3923,148.4140,177.6150,182.5136,0,U,58280,999,12900,.70709E-3,.37543E-3,0
FLOCK 4Q-27,2023-174AC,2026-03-01T11:39:40.976352,15.48393096,.0006719,97.3866,148.2205,171.5543,188.5822,0,U,58282,999,12905,.70738E-3,.37538E-3,0
FLOCK 4Q-26,2023-174AE,2026-03-01T11:16:32.795328,15.50189138,.0007114,97.3921,149.6098,176.6813,183.4487,0,U,58284,999,12910,.71516E-3,.40436E-3,0
FLOCK 4Q-31,2023-174AF,2026-03-01T05:45:49.718592,15.49648148,.0007804,97.3966,149.0177,178.6093,181.5181,0,U,58285,999,12902,.74606E-3,.41405E-3,0
FLOCK 4Q-30,2023-174AG,2026-03-01T05:30:15.541056,15.49876984,.0007611,97.3962,149.1855,173.8706,186.2640,0,U,58286,999,12903,.77181E-3,.4319E-3,0
PELICAN-1,2023-174AS,2026-03-01T06:02:28.884480,15.63040788,.0008961,97.4027,154.6027,239.6529,120.3844,0,U,58296,999,12924,.46941E-3,.42732E-3,0
FLOCK 4Q-25,2023-174AZ,2026-03-01T05:38:20.624352,15.55587846,.0005507,97.3883,150.0091,161.3114,198.8343,0,U,58303,999,12915,.7991E-3,.54959E-3,0
FLOCK 4Q-29,2023-174BA,2026-03-01T12:16:05.431872,15.48872233,.0008019,97.3952,149.0823,165.9114,194.2362,0,U,58304,999,12905,.70737E-3,.38187E-3,0
FLOCK 4Q-22,2023-174BC,2026-03-01T05:26:59.127072,15.51384402,.0006877,97.3863,148.9504,169.6620,190.4775,0,U,58306,999,12908,.75108E-3,.44327E-3,0
FLOCK 4Q-23,2023-174BD,2026-03-01T04:49:15.288096,15.54398678,.0007102,97.3975,150.4331,167.8493,192.2934,0,U,58307,999,12911,.77603E-3,.51097E-3,0
FLOCK 4Q-33,2023-174BE,2026-03-01T11:11:56.751648,15.50540151,.0007412,97.3894,149.1400,160.6239,199.5296,0,U,58308,999,12910,.6063E-3,.34672E-3,0
FLOCK 4Q-35,2023-174BF,2026-03-01T12:18:12.305952,15.49516959,.0008339,97.3916,149.3631,172.8655,187.2716,0,U,58309,999,12909,.68683E-3,.37925E-3,0
FLOCK 4Q-20,2023-174BK,2026-03-01T11:49:03.168192,15.58536506,.0006777,97.3957,152.4745,162.9772,197.1713,0,U,58313,999,12928,.80626E-3,.61943E-3,0
FLOCK 4Q-34,2023-174BN,2026-03-01T05:06:44.933184,15.54589716,.0006943,97.3875,149.8533,169.0862,191.0544,0,U,58316,999,12912,.8028E-3,.53244E-3,0
FLOCK 4Q-7,2023-174BQ,2026-03-01T05:17:27.960864,15.48535851,.0008287,97.3952,148.5976,165.2563,194.8931,0,U,58318,999,12900,.80609E-3,.43051E-3,0
FLOCK 4Q-15,2023-174BR,2026-03-01T05:47:56.357664,15.57994574,.0005659,97.3926,150.7912,174.3880,185.7440,0,U,58319,999,12915,.16154E-2,.122594E-2,0
FLOCK 4Q-2,2023-174BS,2026-03-01T12:20:40.172640,15.44501170,.0007956,97.3881,146.7856,164.1028,196.0472,0,U,58320,999,12895,.60186E-3,.27904E-3,0
FLOCK 4Q-9,2023-174BU,2026-03-01T11:12:01.632384,15.44150210,.000807,97.3918,146.7812,165.1031,195.0457,0,U,58322,999,12893,.68853E-3,.31573E-3,0
FLOCK 4Q-4,2023-174BZ,2026-03-01T11:11:25.680480,15.43797484,.0007414,97.3873,146.1628,182.6000,177.5211,0,U,58327,999,12891,.60474E-3,.27372E-3,0
FLOCK 4Q-13,2023-174CA,2026-03-01T04:35:17.901024,15.46376589,.00074265,97.4034,148.2506,177.9978,182.1303,0,U,58328,999,12895,.60335163E-3,.29824E-3,0
FLOCK 4Q-21,2023-174CB,2026-03-01T05:17:17.402784,15.56417732,.000583,97.3948,151.2386,183.9235,176.1975,0,U,58329,999,12917,.8385E-3,.59502E-3,0
FLOCK 4BE-18,2024-149N,2026-03-01T05:16:35.603328,15.37864778,.0003014,97.3794,143.1037,278.9117,81.1787,0,U,60480,999,8569,.63321E-3,.2353E-3,0
FLOCK 4BE-7,2024-149P,2026-03-01T05:21:44.440128,15.35932125,.00019,97.3824,142.7166,274.3624,85.7403,0,U,60481,999,8565,.54336E-3,.18949E-3,0
FLOCK 4BE-26,2024-149S,2026-03-01T10:58:18.387264,15.42481773,.0005597,97.3784,143.2008,264.0687,95.9922,0,U,60484,999,8572,.22822E-2,.9996E-3,0
FLOCK 4BE-36,2024-149U,2026-03-01T04:31:39.147456,15.38707038,.00027884,97.3803,143.6064,294.3565,65.7389,0,U,60486,999,8572,.58938454E-3,.225E-3,0
FLOCK 4BE-25,2024-149V,2026-03-01T04:05:47.076864,15.35660696,.0001075,97.3860,142.8122,263.0255,97.0867,0,U,60487,999,8564,.49405018E-3,.17068E-3,0
FLOCK 4BE-31,2024-149W,2026-03-01T05:26:45.797280,15.39478916,.0001638,97.3859,144.2512,289.2764,70.8304,0,U,60488,999,8574,.66847E-3,.26193E-3,0
FLOCK 4BE-20,2024-149X,2026-03-01T11:18:02.385216,15.34970360,.0002285,97.3765,142.2614,284.0547,76.0442,0,U,60489,999,8567,.47611E-3,.16086E-3,0
