OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-08,2003-005A,2026-03-01T10:15:24.723936,2.00566372,.0148736,54.9080,219.2478,52.6971,318.8246,0,U,27663,999,16915,0,.2E-7,0
GPS BIIR-11,2004-009A,2026-03-01T08:58:02.491680,2.00558119,.0110828,54.9186,280.0421,168.9880,319.7388,0,U,28190,999,16078,0,.5E-7,0
GPS BIIR-13,2004-045A,2026-03-01T08:34:28.324128,2.00573160,.0170887,55.1965,329.2420,312.7031,227.4565,0,U,28474,999,15626,0,-.88E-6,0
GPS BIIR-14M,2005-038A,2026-03-01T08:31:54.393024,2.00573138,.0128882,54.9654,277.5282,295.2964,203.9501,0,U,28874,999,14967,0,.9E-7,0
METEOSAT-9 (MSG-2),2005-049B,2026-03-01T02:30:02.568960,1.00275370,.0002005,9.1173,55.2137,217.8487,329.0293,0,U,28912,999,591,0,.11E-5,0
GPS BIIR-16M,2006-052A,2026-02-28T17:21:54.682848,2.00551333,.0087934,54.9584,218.3028,89.3093,271.6592,0,U,29601,999,14123,0,.1E-6,0
GPS BIIR-17M,2007-047A,2026-03-01T00:43:58.249920,2.00560826,.01635783,54.0129,84.5227,85.9294,276.0062,0,U,32260,999,13464,0,.12E-6,0
GPS BIIR-18M,2007-062A,2026-03-01T02:14:28.801824,2.00553256,.00328376,55.1174,278.4968,160.6293,12.9281,0,U,32384,999,13334,0,.11E-6,0
GOES 14,2009-033A,2026-03-01T11:22:21.351936,1.00122694,.0002111,1.4111,84.4609,292.5107,156.2773,0,U,35491,999,551,0,.113E-5,0
GOES 15,2010-008A,2026-03-01T11:59:53.009376,1.00268747,.0001592,1.0016,85.1993,25.3190,292.2522,0,U,36411,999,5855,0,.3E-7,0
GSAT0101 (GALILEO-PFM),2011-060A,2026-02-22T11:08:37.810464,1.70475478,.00039756,57.0318,344.8758,357.0591,2.9533,0,U,37846,999,8916,0,-.82E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-02-22T02:21:09.417024,1.70475770,.00054619,57.0325,344.8861,338.0997,202.6314,0,U,37847,999,8916,0,-.81E-6,0
LUCH 5A,2011-074B,2026-03-01T09:00:34.000128,1.00274828,.0004129,8.4794,75.3923,240.3052,145.6667,0,U,37951,999,5197,0,-.63E-6,0
METEOSAT-10 (MSG-3),2012-035B,2026-03-01T07:18:35.618688,1.00276482,.0002456,4.4162,61.4751,289.6555,277.8404,0,U,38552,999,4977,0,-.21E-6,0
SARSAT 13 (METOP-B),2012-049A,2026-03-01T10:05:28.468032,14.21441529,.0001291,98.6660,113.9985,310.6780,49.4285,0,U,38771,999,69795,.85191E-4,.143E-5,0
GPS BIIF-3,2012-053A,2026-03-01T03:02:46.572288,2.00565715,.01769077,53.5655,148.0278,64.7622,297.0835,0,U,38833,999,9727,0,-.23E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2026-02-28T08:53:41.631072,1.70473336,.00053066,55.7357,104.5311,284.5770,75.4441,0,U,38857,999,8315,0,.9E-7,0
GPS BIIF-4,2013-023A,2026-02-28T23:48:10.016640,2.00564138,.01415289,54.5885,273.3798,49.8622,311.4171,0,U,39166,999,9371,0,.17E-6,0
INSAT-3D,2013-038B,2026-03-01T11:04:38.776224,1.00269668,.0002206,1.6477,83.9536,234.1493,136.7787,0,U,39216,999,4600,0,-.357E-5,0
GPS BIIF-5,2014-008A,2026-02-28T23:45:41.692896,2.00552830,.0082182,53.6376,153.7343,228.1724,131.1354,0,U,39533,999,8751,0,-.28E-6,0
LUCH 5V,2014-023A,2026-03-01T12:17:28.086432,1.00272584,.000293,4.8670,70.8004,272.5610,95.0329,0,U,39727,999,4328,0,-.285E-5,0
GPS BIIF-6,2014-026A,2026-03-01T06:26:29.177664,2.00568795,.0039909,56.5480,335.7218,324.3215,35.4388,0,U,39741,999,8637,0,-.96E-6,0
GPS BIIF-7,2014-045A,2026-02-28T08:36:10.817856,2.00551177,.0031587,55.2783,92.7996,120.5582,239.8250,0,U,40105,999,8389,0,.16E-6,0
GSAT0201 (GALILEO 5),2014-050A,2026-02-26T09:15:42.297408,1.85519850,.16568702,48.9939,277.9705,175.1037,186.7695,0,U,40128,999,7626,0,.13E-6,0
GSAT0202 (GALILEO 6),2014-050B,2026-02-27T04:20:23.841600,1.85520639,.16578902,49.0095,277.0224,175.8719,185.7122,0,U,40129,999,7844,0,.12E-6,0
GPS BIIF-8,2014-068A,2026-03-01T05:37:03.155520,2.00569484,.0062653,56.9172,35.1139,68.0452,292.6136,0,U,40294,999,8304,0,-.62E-6,0
GLONASS-K 2,2014-075A,2026-03-01T08:54:12.494880,2.13101119,.0020702,63.6172,194.1013,205.6418,154.2159,0,U,40315,999,8755,0,-.15E-6,0
GPS BIIF-9,2015-013A,2026-03-01T08:45:59.035968,2.00557717,.0108721,53.1869,208.6351,39.7688,320.9703,0,U,40534,999,7966,0,-.12E-6,0
GSAT0203 (GALILEO 7),2015-017A,2026-02-27T12:31:05.039904,1.70475495,.00051612,56.8234,344.5881,295.0116,64.9415,0,U,40544,999,6733,0,-.103E-5,0
GSAT0204 (GALILEO 8),2015-017B,2026-02-27T04:34:27.961824,1.70475370,.00043897,56.8295,344.6151,286.3298,73.6287,0,U,40545,999,3037,0,-.102E-5,0
GPS BIIF-10,2015-033A,2026-03-01T12:37:14.693664,2.00561672,.0114429,54.0667,271.5237,28.9222,331.7504,0,U,40730,999,7783,0,.11E-6,0
METEOSAT-11 (MSG-4),2015-034A,2026-03-01T08:50:38.692032,1.00265141,.0001794,2.9298,71.7010,270.4204,319.1619,0,U,40732,999,613,0,.45E-6,0
GSAT0205 (GALILEO 9),2015-045A,2026-02-12T22:54:15.154848,1.67410800,.03595998,53.6403,225.6057,59.9658,303.5577,0,U,40889,999,6421,0,.78E-6,0
