OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-1,2014-033AL,2026-03-01T10:00:15.814080,14.84745113,.0049923,97.7694,212.7473,72.4588,288.2073,0,U,40044,999,62947,.36816E-3,.3136E-4,0
LEMUR-2-GREENBERG,2017-042N,2026-03-01T11:18:52.206048,15.27595674,.000966,97.3760,241.8931,31.6545,328.5274,0,U,42837,999,47192,.81339E-3,.21944E-3,0
LEMUR-2-ANDIS,2017-042P,2026-03-01T10:49:53.811264,15.30088375,.0009549,97.3644,241.7528,32.2854,327.8969,0,U,42838,999,47195,.95687E-3,.27896E-3,0
LEMUR-2-MONSON,2017-042Q,2026-03-01T10:56:27.597408,15.24652701,.0007005,97.4016,241.9890,21.1978,338.9549,0,U,42839,999,47173,.77929E-3,.19219E-3,0
LEMUR-2-FURIAUS,2017-042R,2026-03-01T10:29:17.492928,15.25747719,.0007639,97.3734,240.0892,86.2878,273.9234,0,U,42840,999,47175,.10957E-2,.27988E-3,0
LEMUR-2-PETERG,2017-042S,2026-03-01T12:00:20.429280,15.29200398,.0004071,97.3964,245.7191,10.9897,349.1431,0,U,42841,999,47195,.91108E-3,.25807E-3,0
LEMUR-2-DEMBITZ,2017-042T,2026-03-01T11:29:42.461088,15.26562161,.0007358,97.3790,243.0207,44.3684,315.8143,0,U,42842,999,47189,.81899E-3,.21401E-3,0
LEMUR-2-ZACHARY,2017-042W,2026-03-01T11:22:14.069280,15.41183212,.0003715,97.3652,250.4932,47.7827,312.3734,0,U,42845,999,47256,.11381E-2,.47368E-3,0
LEMUR-2-JIN-LUEN,2018-014C,2026-03-01T08:25:11.051904,15.75029969,.0001903,97.5458,349.8778,72.7850,287.3623,0,U,43182,999,44415,.14318E-2,.217482E-2,0
LEMUR-2-KADI,2018-014E,2026-03-01T08:19:57.691200,15.62309327,.0001577,97.4726,344.5432,32.5440,327.5914,0,U,43184,999,44408,.10921E-2,.9725E-3,0
LEMUR-2-AMANDA-SVANTE,2021-034B,2026-03-01T06:20:06.455040,15.27867482,.0001936,97.5858,136.1982,233.4458,126.6603,0,U,48269,999,26454,.11335E-2,.30858E-3,0
LEMUR-2-SPECIAL-K,2021-034F,2026-03-01T05:31:09.968736,15.43970037,.0001292,97.5737,141.1856,219.8325,140.2828,0,U,48273,999,26493,.16364E-2,.75039E-3,0
LEMUR-2-EMBRIONOVIS,2023-084AQ,2026-03-01T07:47:20.937696,15.34468109,.0008785,97.6109,200.7393,344.9657,15.1323,0,U,56970,999,15112,.27964E-3,.9264E-4,0
LEMUR-2-MANO,2023-100E,2026-03-01T00:55:19.135488,15.58157988,.00031989,99.4568,79.7254,59.1044,301.0519,0,U,57390,999,14513,.1621521E-2,.123832E-2,0
LEMUR-2-DEVERILL-M-T,2023-100F,2026-03-01T11:58:54.793920,15.34183588,.0008934,99.4577,68.6448,52.3070,307.8975,0,U,57391,999,14470,.96453E-3,.31948E-3,0
LEMUR-2-BASS,2023-174D,2026-03-01T04:20:02.075712,15.39389506,.00078055,97.3902,143.6664,191.2018,168.9055,0,U,58259,999,12872,.50564065E-3,.19737E-3,0
LEMUR-2-JK0903EM1407,2023-174CJ,2026-03-01T04:41:59.075232,15.46146480,.00062855,97.3936,148.1047,143.3587,216.8094,0,U,58336,999,12901,.58125634E-3,.2849E-3,0
LEMUR-2-MJR092620,2023-174CN,2026-03-01T04:50:01.082688,15.41859688,.0007923,97.4002,148.5121,141.1854,218.9963,0,U,58340,999,12899,.34329E-3,.14502E-3,0
LEMUR-2-NIMBUS2000,2024-022A,2026-03-01T11:40:02.938368,15.36404214,.0010291,97.4237,269.3248,139.9125,220.2880,0,U,58899,999,11571,.55613E-3,.19726E-3,0
LEMUR-2-VALHALLA,2024-022B,2026-03-01T11:08:12.103008,15.36167272,.0010908,97.4236,269.3392,136.0891,224.1221,0,U,58900,999,11571,.57651E-3,.20302E-3,0
LEMUR-2-OBA-NI-JESU,2024-022D,2026-03-01T03:50:32.202816,15.63455939,.00051784,97.4080,277.7919,94.9182,265.2668,0,U,58902,999,11626,.105528E-2,.9831E-3,0
LEMUR-2-CAEL,2024-022E,2026-03-01T11:49:39.362016,15.37301134,.0009329,97.4223,270.1293,120.0350,240.1821,0,U,58903,999,11577,.54212E-3,.19785E-3,0
LEMUR-2-JOHNNYTRUONG,2024-043BA,2026-03-01T09:41:00.716064,15.52375466,.000538,97.5241,206.1701,212.9583,147.1334,0,U,59146,999,11127,.66388E-3,.40546E-3,0
LEMUR-2-TOMATOKECHUP,2024-149D,2026-03-01T05:02:36.070080,15.33492060,.0000735,97.3864,142.1560,216.7858,143.3334,0,U,60471,999,8560,.42404E-3,.13658E-3,0
LEMUR-2-STELLA,2024-149BT,2026-03-01T10:32:55.501728,15.09191092,.0001434,97.6793,142.6162,100.3781,259.7609,0,U,60533,999,8423,.98794E-3,.15659E-3,0
LEMUR-2-MARHISYAM,2024-149BW,2026-03-01T10:49:15.035808,15.08746003,.0003231,97.6926,142.9581,126.8780,233.2745,0,U,60536,999,8422,.94899E-3,.14856E-3,0
LEMUR-2-AHMED-ASRAR,2024-149DN,2026-03-01T10:48:55.422144,15.10112202,.0002215,97.7046,144.6546,43.4364,316.7039,0,U,60576,999,8429,.92966E-3,.15108E-3,0
LEMUR-2-LLOYD,2024-149DP,2026-03-01T05:26:39.479712,15.06933341,.0004958,97.6814,141.4631,147.8147,212.3383,0,U,60577,999,8412,.86494E-3,.12882E-3,0
LEMUR-2-SQUIRRELCOMM,2024-149DQ,2026-03-01T04:31:06.036384,15.05712886,.00065077,97.6766,141.5328,67.0510,293.1403,0,U,60578,999,8414,.53504603E-3,.7683E-4,0
LEMUR-2-SIERRINI,2024-149DR,2026-03-01T10:49:46.383456,15.08406508,.0006056,97.6888,142.7541,174.6307,185.4987,0,U,60579,999,8420,.96191E-3,.14925E-3,0
LEMUR-2-WILSON,2025-009CP,2026-03-01T11:07:35.853888,14.94621236,.0004155,97.7090,140.8374,56.2540,303.9076,0,U,62694,999,6126,.26116E-3,.2772E-4,0
LEMUR-2-STAR-FOX,2025-009CR,2026-03-01T05:04:54.441408,15.00666453,.0001936,97.7073,142.7273,169.4150,190.7115,0,U,62696,999,6135,.90276E-3,.11376E-3,0
LEMUR-2-ARIANNA,2025-009CU,2026-03-01T04:57:34.153920,15.00697472,.0004266,97.7036,142.5876,163.0533,197.0833,0,U,62699,999,6135,.7259E-3,.9141E-4,0
LEMUR-2-ALISIA,2025-009DB,2026-03-01T04:55:14.632608,15.00961934,.000614,97.7082,143.2338,178.3850,181.7395,0,U,62706,999,8395,.73454E-3,.9317E-4,0
LEMUR-2-ROUNDTRIPPER,2025-009DG,2026-03-01T05:36:55.700928,15.01874332,.0004448,97.7310,143.2075,150.5493,209.5982,0,U,62711,999,6141,.83756E-3,.10891E-3,0
LEMUR-2-MYNAMEISJEFF,2025-009DH,2026-03-01T05:34:46.422336,15.01862015,.0003572,97.7362,143.5228,180.3413,179.7810,0,U,62712,999,6141,.83336E-3,.10832E-3,0
LEMUR-2-LEIA-PHILIP,2025-052AN,2026-03-01T06:10:50.471904,14.96504919,.0002402,97.6979,313.9912,204.1090,156.0019,0,U,63246,999,5252,.68903E-3,.7776E-4,0
LEMUR-2-LIA-MARTIN,2025-052AQ,2026-03-01T06:43:01.728768,14.96680125,.0002788,97.7028,314.3681,164.0696,196.0613,0,U,63248,999,5253,.54169E-3,.6127E-4,0
LEMUR-2-DELOITTE-1,2025-052BB,2026-03-01T05:58:02.226432,14.96682553,.0003126,97.7054,314.6478,96.1658,263.9920,0,U,63259,999,5254,.55104E-3,.6235E-4,0
LEMUR-2-EMERSONROSE,2025-052BD,2026-03-01T06:18:33.011712,14.98101996,.0003507,97.7050,315.0044,69.6017,290.5582,0,U,63261,999,5257,.6377E-3,.7496E-4,0
