OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUTE-1 (CO-55),2003-031E,2026-02-28T23:50:05.053920,14.24257525,.0010391,98.6778,69.8999,135.3044,224.8974,0,U,27844,999,17627,.1858525E-3,.385E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-03-01T11:45:32.453280,14.23554450,.0010013,98.6807,70.1897,150.6547,209.5195,0,U,27848,999,17605,.17102E-3,.346E-5,0
CUBESAT XI-V,2005-043F,2026-03-01T08:33:26.378784,14.72274458,.0014273,98.2811,213.8242,183.4223,176.6888,0,U,28895,999,8588,.39486E-3,.2445E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-03-01T11:41:37.143744,15.08226230,.0010409,97.8184,39.8128,43.2272,316.9770,0,U,32785,999,96895,.57154E-3,.8796E-4,0
CANX-2,2008-021H,2026-03-01T11:04:23.250144,15.04688480,.0012354,97.8548,38.2755,54.7745,305.4635,0,U,32790,999,96860,.43364E-3,.6049E-4,0
SEEDS II (CO-66),2008-021J,2026-03-01T11:28:29.256096,15.28650703,.0002874,97.7502,53.5693,23.1073,337.0295,0,U,32791,999,97081,.84353E-3,.23475E-3,0
SWISSCUBE,2009-051B,2026-03-01T06:23:10.300416,14.62231629,.0006495,98.4108,326.2594,178.2176,181.9049,0,U,35932,999,87338,.3009E-3,.1467E-4,0
BEESAT-1,2009-051C,2026-03-01T06:56:20.090688,14.61509618,.0004732,98.4037,326.1398,189.6799,170.4311,0,U,35933,999,87342,.25806E-3,.1231E-4,0
ITUPSAT1,2009-051E,2026-03-01T04:27:57.737088,14.60246277,.0006684,98.4126,325.3382,205.9421,154.1444,0,U,35935,999,87297,.2431E-3,.1124E-4,0
TISAT 1,2010-035E,2026-03-01T08:54:49.195872,15.27148089,.0000072,98.0642,357.7898,30.7764,329.3477,0,U,36799,999,85122,.98732E-3,.26267E-3,0
AEROCUBE 4.5A,2012-048K,2026-03-01T09:30:06.615360,15.60273313,.0042201,64.6373,48.8959,214.8790,144.9589,0,U,38767,999,35569,.10437E-2,.90304E-3,0
STRAND-1,2013-009E,2026-03-01T11:42:28.086048,14.37086242,.0008559,98.3880,243.3837,185.7162,174.3928,0,U,39090,999,68159,.16699E-3,.453E-5,0
BRITE-AUSTRIA,2013-009F,2026-03-01T10:55:14.240352,14.36490276,.0009868,98.3948,242.5687,195.7698,164.3182,0,U,39091,999,68158,.11045E-3,.281E-5,0
NEE-01 PEGASO,2013-018B,2026-03-01T07:45:01.753344,14.93009904,.0013431,98.1025,201.0627,155.7038,204.4816,0,U,39151,999,69460,.44886E-3,.4615E-4,0
POPACS 2,2013-055E,2026-02-28T13:30:16.907616,14.87252926,.04323779,80.9901,268.2251,181.9696,177.9842,0,U,39269,999,64704,.44072326E-3,.25093E-3,0
POPACS 3,2013-055F,2026-03-01T11:46:19.002144,14.53661696,.0561792,81.0064,345.7744,37.5913,326.3192,0,U,39270,999,62289,.4233E-3,.17583E-3,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-03-01T11:02:04.755264,15.00219983,.0041399,97.8179,22.2431,247.8949,111.7877,0,U,39417,999,66457,.47976E-3,.6047E-4,0
WNISAT-1,2013-066H,2026-03-01T09:28:16.241952,14.57833897,.0163031,97.7026,217.3093,211.0567,148.0918,0,U,39423,999,65102,.36545E-3,.1959E-4,0
TRITON-1,2013-066M,2026-03-01T11:55:28.443072,14.81139737,.0089644,97.8299,332.7756,224.6904,134.7060,0,U,39427,999,65814,.38487E-3,.3148E-4,0
GOMX-1,2013-066Q,2026-03-01T12:22:06.539808,14.69059098,.0130693,97.6578,267.7299,63.5240,297.9303,0,U,39430,999,65410,.29863E-3,.1947E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-03-01T09:16:38.015040,14.92825851,.0059601,97.8797,9.0474,26.2789,334.1433,0,U,39440,999,66090,.65121E-3,.6918E-4,0
NEE-02 KRYSAOR,2013-066AB,2026-03-01T07:09:47.668032,14.86094227,.0068332,97.8806,0.3753,63.9985,296.8247,0,U,39441,999,66017,.40523E-3,.3645E-4,0
