OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAPPHIRE,2013-009C,2026-03-01T10:49:39.621792,14.35204470,.0010713,98.4214,242.4758,204.5970,155.4706,0,U,39088,999,68112,.85081E-4,.201E-5,0
PRAETORIAN SDA_602,2025-203A,2026-02-28T02:29:29.015520,13.84415000,.00071128,81.3011,111.8204,125.7196,234.4624,0,U,65565,999,2360,.68820585E-4,.89E-6,0
PRAETORIAN SDA_603,2025-203B,2026-02-27T02:01:04.773792,13.84023746,.00105953,81.3019,112.6027,129.1571,231.0529,0,U,65566,999,2347,.16020701E-4,.3E-6,0
PRAETORIAN SDA_604,2025-203C,2026-03-01T11:52:45.396768,13.83033033,.0006635,81.3030,110.6174,127.3272,232.8489,0,U,65567,999,2379,-.34847E-4,-.26E-6,0
PRAETORIAN SDA_605,2025-203D,2026-02-25T12:22:13.887264,13.83681084,.0009697,81.3003,114.0734,130.9582,229.2415,0,U,65568,999,2325,.40915E-4,.57E-6,0
PRAETORIAN SDA_606,2025-203E,2026-02-27T03:56:41.334720,13.83530753,.00063848,81.3066,112.7368,121.6785,238.4995,0,U,65569,999,2347,.61501721E-3,.69E-5,0
PRAETORIAN SDA_607,2025-203F,2026-02-28T02:33:21.195648,13.84463951,.00100293,81.3023,111.6875,125.1008,235.1090,0,U,65570,999,2361,.1363387E-3,.165E-5,0
PRAETORIAN SDA_608,2025-203G,2026-03-01T11:47:12.273792,13.83885772,.0007109,81.2986,110.5192,126.8924,233.2885,0,U,65571,999,2379,.487E-4,.66E-6,0
PRAETORIAN SDA_609,2025-203H,2026-02-28T02:02:50.981856,13.84362074,.00079801,81.3027,111.8298,124.9364,235.2543,0,U,65572,999,2360,-.3589813E-4,-.28E-6,0
PRAETORIAN SDA_610,2025-203J,2026-03-01T11:24:59.337792,13.84010141,.0007767,81.2986,110.5004,122.5568,237.6339,0,U,65573,999,2379,.72274E-4,.92E-6,0
PRAETORIAN SDA_611,2025-203K,2026-02-27T06:13:23.219328,13.83409701,.0006691,81.2997,112.6169,136.1851,223.9837,0,U,65574,999,2348,.30546E-3,.348E-5,0
PRAETORIAN SDA_612,2025-203L,2026-02-27T12:44:11.299776,13.85049011,.00103258,81.3012,112.2222,124.7837,235.4294,0,U,65575,999,2353,-.24945223E-2,-.2809E-4,0
PRAETORIAN SDA_613,2025-203M,2026-02-27T03:53:53.685024,13.83057193,.00072171,81.2993,112.6445,129.6230,230.5564,0,U,65576,999,2347,-.36358092E-2,-.396E-4,0
PRAETORIAN SDA_614,2025-203N,2026-02-28T03:35:10.294080,13.84787602,.00082941,81.2997,111.6977,123.9782,236.2165,0,U,65577,999,2362,-.53678546E-3,-.592E-5,0
PRAETORIAN SDA_615,2025-203P,2026-02-27T02:06:04.694976,13.84506019,.00102384,81.3020,112.5780,127.5168,232.6921,0,U,65578,999,2347,.15435917E-2,.1742E-4,0
PRAETORIAN SDA_616,2025-203Q,2026-02-27T09:40:36.666624,13.83339273,.00066253,81.3068,112.5673,121.5261,238.6543,0,U,65579,999,2350,-.34599452E-2,-.3786E-4,0
PRAETORIAN SDA_617,2025-203R,2026-03-01T12:18:45.220032,13.83190296,.0008661,81.3015,110.4532,120.8280,239.3729,0,U,65580,999,2380,.30202E-4,.45E-6,0
PRAETORIAN SDA_618,2025-203S,2026-02-27T01:54:03.369888,13.84850238,.00107108,81.3032,112.5730,128.6147,231.5971,0,U,65581,999,2347,.29124907E-2,.3297E-4,0
PRAETORIAN SDA_619,2025-203T,2026-02-27T02:54:15.734016,13.83951344,.00091104,81.3036,112.6612,125.1965,235.0046,0,U,65582,999,2410,-.34922164E-3,-.376E-5,0
PRAETORIAN SDA_620,2025-203U,2026-02-28T06:50:50.598240,13.83758770,.00088842,81.3010,111.5760,123.1526,237.0484,0,U,65583,999,2363,.54651948E-4,.72E-6,0
PRAETORIAN SDA_621,2025-203V,2026-02-28T06:28:39.747936,13.83891059,.00087499,81.3001,111.5418,121.1871,239.0144,0,U,65584,999,2363,.57026839E-4,.75E-6,0
PRAETORIAN SDA_601,2025-203W,2026-02-27T11:37:04.105920,13.83589135,.00062417,81.3012,112.4758,133.5021,226.6655,0,U,65585,999,2351,-.61256765E-4,-.56E-6,0
