OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-03-01T12:37:49.313280,13.76485325,.0023419,90.2154,69.2646,257.4215,227.8432,0,U,900,999,5661,.72731E-3,.722E-5,0
CALSPHERE 2,1964-063E,2026-03-01T12:19:15.746016,13.52891183,.0018702,90.2279,73.2457,173.9165,342.2194,0,U,902,999,84170,.70942E-4,.56E-6,0
LCS 1,1965-034C,2026-03-01T10:16:58.029024,9.89309890,.0013179,32.1417,72.8750,100.4048,259.7935,0,U,1361,999,19921,.13414E-3,.9E-7,0
TEMPSAT 1,1965-065E,2026-03-01T11:18:07.267680,13.33588585,.0069465,89.9921,212.5907,189.6884,236.1879,0,U,1512,999,94569,.54159E-4,.36E-6,0
CALSPHERE 4A,1965-065H,2026-03-01T09:51:09.895680,13.36257399,.0070946,89.9049,123.5489,49.2952,69.8932,0,U,1520,999,94831,.19202E-3,.11E-5,0
OPS 5712 (P/L 160),1967-053A,2026-03-01T10:20:34.123200,14.76020309,.000468,69.9182,302.0820,231.1881,128.8848,0,U,2826,999,5032,.12892E-2,.883E-4,0
OPS 5712 (P/L 153),1967-053H,2026-03-01T04:58:52.278528,13.96809849,.0008831,69.9762,346.7493,318.5375,41.5060,0,U,2874,999,99170,.79918E-4,.58E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-03-01T11:00:18.899712,14.37726602,.0058005,87.6264,8.6909,229.0616,130.5555,0,U,5398,999,85840,.29121E-3,.91E-5,0
COSMOS 2493 (SKRL-756 1),2013-078A,2026-03-01T10:01:38.218080,15.01497764,.0011385,82.4159,6.5713,245.9430,114.0604,0,U,39490,999,66178,.33545E-3,.4368E-4,0
COSMOS 2494 (SKRL-756 2),2013-078B,2026-03-01T11:21:44.924832,15.04117014,.0015156,82.4153,356.3531,204.3776,155.6735,0,U,39491,999,66261,.34728E-3,.485E-4,0
