OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-03-01T11:56:07.679040,1.00272452,.0002503,4.9537,43.8026,312.2837,125.7294,0,U,28899,999,7444,0,-.276E-5,0
GSAT-8 (GAGAN/PRN 127),2011-022A,2026-03-01T10:59:14.463456,1.00270929,.0007634,1.8525,83.1958,213.0759,82.8325,0,U,37605,999,5213,0,.67E-6,0
LUCH 5A (SDCM/PRN 140),2011-074B,2026-03-01T09:00:34.000128,1.00274828,.0004129,8.4794,75.3923,240.3052,145.6667,0,U,37951,999,5197,0,-.63E-6,0
SES-5 (EGNOS/PRN 136),2012-036A,2026-03-01T08:50:38.692032,1.00271819,.000196,0.0618,308.4666,20.5838,327.7350,0,U,38652,999,4337,0,.15E-6,0
GSAT-10 (GAGAN/PRN 128),2012-051B,2026-03-01T09:24:53.508672,1.00273330,.0003905,0.0808,264.6175,175.2353,303.4964,0,U,38779,999,4901,0,-.183E-5,0
LUCH 5B (SDCM/PRN 125),2012-061A,2026-03-01T07:13:43.585824,1.00271836,.000422,10.2517,50.9348,223.3386,336.9449,0,U,38977,999,4852,0,-.151E-5,0
ASTRA 5B (EGNOS/PRN 123),2014-011B,2026-03-01T07:25:12.484128,1.00269145,.0004293,0.0977,295.8096,24.8388,333.2452,0,U,39617,999,4358,0,.118E-5,0
LUCH 5V (SDCM/PRN 141),2014-023A,2026-03-01T12:17:28.086432,1.00272584,.000293,4.8670,70.8004,272.5610,95.0329,0,U,39727,999,4328,0,-.285E-5,0
GSAT-15 (GAGAN/PRN 139),2015-065A,2026-03-01T12:17:25.438272,1.00269657,.0000759,0.0966,270.0443,71.3012,95.8011,0,U,41028,999,3771,0,-.276E-5,0
EUTELSAT 117 WEST B (WAAS/PRN 131),2016-038B,2026-03-01T08:38:38.776128,1.00271438,.0000048,0.0094,266.0601,1.8742,263.8885,0,U,41589,999,3558,0,-.3E-6,0
SES-15 (WAAS/PRN 133),2017-026A,2026-03-01T12:25:28.265664,1.00269675,.00007,0.0448,306.0602,20.5059,249.9271,0,U,42709,999,635,0,.42E-6,0
QZS-2 (QZSS/PRN 194),2017-028A,2026-02-28T09:19:24.316896,1.00263058,.07462183,39.5962,244.7382,270.2963,284.7801,0,U,42738,999,653,0,-.151E-5,0
QZS-3 (QZSS/PRN 199),2017-048A,2026-03-01T11:12:38.741184,1.00266891,.0001538,0.0656,139.3123,199.1210,115.9626,0,U,42917,999,3117,0,-.367E-5,0
QZS-4 (QZSS/PRN 195),2017-062A,2026-02-21T13:46:20.256384,1.00283220,.0749564,40.1802,344.9639,269.6050,243.6917,0,U,42965,999,3064,0,-.296E-5,0
BEIDOU-3 G1 (PRN 130),2018-085A,2026-03-01T13:17:17.641824,1.00269352,.0001254,2.8027,100.4722,33.4453,4.8085,0,U,43683,999,2698,0,-.296E-5,0
EUTELSAT 5 WEST B (EGNOS/PRN 121),2019-067A,2026-03-01T08:59:48.413760,1.00271952,.0003184,0.1009,306.7245,39.6161,302.7357,0,U,44624,999,2335,0,-.61E-6,0
BEIDOU-3 G2 (PRN 144),2020-017A,2026-03-01T04:16:00.625728,1.00271121,.0002681,2.6474,45.5064,298.6811,318.8170,0,U,45344,999,2217,0,-.157E-5,0
BEIDOU-3 G3 (PRN 143),2020-040A,2026-02-28T14:43:08.523840,1.00264554,.0004911,2.1795,67.0969,316.5656,105.9394,0,U,45807,999,2098,0,-.37E-5,0
GALAXY 30 (WAAS/PRN 135),2020-056C,2026-03-01T09:45:39.199680,1.00271297,.0002071,0.0191,126.8337,227.9721,185.7736,0,U,46114,999,2021,0,.19E-6,0
QZS-1R (QZSS/PRN 196),2021-096A,2026-02-28T09:43:50.132640,1.00292063,.07468928,37.2352,81.1903,269.6206,87.2096,0,U,49336,999,1592,0,-.26E-5,0
QZS-6 (QZSS/PRN 200),2025-023A,2026-03-01T12:12:21.341376,1.00270649,.0001948,0.0448,296.8308,33.2713,102.7935,0,U,62876,999,387,0,-.251E-5,0
