OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU-2 IGSO-1 (C06),2010-036A,2026-02-28T19:17:13.290720,1.00252838,.00539202,54.2920,163.9431,219.0373,170.2747,0,U,36828,999,5701,0,-.169E-5,0
BEIDOU-2 G4 (C04),2010-057A,2026-03-01T12:16:34.660992,1.00271933,.0009285,3.3789,69.5594,209.6924,224.1944,0,U,37210,999,5621,0,-.129E-5,0
BEIDOU-2 IGSO-2 (C07),2010-068A,2026-02-27T08:26:36.872160,1.00260216,.00473789,47.7414,273.1895,212.9968,264.9944,0,U,37256,999,5569,0,-.158E-5,0
BEIDOU-2 IGSO-3 (C08),2011-013A,2026-02-27T21:48:44.352288,1.00294022,.00350296,62.2642,41.1818,190.8154,358.7681,0,U,37384,999,5456,0,-.154E-5,0
BEIDOU-2 IGSO-4 (C09),2011-038A,2026-02-28T18:10:38.525376,1.00265982,.01544806,54.5891,166.6527,231.0042,128.1008,0,U,37763,999,5356,0,-.138E-5,0
BEIDOU-2 IGSO-5 (C10),2011-073A,2026-03-01T12:21:35.119584,1.00272949,.0108571,47.8731,272.8747,221.0681,305.9392,0,U,37948,999,5205,0,-.133E-5,0
BEIDOU-2 G5 (C05),2012-008A,2026-03-01T11:00:44.320320,1.00275176,.0014171,3.3045,70.3230,249.3487,63.5063,0,U,38091,999,5128,0,.39E-6,0
BEIDOU-2 M3 (C11),2012-018A,2026-02-27T15:35:03.310368,1.86229864,.00216676,55.8510,308.5694,279.4287,80.3821,0,U,38250,999,9390,0,-.47E-6,0
BEIDOU-2 M4 (C12),2012-018B,2026-02-27T13:57:20.484576,1.86229541,.00130453,55.7521,307.7944,286.0559,73.8564,0,U,38251,999,9390,0,-.45E-6,0
BEIDOU-2 M6 (C14),2012-050B,2026-02-27T19:53:20.974272,1.86230827,.00138488,56.4488,66.5090,341.4819,18.5089,0,U,38775,999,9127,0,.3E-7,0
BEIDOU-2 G6 (C02),2012-059A,2026-03-01T09:25:08.486112,1.00269517,.001031,4.1479,74.6759,301.6036,8.1876,0,U,38953,999,4882,0,-.191E-5,0
BEIDOU-3S IGSO-1S (C31),2015-019A,2026-02-28T14:39:23.882976,1.00274522,.00358388,49.3974,296.7700,190.4090,347.5851,0,U,40549,999,3998,0,-.157E-5,0
BEIDOU-3S M2S (C58),2015-037A,2026-02-28T20:37:43.799808,1.86231837,.00090189,54.9658,305.7779,278.2696,81.6874,0,U,40748,999,7210,0,-.44E-6,0
BEIDOU-3S M1S (C57),2015-037B,2026-03-01T01:55:27.629760,1.86253680,.0004531,54.9622,305.7581,29.0450,331.0396,0,U,40749,999,7211,0,-.45E-6,0
BEIDOU-2 IGSO-6 (C13),2016-021A,2026-03-01T09:28:53.126976,1.00278678,.0059813,60.0821,39.1080,233.4424,124.5580,0,U,41434,999,3639,0,-.141E-5,0
BEIDOU-2 G7 (C03),2016-037A,2026-03-01T11:15:27.907200,1.00268635,.0007327,1.4538,68.1480,341.2540,29.2606,0,U,41586,999,581,0,-.371E-5,0
BEIDOU-3 M1 (C19),2017-069A,2026-02-28T16:02:01.436352,1.86230790,.0012364,56.5977,66.6575,309.3656,50.5651,0,U,43001,999,5658,0,.2E-7,0
BEIDOU-3 M2 (C20),2017-069B,2026-02-28T14:33:26.953344,1.86230525,.00096147,56.5962,66.6958,328.4863,31.4966,0,U,43002,999,5657,0,.2E-7,0
BEIDOU-3 M7 (C27),2018-003A,2026-02-28T21:15:12.343392,1.86232253,.00045901,54.4241,306.0930,70.5904,289.5176,0,U,43107,999,5533,0,-.46E-6,0
BEIDOU-3 M8 (C28),2018-003B,2026-02-28T19:56:45.737952,1.86230786,.00033152,54.4168,306.0781,291.7790,68.2441,0,U,43108,999,5534,0,-.46E-6,0
BEIDOU-3 M4 (C22),2018-018A,2026-03-01T06:33:32.217984,1.86230768,.0006849,56.5572,66.7052,350.3261,9.6997,0,U,43207,999,5473,0,-.1E-7,0
BEIDOU-3 M3 (C21),2018-018B,2026-03-01T08:09:13.396032,1.86230859,.0009892,56.5566,66.7071,319.3285,40.6363,0,U,43208,999,5473,0,-.1E-7,0
BEIDOU-3 M9 (C29),2018-029A,2026-03-01T00:28:38.716320,1.86227979,.00009218,54.2912,303.7325,20.5005,339.5630,0,U,43245,999,5388,0,-.42E-6,0
BEIDOU-3 M10 (C30),2018-029B,2026-02-28T22:54:53.087904,1.86228901,.00050489,54.2888,303.7627,21.6630,338.4180,0,U,43246,999,5386,0,-.42E-6,0
BEIDOU-2 IGSO-7 (C16),2018-057A,2026-02-25T17:45:22.620960,1.00284731,.00999628,55.1859,164.0342,236.5988,133.5173,0,U,43539,999,2801,0,-.161E-5,0
BEIDOU-3 M5 (C23),2018-062A,2026-02-28T15:24:24.098976,1.86228457,.00021425,54.0883,185.9939,311.6058,48.3275,0,U,43581,999,5161,0,-.3E-6,0
BEIDOU-3 M6 (C24),2018-062B,2026-02-28T12:06:58.059360,1.86227508,.00062952,54.0879,185.9878,43.8159,316.1858,0,U,43582,999,5161,0,-.29E-6,0
BEIDOU-3 M12 (C26),2018-067A,2026-03-01T12:24:44.254368,1.86227647,.0008635,54.1831,184.6910,40.1631,319.8532,0,U,43602,999,5111,0,-.32E-6,0
BEIDOU-3 M11 (C25),2018-067B,2026-02-28T13:52:19.013376,1.86227045,.00050194,54.1806,184.6868,34.9301,325.0559,0,U,43603,999,5112,0,-.3E-6,0
BEIDOU-3 M13 (C32),2018-072A,2026-03-01T01:42:05.899104,1.86230830,.00088377,56.5296,66.2261,307.1015,52.8563,0,U,43622,999,5064,0,-.1E-7,0
BEIDOU-3 M14 (C33),2018-072B,2026-02-28T09:35:08.736288,1.86230836,.0006323,56.5307,66.2423,328.2609,31.7411,0,U,43623,999,5062,0,.2E-7,0
BEIDOU-3 M16 (C35),2018-078A,2026-03-01T02:14:17.379744,1.86232242,.0008416,54.1872,303.7769,30.5698,329.5390,0,U,43647,999,5014,0,-.42E-6,0
BEIDOU-3 M15 (C34),2018-078B,2026-03-01T05:20:28.032288,1.86232035,.0005146,54.1835,303.7733,35.7790,324.3153,0,U,43648,999,5016,0,-.43E-6,0
BEIDOU-3 G1 (C59),2018-085A,2026-03-01T13:17:17.641824,1.00269352,.0001254,2.8027,100.4722,33.4453,4.8085,0,U,43683,999,2698,0,-.296E-5,0
BEIDOU-3 M17 (C36),2018-093A,2026-03-01T10:36:11.488032,1.86228310,.0006947,54.1716,185.9513,297.5558,102.4053,0,U,43706,999,4953,0,-.31E-6,0
BEIDOU-3 M18 (C37),2018-093B,2026-03-01T05:51:49.978080,1.86226359,.0006014,54.1727,185.9497,341.9968,17.9329,0,U,43707,999,4952,0,-.31E-6,0
BEIDOU-3 IGSO-1 (C38),2019-023A,2026-03-01T07:52:47.339616,1.00271445,.0026,58.5492,38.7573,236.5602,121.2372,0,U,44204,999,612,0,-.199E-5,0
BEIDOU-2 G8 (C01),2019-027A,2026-03-01T11:49:51.806208,1.00268458,.0009232,1.8600,74.7272,268.4054,138.1249,0,U,44231,999,2500,0,-.266E-5,0
BEIDOU-3 IGSO-2 (C39),2019-035A,2026-02-26T16:31:51.989952,1.00247364,.00387345,55.2338,159.8353,206.4752,153.7223,0,U,44337,999,2456,0,-.176E-5,0
BEIDOU-3 M24 (C46),2019-061A,2026-03-01T07:32:39.827040,1.86228845,.0008651,54.3998,186.3652,22.0339,337.9537,0,U,44542,999,4378,0,-.31E-6,0
BEIDOU-3 M23 (C45),2019-061B,2026-03-01T02:36:29.113056,1.86227192,.00051022,54.3976,186.3407,14.1129,120.2476,0,U,44543,999,4378,0,-.31E-6,0
BEIDOU-3 IGSO-3 (C40),2019-073A,2026-02-28T00:19:05.143872,1.00270708,.00403779,54.9854,282.0779,189.1116,170.8905,0,U,44709,999,2336,0,-.145E-5,0
BEIDOU-3 M22 (C44),2019-078A,2026-02-28T01:54:59.619744,1.86231871,.00072213,54.0347,303.6688,34.9561,325.1493,0,U,44793,999,4261,0,-.39E-6,0
BEIDOU-3 M21 (C43),2019-078B,2026-02-28T05:15:49.599648,1.86227562,.00056611,54.0076,303.6269,36.1333,323.9632,0,U,44794,999,4262,0,-.4E-6,0
BEIDOU-3 M19 (C41),2019-090A,2026-03-01T02:41:11.194368,1.86231174,.00203872,56.4646,66.3615,291.2005,143.7912,0,U,44864,999,4222,0,-.1E-7,0
BEIDOU-3 M20 (C42),2019-090B,2026-03-01T09:37:22.313280,1.86231096,.001782,56.4665,66.3862,302.6987,55.6736,0,U,44865,999,4220,0,-.2E-7,0
BEIDOU-3 G2 (C60),2020-017A,2026-03-01T04:16:00.625728,1.00271121,.0002681,2.6474,45.5064,298.6811,318.8170,0,U,45344,999,2217,0,-.157E-5,0
BEIDOU-3 G3 (C61),2020-040A,2026-02-28T14:43:08.523840,1.00264554,.0004911,2.1795,67.0969,316.5656,105.9394,0,U,45807,999,2098,0,-.37E-5,0
BEIDOU-3 G4 (C62),2023-066A,2026-03-01T11:39:38.653056,1.00271975,.0001829,0.6544,310.4982,163.9264,19.7943,0,U,56564,999,1031,0,-.13E-5,0
BEIDOU-3 M28 (C50),2023-207A,2026-02-28T07:07:27.835680,1.86229645,.00048672,55.6562,65.9752,301.5322,58.4601,0,U,58654,999,1481,0,-.2E-7,0
BEIDOU-3 M26 (C48),2023-207B,2026-03-01T04:02:15.809856,1.86229561,.000571,55.6592,65.9320,287.4313,72.5442,0,U,58655,999,1481,0,-.4E-7,0
