OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0101 (GALILEO-PFM),2011-060A,2026-02-22T11:08:37.810464,1.70475478,.00039756,57.0318,344.8758,357.0591,2.9533,0,U,37846,999,8916,0,-.82E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-02-22T02:21:09.417024,1.70475770,.00054619,57.0325,344.8861,338.0997,202.6314,0,U,37847,999,8916,0,-.81E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2026-02-28T08:53:41.631072,1.70473336,.00053066,55.7357,104.5311,284.5770,75.4441,0,U,38857,999,8315,0,.9E-7,0
GSAT0201 (GALILEO 5),2014-050A,2026-02-26T09:15:42.297408,1.85519850,.16568702,48.9939,277.9705,175.1037,186.7695,0,U,40128,999,7626,0,.13E-6,0
GSAT0202 (GALILEO 6),2014-050B,2026-02-27T04:20:23.841600,1.85520639,.16578902,49.0095,277.0224,175.8719,185.7122,0,U,40129,999,7844,0,.12E-6,0
GSAT0203 (GALILEO 7),2015-017A,2026-02-27T12:31:05.039904,1.70475495,.00051612,56.8234,344.5881,295.0116,64.9415,0,U,40544,999,6733,0,-.103E-5,0
GSAT0204 (GALILEO 8),2015-017B,2026-02-27T04:34:27.961824,1.70475370,.00043897,56.8295,344.6151,286.3298,73.6287,0,U,40545,999,3037,0,-.102E-5,0
GSAT0205 (GALILEO 9),2015-045A,2026-02-12T22:54:15.154848,1.67410800,.03595998,53.6403,225.6057,59.9658,303.5577,0,U,40889,999,6421,0,.78E-6,0
GSAT0206 (GALILEO 10),2015-045B,2026-02-28T22:32:28.822272,1.70473640,.0003875,54.9818,224.5901,49.7770,310.2097,0,U,40890,999,6519,0,.21E-6,0
GSAT0209 (GALILEO 12),2015-079A,2026-02-26T18:15:53.059392,1.70474460,.00047705,55.7556,104.2904,323.2858,36.7546,0,U,41174,999,6289,0,.3E-7,0
GSAT0208 (GALILEO 11),2015-079B,2026-02-25T19:23:37.838976,1.70474379,.000363,55.7531,104.3136,328.1967,31.8517,0,U,41175,999,6329,0,.1E-7,0
GSAT0211 (GALILEO 14),2016-030A,2026-02-28T20:45:35.107488,1.70473700,.00036129,55.1331,224.6708,25.8788,334.0929,0,U,41549,999,6082,0,.22E-6,0
GSAT0210 (GALILEO 13),2016-030B,2026-02-27T08:42:03.198528,1.70473795,.00010813,55.1319,224.7103,189.8434,170.1193,0,U,41550,999,6079,0,.38E-6,0
GSAT0207 (GALILEO 15),2016-069A,2026-02-28T05:27:34.324704,1.70474383,.00050316,55.4267,104.1007,309.1503,50.8842,0,U,41859,999,5754,0,.8E-7,0
GSAT0212 (GALILEO 16),2016-069B,2026-02-27T11:52:00.727968,1.70474549,.00035416,55.4238,104.1162,336.3420,23.7177,0,U,41860,999,5778,0,.5E-7,0
GSAT0213 (GALILEO 17),2016-069C,2026-02-27T06:36:27.411264,1.70474834,.00051302,55.4260,104.1303,291.6331,68.3872,0,U,41861,999,5764,0,.4E-7,0
GSAT0214 (GALILEO 18),2016-069D,2026-02-28T00:11:27.536640,1.70474701,.00041329,55.4250,104.1026,296.1582,63.8775,0,U,41862,999,5778,0,.7E-7,0
GSAT0215 (GALILEO 19),2017-079A,2026-02-27T21:52:25.630464,1.70474334,.0000662,55.1102,224.5103,18.6698,341.2932,0,U,43055,999,5112,0,.32E-6,0
GSAT0216 (GALILEO 20),2017-079B,2026-02-28T04:51:47.131776,1.70474475,.0001682,55.1093,224.5024,323.3760,36.5709,0,U,43056,999,5114,0,.28E-6,0
GSAT0217 (GALILEO 21),2017-079C,2026-02-27T20:04:59.800800,1.70474377,.00020789,55.1101,224.5102,358.4163,1.5441,0,U,43057,999,5112,0,.33E-6,0
GSAT0218 (GALILEO 22),2017-079D,2026-03-01T05:31:11.512704,1.70474409,.0001889,55.1053,224.4697,305.5636,54.3694,0,U,43058,999,5117,0,.18E-6,0
GSAT0221 (GALILEO 25),2018-060A,2026-02-28T13:07:14.911104,1.70475369,.00058048,57.2051,344.7173,306.7848,53.1689,0,U,43564,999,4731,0,-.105E-5,0
GSAT0222 (GALILEO 26),2018-060B,2026-02-24T15:50:30.088608,1.70474973,.0004435,57.2093,344.8256,285.4820,74.4799,0,U,43565,999,4729,0,-.92E-6,0
GSAT0219 (GALILEO 23),2018-060C,2026-02-22T12:50:02.521824,1.70475208,.0005774,57.2094,344.8846,308.6957,51.2673,0,U,43566,999,4723,0,-.82E-6,0
GSAT0220 (GALILEO 24),2018-060D,2026-02-27T10:45:41.962176,1.70475159,.0005301,57.2075,344.7516,308.5821,51.3768,0,U,43567,999,4730,0,-.102E-5,0
GSAT0223 (GALILEO 27),2021-116A,2026-02-17T00:57:26.434656,1.70475508,.00028659,57.2005,344.9238,278.1950,264.6358,0,U,49809,999,2613,0,-.78E-6,0
GSAT0224 (GALILEO 28),2021-116B,2026-02-23T21:29:03.517440,1.70475193,.00021827,57.1984,344.7369,291.9502,250.7131,0,U,49810,999,2627,0,-.88E-6,0
GSAT0225 (GALILEO 29),2024-079A,2026-02-28T11:26:35.197728,1.70474768,.00025001,55.0470,104.1172,256.3085,211.1082,0,U,59598,999,1146,0,.8E-7,0
GSAT0227 (GALILEO 30),2024-079C,2026-03-01T01:43:30.970272,1.70474778,.00004154,55.0426,104.0995,85.7874,274.2997,0,U,59600,999,1152,0,.1E-6,0
GSAT0232 (GALILEO 32),2024-167A,2026-02-17T15:52:34.088160,1.70443939,.00036004,55.2225,224.5881,296.6314,116.1306,0,U,61182,999,826,0,.69E-6,0
GSAT0226 (GALILEO 31),2024-167B,2026-02-27T23:49:21.599904,1.70473900,.00016952,55.2198,224.3131,129.0505,235.5609,0,U,61183,999,899,0,.31E-6,0
GSAT0233 (GALILEO 33),2025-302A,2026-02-13T12:00:00.000000,1.70474578,.00030114,54.3935,105.2952,207.0582,359.4109,0,U,67160,999,2,0,-.8E-7,0
GSAT0234 (GALILEO 34),2025-302C,2026-02-13T12:00:00.000000,1.70475065,.00030814,54.3967,105.2938,266.8423,119.7309,0,U,67162,999,12,0,-.8E-7,0
