OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2433 (720),2007-052A,2026-02-28T23:40:22.570176,2.13103887,.0002353,65.6370,319.5772,271.3066,88.7182,0,U,32275,999,14275,0,-.49E-6,0
COSMOS 2432 (719),2007-052B,2026-03-01T05:23:08.599776,2.13103055,.00106915,65.6527,319.6949,329.4974,157.3757,0,U,32276,999,14278,0,-.5E-6,0
COSMOS 2434 (721),2007-065A,2026-02-28T16:01:01.612128,2.13101172,.00039517,64.3188,195.5729,70.7248,294.9025,0,U,32393,999,14146,0,-.9E-7,0
COSMOS 2436 (723),2007-065C,2026-03-01T10:43:38.305632,2.13099991,.0017547,64.3273,195.6177,7.6529,8.7984,0,U,32395,999,14143,0,-.13E-6,0
COSMOS 2456 (730),2009-070A,2026-03-01T08:39:52.592832,2.13103410,.0006223,64.9467,74.6496,304.7451,30.5541,0,U,36111,999,12612,0,.35E-6,0
COSMOS 2457 (733),2009-070B,2026-03-01T10:05:18.400704,2.13100899,.0002228,64.9320,74.4935,196.4022,312.8150,0,U,36112,999,12613,0,.34E-6,0
COSMOS 2460 (732),2010-007C,2026-03-01T08:54:57.992256,2.13105990,.0001778,65.4815,318.1174,10.4214,102.0361,0,U,36402,999,12443,0,-.46E-6,0
COSMOS 2476 (744),2011-064A,2026-03-01T12:12:21.344832,2.13103602,.0025199,65.2072,76.5060,241.1119,115.7338,0,U,37867,999,11146,0,.37E-6,0
COSMOS 2477 (745),2011-064B,2026-03-01T10:29:13.966944,2.13102701,.0022294,65.2136,76.5868,242.6449,239.9292,0,U,37868,999,11146,0,.38E-6,0
COSMOS 2475 (743),2011-064C,2026-03-01T08:51:25.492320,2.13101533,.0028072,65.2203,76.6098,254.0402,132.0097,0,U,37869,999,11147,0,.38E-6,0
COSMOS 2485 (747),2013-019A,2026-03-01T10:47:38.660928,2.13102956,.0025514,65.3577,77.2196,236.7123,123.0984,0,U,39155,999,9998,0,.39E-6,0
COSMOS 2492 (754),2014-012A,2026-02-28T22:32:36.906720,2.13103126,.00133113,65.3598,317.6175,325.5987,34.3692,0,U,39620,999,9293,0,-.46E-6,0
COSMOS 2500 (755),2014-032A,2026-03-01T02:39:04.775616,2.13105796,.0005259,65.2949,317.3676,204.8536,155.1757,0,U,40001,999,9115,0,-.45E-6,0
COSMOS 2501 (702K),2014-075A,2026-03-01T08:54:12.494880,2.13101119,.0020702,63.6172,194.1013,205.6418,154.2159,0,U,40315,999,8755,0,-.15E-6,0
COSMOS 2514 (751),2016-008A,2026-02-28T21:16:02.527968,2.13102585,.00091961,65.0848,316.7259,210.1787,149.8230,0,U,41330,999,7831,0,-.44E-6,0
COSMOS 2522 (752),2017-055A,2026-02-28T17:22:36.556608,2.13101626,.00070721,64.0795,195.5727,226.3885,133.5140,0,U,42939,999,6566,0,-.1E-6,0
COSMOS 2527 (756),2018-053A,2026-03-01T03:42:35.614368,2.13102047,.00096301,65.5160,77.5103,244.8081,115.1487,0,U,43508,999,5997,0,.41E-6,0
COSMOS 2529 (757),2018-086A,2026-02-27T08:59:15.336384,2.13101880,.00079597,64.2955,196.2992,253.0448,106.8346,0,U,43687,999,5694,0,.8E-7,0
COSMOS 2534 (758),2019-030A,2026-02-28T17:17:25.425024,2.13102114,.00096102,64.3688,196.2655,280.7620,166.1530,0,U,44299,999,5261,0,-.8E-7,0
COSMOS 2544 (759),2019-088A,2026-03-01T02:22:52.232160,2.13101810,.00157478,65.5037,77.3374,259.2375,100.6416,0,U,44850,999,4841,0,.41E-6,0
COSMOS 2545 (760),2020-018A,2026-02-24T03:11:23.054208,2.13102520,.00086616,64.4229,316.3952,251.9262,108.0301,0,U,45358,999,4625,0,-.47E-6,0
COSMOS 2547 (705K),2020-075A,2026-03-01T11:35:54.431232,2.13100066,.0006642,64.6000,196.0666,229.2536,130.6482,0,U,46805,999,4161,0,-.13E-6,0
COSMOS 2557 (706K),2022-075A,2026-03-01T04:17:55.250880,2.13101670,.0011822,64.3612,318.2927,283.1445,76.7771,0,U,52984,999,2841,0,-.49E-6,0
COSMOS 2559 (707K),2022-130A,2026-02-28T23:57:48.913920,2.13101169,.00106014,64.3338,318.3857,182.1671,177.8809,0,U,54031,999,2638,0,-.49E-6,0
COSMOS 2564 (761),2022-161A,2026-03-01T07:28:13.967328,2.13101880,.0009345,64.7417,196.2893,209.1479,150.7597,0,U,54377,999,2533,0,-.12E-6,0
COSMOS 2569 (703K),2023-114A,2026-03-01T07:46:58.285344,2.13103901,.0012874,65.2399,76.2569,291.4204,68.4967,0,U,57517,999,1996,0,.38E-6,0
COSMOS 2584 (704K),2025-042A,2026-02-28T17:48:18.452736,2.13103267,.0007823,65.0213,76.4877,236.2440,123.7373,0,U,63130,999,773,0,.39E-6,0
COSMOS 2596 (708K),2025-206B,2026-03-01T05:17:20.889024,2.13100085,.00129328,64.6960,318.7463,315.1569,169.5039,0,U,65590,999,361,0,-.49E-6,0
