OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2026-03-01T00:14:10.378176,2.00563922,.00978565,55.9334,102.8040,56.2915,304.7159,0,U,24876,999,20978,0,.2E-6,0
GPS BIIR-5  (PRN 22),2000-040A,2026-02-28T20:11:28.702752,2.00568803,.01227847,54.8763,219.4631,302.5190,229.8849,0,U,26407,999,18777,0,.9E-7,0
GPS BIIR-8  (PRN 16),2003-005A,2026-03-01T10:15:24.723936,2.00566372,.0148736,54.9080,219.2478,52.6971,318.8246,0,U,27663,999,16915,0,.2E-7,0
GPS BIIR-11 (PRN 19),2004-009A,2026-03-01T08:58:02.491680,2.00558119,.0110828,54.9186,280.0421,168.9880,319.7388,0,U,28190,999,16078,0,.5E-7,0
GPS BIIR-13 (PRN 02),2004-045A,2026-03-01T08:34:28.324128,2.00573160,.0170887,55.1965,329.2420,312.7031,227.4565,0,U,28474,999,15626,0,-.88E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-03-01T08:31:54.393024,2.00573138,.0128882,54.9654,277.5282,295.2964,203.9501,0,U,28874,999,14967,0,.9E-7,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-03-01T07:43:28.608096,2.00575456,.0106807,54.6984,155.6224,52.8668,319.0585,0,U,29486,999,14223,0,-.26E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-02-28T17:21:54.682848,2.00551333,.0087934,54.9584,218.3028,89.3093,271.6592,0,U,29601,999,14123,0,.1E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-03-01T00:43:58.249920,2.00560826,.01635783,54.0129,84.5227,85.9294,276.0062,0,U,32260,999,13464,0,.12E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-03-01T02:14:28.801824,2.00553256,.00328376,55.1174,278.4968,160.6293,12.9281,0,U,32384,999,13334,0,.11E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-02-28T10:48:29.520288,2.00568968,.02067443,54.4822,154.2701,246.1169,111.7145,0,U,32711,999,13157,0,-.31E-6,0
