OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OPS 7218 (TRANSIT 16),1967-048A,2026-03-01T08:37:23.870784,13.50741908,.0018203,89.6808,351.4361,247.6209,230.4783,0,U,2807,999,89337,.16851E-3,.119E-5,0
OPS 4947 (TRANSIT 17),1967-092A,2026-03-01T11:36:41.693760,13.53475450,.0048203,89.2550,18.4345,9.7314,111.6431,0,U,2965,999,88162,.22205E-3,.162E-5,0
OPS 7034 (TRANSIT 18),1968-012A,2026-03-01T04:38:33.241920,13.51587055,.00723446,90.0219,273.8509,304.2126,179.6749,0,U,3133,999,57978,.20960393E-3,.147E-5,0
NNSS 19 (TRANSIT 19),1970-067A,2026-03-01T11:38:25.842912,13.51336163,.0173482,90.0047,234.5759,65.1391,296.7687,0,U,4507,999,73285,.20104E-3,.154E-5,0
NNSS 20 (TRANSIT 20),1973-081A,2026-03-01T11:34:29.366976,13.71471390,.0153858,89.8512,253.8571,201.4689,157.9976,0,U,6909,999,81440,.22792E-3,.233E-5,0
TRANSAT,1977-106A,2026-03-01T12:08:01.937472,13.48956700,.002442,89.6397,75.7720,330.4070,184.1982,0,U,10457,999,37805,.14284E-3,.1E-5,0
NOVA 1,1981-044A,2026-03-01T12:48:16.068384,13.23286690,.0012508,89.8428,90.2395,243.2736,237.5921,0,U,12458,999,16228,.13621E-3,.67E-6,0
NOVA 3,1984-110A,2026-03-01T11:56:56.488992,13.23055521,.0033373,90.1130,81.4270,111.2146,6.7068,0,U,15362,999,99740,.23006E-3,.106E-5,0
OSCAR 30,1985-066A,2026-03-01T12:52:54.202944,13.36093516,.0166575,90.1558,101.1080,220.8556,255.5810,0,U,15935,999,97505,.16085E-3,.97E-6,0
OSCAR 24,1985-066B,2026-03-01T12:43:45.634656,13.35951268,.0167431,90.1693,93.6673,227.4551,253.4501,0,U,15936,999,97695,.18912E-3,.112E-5,0
POLAR BEAR,1986-088A,2026-03-01T08:06:57.593376,13.75268267,.003763,89.6247,180.6468,241.7921,180.6040,0,U,17070,999,97059,.96749E-4,.104E-5,0
OSCAR 27,1987-080A,2026-03-01T11:33:36.942912,13.44922875,.010372,90.3649,82.1817,0.2396,359.8783,0,U,18361,999,88615,.17093E-3,.111E-5,0
OSCAR 29,1987-080B,2026-03-01T12:43:59.448288,13.44463048,.0106114,90.3658,82.6487,23.2414,95.5355,0,U,18362,999,88568,.1407E-3,.93E-6,0
OSCAR 23,1988-033A,2026-03-01T10:27:06.410304,13.27802169,.0188371,90.3278,18.8417,322.0971,158.2199,0,U,19070,999,83297,.20258E-3,.107E-5,0
OSCAR 32,1988-033B,2026-03-01T09:37:39.953568,13.27967021,.0186428,90.3281,18.9766,308.9087,164.6610,0,U,19071,999,83309,.92197E-4,.52E-6,0
NOVA 2,1988-052A,2026-03-01T12:10:23.047680,13.22946572,.003126,89.9782,78.1394,153.3439,322.9294,0,U,19223,999,81989,.16927E-3,.8E-6,0
OSCAR 25,1988-074A,2026-03-01T10:56:02.480928,13.42639840,.0097082,90.0405,20.5081,22.8423,95.9564,0,U,19419,999,83696,.19042E-3,.12E-5,0
OSCAR 31,1988-074B,2026-03-01T11:34:12.452448,13.42596356,.0095097,90.0421,20.8710,17.0882,101.9382,0,U,19420,999,83707,.13255E-3,.86E-6,0
