OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-02-22T20:06:02.155680,13.76476351,.00233918,90.2154,69.1128,279.3200,201.2579,0,U,900,999,5569,.61865335E-3,.615E-5,0
CALSPHERE 2,1964-063E,2026-02-22T13:18:03.742272,13.52890527,.0017997,90.2282,73.0850,194.2538,288.1222,0,U,902,999,84076,.64E-4,.51E-6,0
LCS 1,1965-034C,2026-02-22T18:20:02.004576,9.89309896,.00132072,32.1406,88.7001,76.5255,283.6713,0,U,1361,999,19855,.65270688E-4,.9E-7,0
TEMPSAT 1,1965-065E,2026-02-22T17:02:44.022336,13.33588171,.0068849,89.9907,212.5950,208.8233,178.5481,0,U,1512,999,94479,.78959991E-4,.48E-6,0
CALSPHERE 4A,1965-065H,2026-02-22T21:10:27.012576,13.36256333,.0071363,89.9063,123.6090,67.3504,345.8429,0,U,1520,999,94744,.14643083E-3,.86E-6,0
OPS 5712 (P/L 160),1967-053A,2026-02-22T22:11:54.320064,14.75908149,.00051041,69.9186,317.9834,238.0834,121.9817,0,U,2826,999,4936,.14366728E-2,.9825E-4,0
LES-5,1967-066E,2026-02-22T15:19:32.294208,1.09425261,.00564738,2.3587,99.9666,207.4176,265.6468,0,U,2866,999,12978,0,-.57E-6,0
SURCAL 159,1967-053F,2026-02-22T22:51:01.233504,13.99570076,.00095172,69.9714,246.8100,264.7853,95.2168,0,U,2872,999,99422,.99003246E-4,.91E-6,0
OPS 5712 (P/L 153),1967-053H,2026-02-22T21:44:25.527264,13.96808592,.00085574,69.9761,0.2548,324.8042,35.2497,0,U,2874,999,99082,.77878307E-4,.55E-6,0
OPS 3811 (DSP 2),1971-039A,2026-02-22T18:47:49.826976,0.98161033,.00244492,0.2335,351.5373,299.9713,343.8657,0,U,5204,999,20510,0,-.103E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-02-22T21:59:20.194944,14.37715070,.00576638,87.6254,10.5045,251.5645,107.9280,0,U,5398,999,85746,.26089488E-3,.817E-5,0
OSCAR 7 (AO-7),1974-089B,2026-02-22T15:28:37.720992,12.53695981,.00121133,101.9973,65.6727,351.1883,123.3630,0,U,7530,999,34616,.955022E-5,-.45E-6,0
STARLETTE,1975-010A,2026-02-22T20:51:24.357888,13.82349054,.02055526,49.8221,195.8320,45.3819,316.3639,0,U,7646,999,57872,.13245721E-4,-.128E-5,0
LAGEOS 1,1976-039A,2026-02-22T14:25:53.729184,6.38664867,.0044665,109.8209,140.1147,326.8103,21.0376,0,U,8820,999,90581,0,-.4E-7,0
OPS 8701 (DSP 10),1982-019A,2026-02-22T11:48:15.046848,0.98190824,.0005726,9.5229,310.0281,320.6214,228.9739,0,U,13086,999,2453,0,-.193E-5,0
PHASE 3B (AO-10),1983-058B,2026-02-21T19:00:42.468480,2.05870444,.60518432,25.9418,238.9815,83.6186,337.9131,0,U,14129,999,29311,0,.79E-6,0
UOSAT 2 (UO-11),1984-021B,2026-02-22T21:41:55.605984,14.90445653,.0007065,97.7922,20.8722,190.5022,169.6049,0,U,14781,999,24010,.17112513E-3,.1613E-4,0
AJISAI (EGS),1986-061A,2026-02-22T23:00:58.800096,12.44515431,.00112317,50.0086,138.6453,249.0694,269.9084,0,U,16908,999,46616,.92752712E-4,-.84E-6,0
TDRS 3,1988-091B,2026-02-22T05:51:46.301760,1.00263377,.00439272,12.6887,341.7561,351.4645,217.7420,0,U,19548,999,12423,0,-.293E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-02-22T23:00:53.997120,2.13155955,.00234075,64.8779,76.1013,217.5348,293.3687,0,U,19751,999,28893,0,.22E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-02-22T03:57:32.372064,2.13204437,.00204628,65.0041,314.5006,213.5313,185.7535,0,U,20026,999,28605,0,-.36E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-02-22T17:48:38.553696,1.00267999,.00088177,12.4526,351.8496,331.4095,222.2621,0,U,20253,999,25941,0,-.362E-5,0
LUSAT (LO-19),1990-005G,2026-02-22T19:54:40.073472,14.34081031,.00116378,98.8946,72.4355,176.3243,183.8028,0,U,20442,999,88600,.62802706E-4,.129E-5,0
HST,1990-037B,2026-02-22T22:24:56.351520,15.29225828,.00011429,28.4686,140.6395,321.3922,38.6592,0,U,20580,999,77105,.27457943E-3,.8245E-4,0
SKYNET 4C,1990-079A,2026-02-21T23:10:27.701760,1.00274731,.00032498,13.3756,350.5951,329.6213,212.6987,0,U,20776,999,12973,0,.133E-5,0
USA 65 (DSP 15),1990-095A,2026-02-22T00:43:56.239392,0.98398587,.00028994,14.0746,344.8396,59.3506,119.7688,0,U,20929,999,2433,0,-.188E-5,0
TDRS 5,1991-054B,2026-02-22T13:37:19.591104,1.00278741,.0012429,14.0852,354.6220,269.8893,284.8321,0,U,21639,999,12656,0,.9E-6,0
USA 75 (DSP 16),1991-080B,2026-02-22T18:25:06.181824,0.99183443,.00024324,14.0645,346.3199,62.7015,114.2006,0,U,21805,999,2457,0,-.75E-6,0
LAGEOS 2,1992-070B,2026-02-22T20:44:33.060192,6.47293263,.01378289,52.6814,338.9072,137.3463,260.3796,0,U,22195,999,78802,0,-.9E-7,0
TDRS 6,1993-003B,2026-02-22T17:37:19.086816,1.00264859,.00046739,14.1803,357.9077,204.1497,168.8341,0,U,22314,999,12126,0,-.292E-5,0
SCD 1,1993-009B,2026-02-22T19:49:54.307200,14.46057863,.00419971,24.9677,193.6564,7.9742,125.3502,0,U,22490,999,74454,.68914431E-4,.437E-5,0
UFO 2 (USA 95),1993-056A,2026-02-22T22:54:51.602688,1.00268359,.00089724,11.8544,4.1732,332.1255,188.9637,0,U,22787,999,11740,0,.128E-5,0
