OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLETTE,1975-010A,2026-03-01T10:44:46.800960,13.82349048,.0205552,49.8226,169.8637,67.1179,295.1272,0,U,7646,999,57963,-.7328E-5,-.155E-5,0
LAGEOS 1,1976-039A,2026-03-01T04:35:30.103296,6.38664858,.00446574,109.8192,142.3718,325.4079,52.7204,0,U,8820,999,90624,0,-.6E-7,0
AJISAI (EGS),1986-061A,2026-03-01T12:21:20.174112,12.44515501,.0011242,50.0081,118.4862,265.9474,121.3863,0,U,16908,999,46698,.10762E-3,-.82E-6,0
COSMOS 1989 (ETALON 1),1989-001C,2026-03-01T06:42:58.498272,2.13155985,.0023402,64.8821,75.8848,217.5804,103.7113,0,U,19751,999,28906,0,.37E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-03-01T07:00:55.380096,2.13204480,.0020467,64.9995,314.2549,213.4380,256.3154,0,U,20026,999,28620,0,-.38E-6,0
LAGEOS 2,1992-070B,2026-03-01T04:57:14.605056,6.47293304,.0137791,52.6803,334.9019,140.1165,279.2006,0,U,22195,999,78843,0,-.9E-7,0
STELLA,1993-061B,2026-03-01T11:18:15.664032,14.27467203,.0006285,98.7861,124.2760,180.8698,308.0391,0,U,22824,999,68940,.93864E-5,-.22E-6,0
LARETS,2003-042F,2026-03-01T11:01:32.355264,14.63846019,.0012595,98.4000,220.4794,18.0327,342.1319,0,U,27944,999,19760,.30378E-4,.108E-5,0
LARES,2012-006A,2026-03-01T10:54:18.814752,12.54932164,.0007668,69.4895,116.2670,159.2082,200.9257,0,U,38077,999,64355,.83651E-4,-.25E-6,0
LARES-2,2022-080A,2026-02-20T17:16:46.407648,6.38965205,.00051588,70.1780,345.2672,0.9590,359.1035,0,U,53105,999,8422,0,-.19E-6,0
