OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2026-03-01T09:28:14.039616,15.29328400,.0001584,28.4699,96.5806,41.9765,318.0951,0,U,20580,999,77204,.28681E-3,.8629E-4,0
POLAR,1996-013A,2026-02-27T15:58:09.284736,1.29845828,.63591824,79.7365,228.3020,212.7912,83.4827,0,U,23802,999,14343,0,.234E-5,0
SWAS,1998-071A,2026-03-01T12:19:02.044704,15.08797066,.0003249,69.8972,145.0269,27.5617,332.5719,0,U,25560,999,48102,.37959E-3,.5882E-4,0
CXO,1999-040B,2026-03-04T14:23:26.328192,0.37808984,.8003286,54.4843,119.7683,310.7757,0.3877,0,U,25867,999,1692,0,.824E-5,0
XMM-NEWTON,1999-066A,2026-03-02T15:24:13.123584,0.50131664,.47125523,65.0189,284.3763,66.8130,359.9781,0,U,25989,999,2247,0,.62E-6,0
TERRA,1999-068A,2026-03-01T10:34:17.400288,14.61004514,.0002136,97.9612,114.1897,172.0958,312.8190,0,U,25994,999,39387,.1183E-3,.536E-5,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-03-04T06:04:28.507008,0.44785609,.8908777,148.9920,34.5676,250.6745,359.7226,0,U,26410,999,1983,0,.3639E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-02-18T01:30:32.809536,0.44405995,.88900451,149.0711,33.5376,249.4570,359.4916,0,U,26464,999,1976,0,.4776E-4,0
ODIN,2001-007A,2026-03-01T01:22:16.247136,15.57714287,.00038407,97.4095,95.7537,160.7540,199.3862,0,U,26702,999,37249,.59991428E-3,.4454E-3,0
TIMED,2001-055B,2026-03-01T11:34:05.040192,14.94992301,.0002899,74.0660,91.8406,284.9172,75.1691,0,U,26998,999,31472,.14331E-3,.1528E-4,0
CORIOLIS,2003-001A,2026-03-01T10:55:15.297888,14.19908986,.0014396,98.7160,68.9728,159.2395,200.9368,0,U,27640,999,19893,.10396E-3,.177E-5,0
SORCE,2003-004A,2026-03-01T07:51:24.013728,15.03021361,.0017053,39.9902,156.7624,352.8284,7.2264,0,U,27651,999,25566,.33981E-3,.4521E-4,0
MOST,2003-031D,2026-03-01T12:04:53.424768,14.21296597,.0009458,98.7082,69.7178,197.2850,162.8006,0,U,27843,999,17541,.69545E-4,.108E-5,0
SCISAT 1,2003-036A,2026-03-01T09:01:29.354880,14.81291367,.0005943,73.9310,25.5266,121.0950,239.0810,0,U,27858,999,21548,.1493E-3,.1129E-4,0
SWIFT,2004-047A,2026-02-28T23:17:01.696992,15.58432639,.000269,20.5535,293.5160,274.7823,85.2314,0,U,28485,999,16990,.52827E-3,.42981E-3,0
