OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,25544,999,55507,.19202E-3,.9927E-4,0
POISK,2009-060A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,36086,999,55476,.19202E-3,.9927E-4,0
CSS (TIANHE),2021-035A,2026-03-01T18:42:31.245984,15.60278755,.0006462,41.4651,256.2782,223.4056,136.6275,0,U,48274,999,27637,.20477E-3,.16927E-3,0
ISS (NAUKA),2021-066A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,49044,999,55477,.19202E-3,.9927E-4,0
FREGAT DEB,2011-037PF,2026-03-01T03:19:14.375712,12.39641202,.09532668,51.6523,326.3892,39.7514,326.9389,0,U,49271,999,21163,.49848877E-1,.33519E-3,0
CSS (WENTIAN),2022-085A,2026-03-01T18:42:31.245984,15.60278755,.0006462,41.4651,256.2782,223.4056,136.6275,0,U,53239,999,27596,.20477E-3,.16927E-3,0
CSS (MENGTIAN),2022-143A,2026-03-01T18:42:31.245984,15.60278755,.0006462,41.4651,256.2782,223.4056,136.6275,0,U,54216,999,27593,.20477E-3,.16927E-3,0
PROGRESS-MS 31,2025-146A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,64751,999,55478,.19202E-3,.9927E-4,0
TIANZHOU-9,2025-149A,2026-03-01T18:42:31.245984,15.60278755,.0006462,41.4651,256.2782,223.4056,136.6275,0,U,64786,999,27594,.20477E-3,.16927E-3,0
PROGRESS-MS 32,2025-204A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,65586,999,55482,.19202E-3,.9927E-4,0
CYGNUS NG-23,2025-208A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,65616,999,55483,.19202E-3,.9927E-4,0
ISS OBJECT XK,1998-067XK,2026-03-01T07:32:51.592128,16.01638929,.0006743,51.6174,91.0881,40.2246,319.9262,0,U,65731,999,2555,.13265E-2,.764736E-2,.28714E-3
YOTSUBA-KULOVER,1998-067XN,2026-03-01T08:23:37.382208,15.76940610,.0006112,51.6222,100.4331,19.8048,340.3188,0,U,65941,999,2218,.10771E-2,.181603E-2,0
BOTAN,1998-067XP,2026-03-01T07:53:39.334272,16.13419316,.0006842,51.6093,93.3995,39.1940,320.9569,0,U,65942,999,2227,.17297E-2,.1991374E-1,.37933E-2
E-KAGAKU-1,1998-067XQ,2026-03-01T11:30:22.237056,15.76747517,.000631,51.6239,99.8138,28.4787,331.6556,0,U,65943,999,2220,.10418E-2,.173992E-2,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-03-01T19:54:40.906368,15.61244027,.0003342,51.6275,105.1747,58.2632,301.8687,0,U,66052,999,2116,.63635E-3,.54879E-3,0
HTV-X1,2025-241A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,66174,999,55479,.19202E-3,.9927E-4,0
SZ-21 MODULE,2025-246C,2026-03-01T14:29:05.135424,15.67828728,.0001468,41.4736,253.1136,286.2005,73.8675,0,U,66515,999,1680,.35055E-3,.3957E-3,0
SHENZHOU-22,2025-272A,2026-03-01T18:42:31.245984,15.60278755,.0006462,41.4651,256.2782,223.4056,136.6275,0,U,66645,999,26787,.20477E-3,.16927E-3,0
SOYUZ-MS 28,2025-275A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,66664,999,55484,.19202E-3,.9927E-4,0
DUPLEX,1998-067XS,2026-03-01T10:17:55.358016,15.55608097,.000196,51.6290,110.7512,85.3418,274.7797,0,U,66906,999,1384,.48582E-3,.3361E-3,0
ISS OBJECT XT,1998-067XT,2026-03-01T10:10:42.767904,15.66538666,.0004392,51.6255,107.7079,30.0220,330.1027,0,U,66907,999,1388,.12738E-2,.137518E-2,0
ISS OBJECT XU,1998-067XU,2026-03-01T10:08:52.779840,15.66615725,.0004524,51.6252,107.6969,32.6879,327.4396,0,U,66908,999,1388,.12779E-2,.138414E-2,0
SILVERSAT,1998-067XV,2026-03-01T08:58:18.295104,15.68880735,.0005352,51.6257,107.3696,28.2570,331.8716,0,U,66909,999,1388,.142E-2,.169451E-2,0
ISS OBJECT XW,1998-067XW,2026-03-01T08:27:25.709760,15.66113269,.0004687,51.6248,107.9715,42.0873,318.0482,0,U,66910,999,1387,.1154E-2,.122188E-2,0
ISS OBJECT XX,1998-067XX,2026-03-01T19:55:36.624864,15.71384697,.0006966,51.6226,104.4016,37.9423,322.2065,0,U,66911,999,1395,.15933E-2,.212327E-2,0
ISS OBJECT XY,1998-067XY,2026-03-01T12:35:31.259904,15.62037373,.0002711,51.6275,108.3853,46.2509,313.8709,0,U,66912,999,1387,.97245E-3,.87122E-3,0
ISS OBJECT XZ,1998-067XZ,2026-03-01T17:46:16.891392,15.51106476,.0009604,51.6323,111.3281,159.6177,200.5198,0,U,67683,999,355,.70811E-3,.41861E-3,0
GXIBA-1,1998-067YA,2026-03-01T12:44:48.521760,15.52893604,.0011045,51.6306,112.1796,149.3528,210.8109,0,U,67684,999,352,.11805E-2,.75127E-3,0
CORAL,1998-067YB,2026-03-01T13:03:58.003776,15.51369828,.0011563,51.6314,112.2682,154.9527,205.2026,0,U,67685,999,352,.78123E-3,.46739E-3,0
ISS OBJECT YC,1998-067YC,2026-03-01T09:53:56.869728,15.51728286,.0007665,51.6316,112.8884,122.7439,237.4290,0,U,67686,999,350,.89126E-3,.54052E-3,0
LEOPARD,1998-067YD,2026-03-01T17:44:03.576192,15.51238778,.0007663,51.6315,111.3180,127.4895,232.6792,0,U,67687,999,347,.73456E-3,.4363E-3,0
ISS OBJECT YE,1998-067YE,2026-03-01T09:55:55.286976,15.51553933,.0007609,51.6318,112.8976,123.4438,236.7280,0,U,67688,999,342,.83355E-3,.50179E-3,0
CREW DRAGON 12,2026-031A,2026-03-01T13:48:17.544384,15.48382986,.0008284,51.6320,112.4722,146.1756,213.9762,0,U,67796,999,55481,.19202E-3,.9927E-4,0
