OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GOES 1 (SMS-C),1975-100A,2026-03-01T12:21:10.448928,1.00236854,.0005445,4.8819,278.7840,359.4658,306.0587,0,U,8366,999,18398,0,-.9E-7,0
GOES 2,1977-048A,2026-02-28T23:21:02.993184,0.99399109,.00138796,6.6772,294.2457,47.3570,293.8565,0,U,10061,999,4519,0,-.319E-5,0
GOES 3,1978-062A,2026-03-01T09:49:13.674720,0.99365610,.0002896,7.1455,300.0677,353.3091,181.3538,0,U,10953,999,12746,0,-.225E-5,0
GOES 4,1980-074A,2026-03-01T08:29:11.148864,0.99232165,.0032051,8.2188,303.7526,102.9547,198.7781,0,U,11964,999,12636,0,-.268E-5,0
GOES 5,1981-049A,2026-03-01T12:17:48.168384,1.00212082,.0004684,9.5510,316.3604,336.4432,322.9392,0,U,12472,999,12176,0,-.208E-5,0
GOES 6,1983-041A,2026-03-01T06:47:23.609760,1.00217566,.0002378,10.3623,321.9199,306.0219,244.1127,0,U,14050,999,21493,0,-.82E-6,0
GOES 7,1987-022A,2026-03-01T08:24:21.811680,0.99893751,.0003939,13.0235,338.3956,14.5784,163.2206,0,U,17561,999,12588,0,.57E-6,0
GOES 8,1994-022A,2026-03-01T01:53:38.693184,0.98907545,.00049408,14.3375,14.4952,13.5823,343.5390,0,U,23051,999,12305,0,-.176E-5,0
GOES 9,1995-025A,2026-03-01T07:00:14.875776,0.98799667,.0003713,13.8669,15.3357,211.3457,333.8382,0,U,23581,999,11169,0,-.159E-5,0
GOES 10,1997-019A,2026-03-01T07:49:32.651040,0.99123149,.0031432,13.0004,21.8690,239.0085,124.4349,0,U,24786,999,10500,0,-.181E-5,0
GOES 11,2000-022A,2026-03-01T08:43:19.992576,0.99041940,.0005986,11.5737,47.4734,254.0481,285.9934,0,U,26352,999,5140,0,-.182E-5,0
GOES 12,2001-031A,2026-03-01T07:05:23.876736,0.99138394,.0008767,11.9889,38.1693,295.4820,244.7513,0,U,26871,999,8969,0,-.25E-5,0
EWS-G1 (GOES 13),2006-018A,2026-03-01T09:54:56.486592,0.98784618,.006198,4.2531,77.7395,272.7251,222.3423,0,U,29155,999,4218,0,-.11E-6,0
GOES 14,2009-033A,2026-03-01T11:22:21.351936,1.00122694,.0002111,1.4111,84.4609,292.5107,156.2773,0,U,35491,999,551,0,.113E-5,0
EWS-G2 (GOES 15),2010-008A,2026-03-01T11:59:53.009376,1.00268747,.0001592,1.0016,85.1993,25.3190,292.2522,0,U,36411,999,5855,0,.3E-7,0
GOES 16,2016-071A,2026-03-01T09:34:37.927776,1.00270100,.0002603,0.1396,90.4038,214.4077,253.3320,0,U,41866,999,3402,0,-.109E-5,0
GOES 17,2018-022A,2026-03-01T10:23:17.765664,1.00270589,.0002408,0.6603,87.6177,216.9710,280.9615,0,U,43226,999,2934,0,-.2E-5,0
GOES 18,2022-021A,2026-03-01T12:30:28.323360,1.00270442,.000059,0.0223,74.2982,314.9670,180.6511,0,U,51850,999,551,0,.79E-6,0
GOES 19,2024-119A,2026-03-01T10:22:25.491936,1.00271551,.0000816,0.0254,282.0436,88.2243,229.3523,0,U,60133,999,588,0,-.267E-5,0
