OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
ISS (ZARYA),1998-067A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,25544,999,55507,0.00019202,9.927e-05,0.0,False,False,TDRSS,False,False,False,False,False,satnogs,
POISK,2009-060A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,36086,999,55476,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
CSS (TIANHE),2021-035A,Space Station,2026-03-01T18:42:31.245984,15.60278755,0.0006462,41.4651,256.2782,223.4056,136.6275,0,U,48274,999,27637,0.00020477,0.00016927,0.0,False,False,False,False,False,False,False,False,satnogs,
ISS (NAUKA),2021-066A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,49044,999,55477,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,satnogs,
FREGAT DEB,2011-037PF,Space Station,2026-03-01T03:19:14.375712,12.39641202,0.09532668,51.6523,326.3892,39.7514,326.9389,0,U,49271,999,21163,0.049848877,0.00033519,0.0,False,False,False,False,False,False,False,False,False,
CSS (WENTIAN),2022-085A,Space Station,2026-03-01T18:42:31.245984,15.60278755,0.0006462,41.4651,256.2782,223.4056,136.6275,0,U,53239,999,27596,0.00020477,0.00016927,0.0,False,False,False,False,False,False,False,False,False,
CSS (MENGTIAN),2022-143A,Space Station,2026-03-01T18:42:31.245984,15.60278755,0.0006462,41.4651,256.2782,223.4056,136.6275,0,U,54216,999,27593,0.00020477,0.00016927,0.0,False,False,False,False,False,False,False,False,False,
PROGRESS-MS 31,2025-146A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,64751,999,55478,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
TIANZHOU-9,2025-149A,Space Station,2026-03-01T18:42:31.245984,15.60278755,0.0006462,41.4651,256.2782,223.4056,136.6275,0,U,64786,999,27594,0.00020477,0.00016927,0.0,False,False,False,False,False,False,False,False,False,
PROGRESS-MS 32,2025-204A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,65586,999,55482,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
