sat,time,lat,lon,alt_km
CALSPHERE 1,2026-02-23 12:25:01.613958,-67.297194367922,-111.38697147981767,968.981250831599
CALSPHERE 1,2026-02-23 12:30:01.613958,-84.52732467467706,-113.12192473417001,967.2371367588084
CALSPHERE 1,2026-02-23 12:35:01.613958,-78.2292067138136,70.16275629040119,966.8482700595405
CALSPHERE 1,2026-02-23 12:40:01.613958,-60.99210024031951,69.51715641396059,967.8244225531225
CALSPHERE 1,2026-02-23 12:45:01.613958,-43.75626384987728,69.33490074038308,969.9257970304479
CALSPHERE 1,2026-02-23 12:50:01.613958,-26.525843196689998,69.23618847525509,972.7384766853529
CALSPHERE 2,2026-02-23 12:25:01.619960,49.539022239000346,-106.62493263791103,1050.8085937820188
CALSPHERE 2,2026-02-23 12:30:01.619960,32.57831436595459,-106.74666486069358,1050.1905596779688
CALSPHERE 2,2026-02-23 12:35:01.619960,15.611711176682258,-106.82868762182748,1050.549069609826
CALSPHERE 2,2026-02-23 12:40:01.619960,-1.354450420157381,-106.89780945731741,1051.6898062421733
CALSPHERE 2,2026-02-23 12:45:01.619960,-18.313645859419747,-106.96790612168628,1053.4597342592451
CALSPHERE 2,2026-02-23 12:50:01.619960,-35.2599909144432,-107.05368299352598,1055.7788042757775
LCS 1,2026-02-23 12:25:01.621960,7.086636748349234,-104.50571049664852,2785.423999755667
LCS 1,2026-02-23 12:30:01.621960,0.5498733360140957,-93.9725566168853,2788.912874998916
LCS 1,2026-02-23 12:35:01.621960,-6.000574544377205,-83.47035936895115,2792.248027647909
LCS 1,2026-02-23 12:40:01.621960,-12.341925688388535,-72.72474087388312,2795.278675781634
LCS 1,2026-02-23 12:45:01.621960,-18.239048563215327,-61.47311708385594,2797.8762738185596
LCS 1,2026-02-23 12:50:01.621960,-23.433569941315106,-49.48907396510259,2799.9382157516084
TEMPSAT 1,2026-02-23 12:25:01.623961,-59.15532040348965,-147.42100724978758,1144.1696897022666
TEMPSAT 1,2026-02-23 12:30:01.623961,-42.57030112806253,-147.4140515243913,1158.264348695573
TEMPSAT 1,2026-02-23 12:35:01.623961,-26.03791161316785,-147.4100959770752,1170.35274965987
TEMPSAT 1,2026-02-23 12:40:01.623961,-9.547594311348849,-147.40715011179893,1179.2552900449919
TEMPSAT 1,2026-02-23 12:45:01.623961,6.914178179495773,-147.4044886400041,1184.1318084912027
TEMPSAT 1,2026-02-23 12:50:01.623961,23.36300668594704,-147.4016315824888,1184.5789494452574
CALSPHERE 4A,2026-02-23 12:25:01.627013,-46.98525445146434,-56.29644867188517,1180.9048426016789
CALSPHERE 4A,2026-02-23 12:30:01.627013,-63.41920967559615,-56.209587054344944,1184.166789197623
CALSPHERE 4A,2026-02-23 12:35:01.627013,-79.84477866545568,-55.87357778234312,1182.7114345351993
CALSPHERE 4A,2026-02-23 12:40:01.627013,-83.71389933786988,122.75181936217209,1176.7748359222087
CALSPHERE 4A,2026-02-23 12:45:01.627013,-67.23824884670344,123.37948231571295,1166.8517982563135
CALSPHERE 4A,2026-02-23 12:50:01.627013,-50.70740847319203,123.48832627162636,1153.6547016231852
OPS 5712 (P/L 160),2026-02-23 12:25:01.629021,-69.69737465590107,-142.04169032022946,645.9272584549017
OPS 5712 (P/L 160),2026-02-23 12:30:01.629021,-64.84833176220026,-94.6528876773896,646.5883317120924
OPS 5712 (P/L 160),2026-02-23 12:35:01.629021,-51.23886294659164,-70.58629331038279,647.2728225153678
OPS 5712 (P/L 160),2026-02-23 12:40:01.629021,-35.05848207534078,-58.364434489584866,647.7135972373062
OPS 5712 (P/L 160),2026-02-23 12:45:01.629021,-18.065708784687995,-50.35126868823606,647.6062840562408
OPS 5712 (P/L 160),2026-02-23 12:50:01.629021,-0.7960117945584568,-43.79766263074453,646.7436933708932
LES-5,2026-02-23 12:25:01.632022,2.3485979717075387,-161.35960499837594,33472.25245333961
LES-5,2026-02-23 12:30:01.632022,2.3396551227117284,-159.99538480802462,33467.151786863906
LES-5,2026-02-23 12:35:01.632022,2.329384226851695,-158.63083266464454,33462.01266044772
LES-5,2026-02-23 12:40:01.632022,2.3177900781943936,-157.26594839339688,33456.837974229944
LES-5,2026-02-23 12:45:01.632022,2.304878223197708,-155.9007319717718,33451.63065068852
LES-5,2026-02-23 12:50:01.632022,2.290654959849826,-154.5351835257134,33446.393633036634
SURCAL 159,2026-02-23 12:25:01.635025,-30.4297585875438,-126.77896237939511,897.6468737850491
SURCAL 159,2026-02-23 12:30:01.635025,-14.198928646983967,-119.70979421602676,898.2904753173098
SURCAL 159,2026-02-23 12:35:01.635025,2.2118375036860307,-113.6145627307101,898.4496329456624
SURCAL 159,2026-02-23 12:40:01.635025,18.59706942150314,-107.37925086161434,898.0617879191414
SURCAL 159,2026-02-23 12:45:01.635025,34.73158045521802,-99.78922854433199,897.2442056902992
SURCAL 159,2026-02-23 12:50:01.635025,50.163153941359475,-88.51690072027533,896.2537441965469
OPS 5712 (P/L 153),2026-02-23 12:25:01.637023,-13.452834225642881,-176.05103321417508,912.8799158611619
OPS 5712 (P/L 153),2026-02-23 12:30:01.637023,-29.64346342098728,-169.0853734061888,912.6452762545005
OPS 5712 (P/L 153),2026-02-23 12:35:01.637023,-45.32605560350152,-159.42595327204089,911.6395452450597
OPS 5712 (P/L 153),2026-02-23 12:40:01.637023,-59.58214252765709,-142.67969594244175,910.1658269079917
OPS 5712 (P/L 153),2026-02-23 12:45:01.637023,-69.13549910737052,-107.99690233643922,908.5517394676353
OPS 5712 (P/L 153),2026-02-23 12:50:01.637023,-67.02146098163105,-60.409605807175616,907.0505615452057
OPS 3811 (DSP 2),2026-02-23 12:25:01.639022,0.0021052179621982915,174.58852910370263,36435.99058283127
OPS 3811 (DSP 2),2026-02-23 12:30:01.639022,-0.002577789803226877,175.81289854889116,36433.98605361947
OPS 3811 (DSP 2),2026-02-23 12:35:01.639022,-0.007260232280888876,177.03738327169143,36431.9605830286
OPS 3811 (DSP 2),2026-02-23 12:40:01.639022,-0.011939974852911768,178.2619844764845,36429.915093975775
OPS 3811 (DSP 2),2026-02-23 12:45:01.639022,-0.016614882847329055,179.48670331504138,36427.85051876822
OPS 3811 (DSP 2),2026-02-23 12:50:01.639022,-0.021282822495228653,-179.28845911405713,36425.76779868589
RIGIDSPHERE 2 (LCS 4),2026-02-23 12:25:01.642132,-48.79815394062717,-166.94561015365338,734.5907501629945
RIGIDSPHERE 2 (LCS 4),2026-02-23 12:30:01.642132,-66.86856692745626,-164.08903389896716,732.3747746343188
RIGIDSPHERE 2 (LCS 4),2026-02-23 12:35:01.642132,-84.56507128736777,-143.80766894198047,733.9506949355036
RIGIDSPHERE 2 (LCS 4),2026-02-23 12:40:01.642132,-76.57398222799667,0.32492090046753874,739.2887799906048
RIGIDSPHERE 2 (LCS 4),2026-02-23 12:45:01.642132,-58.626225237262126,6.432186940141538,747.813404404631
