OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2026-031A","DRAGON FREEDOM 3","67796","US","93.01","51.63","428","416","","0","2026-02-13",""
"2026-030AH","KUIPER-00279","67795","FR","93.84","51.88","466","458","","0","2026-02-12",""
"2026-030AG","KUIPER-00276","67794","FR","94.01","51.88","483","458","","0","2026-02-12",""
"2026-030AF","KUIPER-00275","67793","FR","93.86","51.88","469","458","","0","2026-02-12",""
"2026-030AE","KUIPER-00274","67792","FR","93.98","51.88","481","457","","0","2026-02-12",""
"2026-030AD","KUIPER-00270","67791","FR","93.88","51.88","471","458","","0","2026-02-12",""
"2026-030AC","KUIPER-00268","67790","FR","93.79","51.88","461","459","","0","2026-02-12",""
"2026-030AB","KUIPER-00266","67789","FR","94.03","51.88","487","457","","0","2026-02-12",""
"2026-030AA","KUIPER-00262","67788","FR","93.75","51.88","459","457","","0","2026-02-12",""
"2026-030Z","KUIPER-00260","67787","FR","93.77","51.88","459","458","","0","2026-02-12",""
"2026-030Y","KUIPER-00259","67786","FR","93.85","51.88","468","458","","0","2026-02-12",""
"2026-030X","KUIPER-00226","67785","FR","94.01","51.88","484","457","","0","2026-02-12",""
"2026-030W","KUIPER-00225","67784","FR","93.80","51.88","463","458","","0","2026-02-12",""
"2026-030V","KUIPER-00223","67783","FR","93.90","51.88","474","457","","0","2026-02-12",""
"2026-030U","KUIPER-00222","67782","FR","93.97","51.88","480","457","","0","2026-02-12",""
"2026-030T","KUIPER-00220","67781","FR","93.87","51.88","469","459","LARGE","0","2026-02-12",""
"2026-030S","KUIPER-00218","67780","FR","93.84","51.88","467","458","","0","2026-02-12",""
"2026-030R","KUIPER-00215","67779","FR","93.89","51.88","471","458","","0","2026-02-12",""
"2026-030Q","KUIPER-00214","67778","FR","93.75","51.88","459","456","","0","2026-02-12",""
"2026-030P","KUIPER-00213","67777","FR","93.94","51.88","477","458","","0","2026-02-12",""
"2026-030N","KUIPER-00209","67776","FR","93.95","51.88","476","459","","0","2026-02-12",""
"2026-030M","KUIPER-00208","67775","FR","93.95","51.88","478","457","","0","2026-02-12",""
"2026-030L","KUIPER-00205","67774","FR","93.78","51.88","460","458","","0","2026-02-12",""
"2026-030K","KUIPER-00203","67773","FR","93.91","51.88","474","457","","0","2026-02-12",""
"2026-030J","KUIPER-00200","67772","FR","93.74","51.88","459","456","","0","2026-02-12",""
